n,verify,block,parity,schedule,beta_raw_avg,beta_raw_synth,beta_raw_real,leak_parity_avg,leak_verify_avg,leak_total_avg,FER_avg,FER_synth,FER_real,throughput_avg,verify_theory_amortized_per_bit
2048,64,32,1,"32,64,128,256",0.5830515368169376,0.225286117777297,0.940816955856578,45835.0,64.0,45899.0,0.74,0.48,1.0,204496.42565432953,0.003125
2048,32,32,1,"32,64,128,256",0.5822196149105331,0.213696154104973,0.9507430757160932,46593.5,32.0,46625.5,0.73,0.45999999999999996,1.0,204486.3931638474,0.0015625
2048,64,16,2,"16,32,64,128",0.46298786314860435,0.0,0.9259757262972087,124494.0,64.0,124558.0,0.53,0.06000000000000005,1.0,204687.22410468291,0.003125
2048,64,32,2,"32,64,128,256",0.4502896152952382,0.0,0.9005792305904764,92352.0,64.0,92416.0,0.73,0.48,0.98,204494.64837309555,0.003125
1024,64,16,2,"16,32,64,128",0.44295774165283613,0.0,0.8859154833056723,76773.0,64.0,76837.0,0.5,0.0,1.0,197857.51436479297,0.00625
1024,32,16,1,"16,32,64,128",0.38456184495249424,0.0,0.7691236899049885,63694.5,32.0,63726.5,0.3,0.0,0.6,190780.2043746765,0.003125
2048,32,16,1,"16,32,64,128",0.211775127849612,0.0,0.423550255699224,106619.0,32.0,106651.0,0.36,0.07999999999999996,0.64,204892.26879666603,0.0015625
2048,64,16,1,"16,32,64,128",0.15719173052517155,0.0,0.3143834610503431,114247.0,64.0,114311.0,0.27,0.0,0.54,205542.17506435714,0.003125
2048,32,32,2,"32,64,128,256",0.057268124027992584,0.0,0.11453624805598517,141508.0,32.0,141540.0,0.56,0.48,0.64,204747.35990310594,0.0015625
256,64,32,1,"32,64,128,256",0.0,0.0,0.0,22129.5,64.0,22193.5,0.0,0.0,0.0,346878.01330153865,0.025
256,64,16,2,"16,32,64,128",0.0,0.0,0.0,72990.0,64.0,73054.0,0.0,0.0,0.0,252586.92372254774,0.025
256,64,16,1,"16,32,64,128",0.0,0.0,0.0,27803.0,64.0,27867.0,0.0,0.0,0.0,358633.7179452652,0.025
256,32,32,2,"32,64,128,256",0.0,0.0,0.0,45581.0,32.0,45613.0,0.010000000000000009,0.0,0.020000000000000018,323423.3094833307,0.0125
256,32,32,1,"32,64,128,256",0.0,0.0,0.0,74641.5,32.0,74673.5,0.010000000000000009,0.0,0.020000000000000018,216067.95107608623,0.0125
256,32,16,2,"16,32,64,128",0.0,0.0,0.0,53751.0,32.0,53783.0,0.0,0.0,0.0,379840.97172066383,0.0125
256,32,16,1,"16,32,64,128",0.0,0.0,0.0,27520.0,32.0,27552.0,0.0,0.0,0.0,378525.2183311963,0.0125
256,64,32,2,"32,64,128,256",0.0,0.0,0.0,45099.0,64.0,45163.0,0.020000000000000018,0.020000000000000018,0.020000000000000018,349165.0074354489,0.025
1024,64,32,1,"32,64,128,256",0.0,0.0,0.0,79873.0,64.0,79937.0,0.0,0.0,0.0,168340.98516836535,0.00625
1024,64,32,2,"32,64,128,256",0.0,0.0,0.0,157352.0,64.0,157416.0,0.0,0.0,0.0,174541.08443073192,0.00625
1024,32,32,2,"32,64,128,256",0.0,0.0,0.0,161741.0,32.0,161773.0,0.0,0.0,0.0,165066.85690440252,0.003125
1024,32,16,2,"16,32,64,128",0.0,0.0,0.0,203869.0,32.0,203901.0,0.0,0.0,0.0,202173.5524271227,0.003125
1024,32,32,1,"32,64,128,256",0.0,0.0,0.0,81971.5,32.0,82003.5,0.0,0.0,0.0,161587.94301056955,0.003125
1024,64,16,1,"16,32,64,128",0.0,0.0,0.0,101954.0,64.0,102018.0,0.0,0.0,0.0,207819.14159472202,0.00625
2048,32,16,2,"16,32,64,128",0.0,0.0,0.0,219742.0,32.0,219774.0,0.33,0.09999999999999998,0.56,204735.4270916974,0.0015625
