n,verify_bits,block_size,parity_bits,beta_raw,beta_eff,leak_per_bit,FER,undetected,throughput,qber,dataset_id,dataset,q,leak_total,is_pareto
5120,32,32,1,0.9663269231161848,0.9662883472933128,0.54556640625,0.98,0,2020338.21606206,0.0100326171875,synthetic_n5120_verify32_block32_parity1,synthetic,1024,27933.0,True
5120,32,64,1,0.951985676209566,0.951946647115114,0.76888671875,0.965,0,2022809.148548992,0.0098908203125,synthetic_n5120_verify32_block64_parity1,synthetic,1024,39367.0,True
5120,64,64,1,0.9524966415780286,0.9524966415780286,0.77162109375,0.96,0,2019757.6480168444,0.0100640625,synthetic_n5120_verify64_block64_parity1,synthetic,1024,39507.0,True
5120,64,64,1,0.9892544652716246,0.9892544652716246,0.83654296875,0.98,0,2023916.3267194133,0.07636826171875,real_long_n5120_q1024,real,1024,42831.0,True
5120,32,32,1,0.9890788477443696,0.989070819514552,0.85021484375,0.98,0,2024526.5860139716,0.07636826171875,real_long_n5120_q1024,real,1024,43531.0,True
5120,32,16,1,0.9305776145177664,0.9305386828936484,1.1144921875,0.95,0,2023049.8076386736,0.00992099609375,synthetic_n5120_verify32_block16_parity1,synthetic,1024,57062.0,True
2048,64,32,1,0.225286117777297,0.225286117777297,3.101708984375,0.48,0,204639.8938392884,0.0098916015625,synthetic_n2048_verify64_block32_parity1,synthetic,1024,63523.0,True
2048,32,32,1,0.213696154104973,0.2133104451593358,3.185302734375,0.4599999999999999,0,204615.33057228,0.0100341796875,synthetic_n2048_verify32_block32_parity1,synthetic,1024,65235.0,True
2048,32,16,1,0.423550255699224,0.4233684981509417,4.955517578125,0.64,0,204655.1818993741,0.02562109375,real_long_n2048_q1024,real,1024,101489.0,True
2048,32,16,1,0.0,0.0,5.459619140625,0.0799999999999999,0,205129.355693958,0.010060546875,synthetic_n2048_verify32_block16_parity1,synthetic,1024,111813.0,True
2048,64,16,1,0.0,0.0,5.589892578125,0.0,0,206284.78839953733,0.0095224609375,synthetic_n2048_verify64_block16_parity1,synthetic,1024,114481.0,True
1024,64,16,1,0.0,0.0,6.19794921875,0.0,0,288906.8678262266,0.0101835937499999,synthetic_n1024_verify64_block16_parity1,synthetic,1024,63467.0,True
256,32,32,1,0.0,0.0,6.720703125,0.0,0,398811.2930973247,0.0093359374999999,synthetic_n256_verify32_block32_parity1,synthetic,1024,17205.0,True
256,64,16,1,0.0,0.0,7.256640625,0.0,0,435949.1873825268,0.0094140625,synthetic_n256_verify64_block16_parity1,synthetic,1024,18577.0,True
256,32,16,1,0.0,0.0,7.802734375,0.0,0,443422.878213034,0.0105937499999999,synthetic_n256_verify32_block16_parity1,synthetic,1024,19975.0,True
256,64,16,2,0.0,0.0,15.3078125,0.0,0,450310.3623691434,0.0103125,synthetic_n256_verify64_block16_parity2,synthetic,1024,39188.0,True
