dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.03125,0.003125,380.0,48,2.167099970392883,4,150,300,48,32,0,16,16,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,d825734b6395c173
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,1.7031999304890633,4,150,300,45,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,d825734b6395c173
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,3.321400028653443,4,150,300,45,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,d825734b6395c173
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,374.0,42,5.5726999416947365,4,150,300,42,32,0,14,14,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,d825734b6395c173
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.09375,0.009375,230.0,48,3.9953000377863646,4,75,150,48,32,0,12,12,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,b274fad8603600d1
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,10.13870001770556,4,75,150,44,32,0,11,11,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,b274fad8603600d1
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,2.757399925030768,4,75,150,44,32,0,11,11,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,b274fad8603600d1
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,False,0.21875,0.021875,0.03125,0.003125,230.0,48,5.21980004850775,4,75,150,48,32,0,12,12,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,b274fad8603600d1
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.03125,0.003125,380.0,48,10.105800000019372,4,150,300,48,32,0,16,16,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,47bfc7ece074fdaa
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,11.15349994506687,4,150,300,45,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,47bfc7ece074fdaa
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,3.0382999684661627,4,150,300,45,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,47bfc7ece074fdaa
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,374.0,42,4.161300021223724,4,150,300,42,32,0,14,14,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,47bfc7ece074fdaa
