dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,identity,1,4,3,0,1,0.75,0.2421875,0.0078125,1508.0,0.5890625,0.012783600017428398,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",d825734b6395c173
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",4,identity,1,4,0,0,4,0.0,0.2421875,0.0625,912.0,0.35625,0.02213110006414354,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",b274fad8603600d1
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,identity,0,4,3,0,1,0.75,0.2421875,0.0078125,1508.0,0.5890625,0.028480399982072413,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",47bfc7ece074fdaa
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,identity,0,4,3,0,1,0.75,0.2421875,0.0078125,1508.0,0.5890625,0.007741599925793707,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",6c76f6300a2bf603
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,identity,1,4,3,0,1,0.75,0.2421875,0.0078125,1508.0,0.5890625,0.01706970005761832,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",1f589a8f8fc4f2a6
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,seeded_random,1,4,4,0,0,1.0,0.2421875,0.0,1524.0,0.5953125,0.04866600001696497,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",b9f654c90a774d3d
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,seeded_random,0,4,4,0,0,1.0,0.2421875,0.0,1524.0,0.5953125,0.06477960001211613,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",ef3fd819508ca339
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,seeded_random,1,4,4,0,0,1.0,0.2421875,0.0,1524.0,0.5953125,0.0516088999575004,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",da44be679542d120
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",4,identity,0,4,0,0,4,0.0,0.2421875,0.0625,912.0,0.35625,0.050235799979418516,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",aeacee9a04c960ac
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",6,identity,1,4,0,0,4,0.0,0.2421875,0.0625,912.0,0.35625,0.0439167000586167,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",86320143d2d78cc2
