adaptive_coeff,max_factor,passes,toeplitz_bits,ser,q,N,fer,leak_total,leak_per_frame,throughput,raw_ber,beta,runtime_s,pareto
0.5,0.3,3,32,0.02,4,64,0.5,137.0,68.5,239431.3522569569,0.0234375,0.0,0.0010691999923437834,False
0.5,0.3,4,32,0.02,4,64,0.0,143.0,71.5,211012.2021195323,0.0234375,0.0,0.0012131999828852713,False
0.5,0.5,3,32,0.02,4,64,0.5,133.0,66.5,397639.01044302195,0.0234375,0.0,0.0006438000127673149,False
0.5,0.5,4,32,0.02,4,64,0.0,138.0,69.0,292738.7098089827,0.0234375,0.0,0.0008744999940972775,False
0.73,0.3,3,32,0.02,4,64,0.5,137.0,68.5,418574.2312424005,0.0234375,0.0,0.000611600000411272,False
0.73,0.3,4,32,0.02,4,64,0.0,150.0,75.0,288450.70234865125,0.0234375,0.0,0.0008875000057742,False
0.73,0.5,3,32,0.02,4,64,0.5,133.0,66.5,437457.2989897509,0.0234375,0.0,0.0005851999740116298,False
0.73,0.5,4,32,0.02,4,64,0.0,145.0,72.5,259792.9789122752,0.0234375,0.0,0.000985399994533509,False
0.5,0.3,3,32,0.02,4,256,0.0,232.0,116.0,494733.78704587644,0.0126953125,0.0,0.0020698000153061002,False
0.5,0.3,4,32,0.02,4,256,0.0,267.0,133.5,512230.50351391156,0.0126953125,0.0,0.001999100000830367,False
0.5,0.5,3,32,0.02,4,256,0.0,232.0,116.0,604557.8078377383,0.0126953125,0.0,0.0016937999753281474,True
0.5,0.5,4,32,0.02,4,256,0.0,267.0,133.5,555465.1450228314,0.0126953125,0.0,0.0018435000092722476,False
0.73,0.3,3,32,0.02,4,256,0.0,232.0,116.0,563504.2883678996,0.0126953125,0.0,0.0018172000127378851,False
0.73,0.3,4,32,0.02,4,256,0.0,250.0,125.0,579808.6172062056,0.0126953125,0.0,0.0017661000019870698,False
0.73,0.5,3,32,0.02,4,256,0.0,232.0,116.0,589081.2883370221,0.0126953125,0.0,0.0017382999940309674,False
0.73,0.5,4,32,0.02,4,256,0.0,250.0,125.0,615569.5797848136,0.0126953125,0.0,0.0016635000065434724,True
0.5,0.3,3,32,0.02,8,64,0.0,125.0,62.5,513368.98993489926,0.010416666666666666,0.0,0.0007479999912902713,False
0.5,0.3,4,32,0.02,8,64,0.0,149.0,74.5,463488.23561730667,0.010416666666666666,0.0,0.000828499993076548,False
0.5,0.5,3,32,0.02,8,64,0.0,123.0,61.5,488798.3790363505,0.010416666666666666,0.0,0.0007855999865569174,False
0.5,0.5,4,32,0.02,8,64,0.0,145.0,72.5,477671.34652122884,0.010416666666666666,0.0,0.0008039000094868243,False
0.73,0.3,3,32,0.02,8,64,0.0,125.0,62.5,492307.69096746953,0.010416666666666666,0.0,0.0007800000021234155,False
0.73,0.3,4,32,0.02,8,64,0.0,138.0,69.0,497925.3155139796,0.010416666666666666,0.0,0.0007711999933235347,False
0.73,0.5,3,32,0.02,8,64,0.0,123.0,61.5,531929.6328846274,0.010416666666666666,0.0,0.0007218999962788075,True
0.73,0.5,4,32,0.02,8,64,0.0,139.0,69.5,490296.2222697294,0.010416666666666666,0.0,0.0007831999973859638,False
0.5,0.3,3,32,0.02,8,256,0.0,306.0,153.0,468050.09765660553,0.011067708333333332,0.0,0.00328169998829253,False
0.5,0.3,4,32,0.02,8,256,0.0,330.0,165.0,509587.9522814204,0.011067708333333332,0.0,0.0030141999886836857,False
0.5,0.5,3,32,0.02,8,256,0.0,306.0,153.0,542756.1869910217,0.011067708333333332,0.0,0.002829999983077869,False
0.5,0.5,4,32,0.02,8,256,0.0,330.0,165.0,539079.7714022779,0.011067708333333332,0.0,0.002849300013622269,False
0.73,0.3,3,32,0.02,8,256,0.0,306.0,153.0,556138.8922304617,0.011067708333333332,0.0,0.0027618999883998185,False
0.73,0.3,4,32,0.02,8,256,0.0,304.0,152.0,654926.8782326155,0.011067708333333332,0.0,0.0023452999885194004,True
0.73,0.5,3,32,0.02,8,256,0.0,306.0,153.0,538399.5210405422,0.011067708333333332,0.0,0.0028529000119306147,False
0.73,0.5,4,32,0.02,8,256,0.0,304.0,152.0,580696.3817158538,0.011067708333333332,0.0,0.002645100001245737,False
0.5,0.3,3,32,0.05,4,64,0.0,138.0,69.0,311966.856894024,0.0390625,0.0,0.0008205999911297113,False
0.5,0.3,4,32,0.05,4,64,0.0,164.0,82.0,286995.51217660855,0.0390625,0.0,0.0008920000109355897,False
0.5,0.5,3,32,0.05,4,64,0.0,134.0,67.0,350877.19456816255,0.0390625,0.0,0.0007295999967027456,False
0.5,0.5,4,32,0.05,4,64,0.0,162.0,81.0,294727.14462938334,0.0390625,0.0,0.0008686000073794276,False
0.73,0.3,3,32,0.05,4,64,0.0,138.0,69.0,343993.55406885204,0.0390625,0.0,0.0007441999914590269,False
0.73,0.3,4,32,0.05,4,64,0.0,170.0,85.0,291704.6528326192,0.0390625,0.0,0.0008775999885983765,False
0.73,0.5,3,32,0.05,4,64,0.0,134.0,67.0,353786.6321633695,0.0390625,0.0,0.0007235999801196158,False
0.73,0.5,4,32,0.05,4,64,0.0,171.0,85.5,283593.6618521166,0.0390625,0.0,0.0009027000050991774,False
0.5,0.3,3,32,0.05,4,256,0.0,306.0,153.0,371027.9354889803,0.029296875,0.0,0.0027599000022746623,False
0.5,0.3,4,32,0.05,4,256,0.0,418.0,209.0,257564.70526525972,0.029296875,0.0,0.003975700004957616,False
0.5,0.5,3,32,0.05,4,256,0.0,306.0,153.0,402531.5480516382,0.029296875,0.0,0.0025438999873586,False
0.5,0.5,4,32,0.05,4,256,0.0,418.0,209.0,313466.18724028993,0.029296875,0.0,0.003266700019594282,False
0.73,0.3,3,32,0.05,4,256,0.0,306.0,153.0,403070.26325513946,0.029296875,0.0,0.002540499990573153,False
0.73,0.3,4,32,0.05,4,256,0.0,388.0,194.0,374913.04668614373,0.029296875,0.0,0.002731299988226965,False
0.73,0.5,3,32,0.05,4,256,0.0,306.0,153.0,403960.707530799,0.029296875,0.0,0.002534900006139651,False
0.73,0.5,4,32,0.05,4,256,0.0,388.0,194.0,394088.67072501424,0.029296875,0.0,0.002598399994894862,False
0.5,0.3,3,32,0.05,8,64,0.5,209.0,104.5,307150.85520290333,0.05729166666666667,0.0,0.001250200002687052,False
0.5,0.3,4,32,0.05,8,64,0.0,252.0,126.0,234819.29985135744,0.05729166666666667,0.0,0.0016352999955415726,False
0.5,0.5,3,32,0.05,8,64,0.5,207.0,103.5,374926.7725037512,0.05729166666666667,0.0,0.0010241999989375472,False
0.5,0.5,4,32,0.05,8,64,0.0,252.0,126.0,244228.20360027882,0.05729166666666667,0.0,0.0015722999814897776,False
0.73,0.3,3,32,0.05,8,64,0.5,209.0,104.5,372526.1965057446,0.05729166666666667,0.0,0.0010307999909855425,False
0.73,0.3,4,32,0.05,8,64,0.0,266.0,133.0,226642.27004228497,0.05729166666666667,0.0,0.0016943000082392246,False
0.73,0.5,3,32,0.05,8,64,0.5,207.0,103.5,295157.5685687582,0.05729166666666667,0.0,0.0013010000111535192,False
0.73,0.5,4,32,0.05,8,64,0.0,266.0,133.0,255047.82189476374,0.05729166666666667,0.0,0.001505599997472018,False
0.5,0.3,3,32,0.05,8,256,0.0,400.0,200.0,420821.91795317625,0.025390625,0.0,0.0036499999987427145,False
0.5,0.3,4,32,0.05,8,256,0.0,564.0,282.0,358744.39412241837,0.025390625,0.0,0.004281600005924702,False
0.5,0.5,3,32,0.05,8,256,0.0,400.0,200.0,408163.26349564845,0.025390625,0.0,0.0037632000166922808,False
0.5,0.5,4,32,0.05,8,256,0.0,564.0,282.0,367244.47030526266,0.025390625,0.0,0.004182500008028001,False
0.73,0.3,3,32,0.05,8,256,0.0,400.0,200.0,417107.94475417223,0.025390625,0.0,0.003682499984279275,False
0.73,0.3,4,32,0.05,8,256,0.0,489.0,244.5,435435.86142596626,0.025390625,0.0,0.0035274999972898513,False
