method_name,dimension,bin_width_ps,success_classification,failure_count
cascade_lite,8,50,verified_failure,35
cascade_lite,8,120,verified_failure,30
cascade_lite,8,180,verified_failure,21
cascade_lite,16,60,verified_failure,34
cascade_lite,16,100,verified_failure,31
cascade_lite,16,180,verified_failure,28
layered_ldpc_lite,8,50,decode_failed,28
layered_ldpc_lite,8,50,decode_improved_but_unverified,8
layered_ldpc_lite,8,120,decode_failed,20
layered_ldpc_lite,8,120,decode_improved_but_unverified,10
layered_ldpc_lite,8,180,decode_failed,20
layered_ldpc_lite,8,180,decode_improved_but_unverified,11
layered_ldpc_lite,16,60,decode_failed,25
layered_ldpc_lite,16,60,decode_improved_but_unverified,7
layered_ldpc_lite,16,100,decode_failed,26
layered_ldpc_lite,16,100,decode_improved_but_unverified,5
layered_ldpc_lite,16,180,decode_failed,20
layered_ldpc_lite,16,180,decode_improved_but_unverified,9
