attempted,cascade_lookback_bits,cascade_parity_bits,cascade_primary_bisection_bits,dataset_id,denominator_included,dimension,epsilon_ec,failure_reason,frame_id,frame_len_symbols,key_dependent_disclosure_bits_total,method,n_pairs,pair_idx_sequence_sha256,plan_frame_key,public_control_bits_total,qualification_role,raw_ser,runtime_s,status,transcript_bytes_len,transcript_bytes_sha256,transcript_first_event_id,transcript_last_event_id,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits,verification_tag_bits_component
True,4,75,61,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,461,64,204,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:461,1087,confirmation,0.25,0.0,verified_success,52747,1caef2a6fc148c63c72357cebc441e74d7cc7e8bfa9bfeb02a82d82880fdb849,1,162,1caef2a6fc148c63c72357cebc441e74d7cc7e8bfa9bfeb02a82d82880fdb849,True,c16323d91b2af7512785572d3ad4ccca5349dcd4e118f145fe781659871d7aaa,64,64
True,4,75,61,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,209,64,204,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:209,1087,confirmation,0.25,0.01600000006146729,verified_success,52748,f5d383118fd67a2fcf0e40a8674ddf1eddff0585849bfcaa891f7e9d26fba17c,1,162,f5d383118fd67a2fcf0e40a8674ddf1eddff0585849bfcaa891f7e9d26fba17c,True,89f4c76ce8dedc853a4f62a13b093c65d95190e1e3c7245c208fe0e2d13dcabd,64,64
True,16,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,79,64,211,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:79,1087,confirmation,0.265625,0.0,verified_success,56268,9f719e3f0da4a6e04bc61b15ab237d799643419c5f23763334e9d7f4dccd9aaf,1,173,9f719e3f0da4a6e04bc61b15ab237d799643419c5f23763334e9d7f4dccd9aaf,True,cf18708b95ca6568550c93b271c1e9910bd7e6ac108a142652680a637a9006c6,64,64
True,8,75,50,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,255,64,197,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:255,1087,confirmation,0.21875,0.0,verified_success,50088,211600ef57f31aedd72af460503865f3bd8b15fcc31609655dbce924c5bee07b,1,154,211600ef57f31aedd72af460503865f3bd8b15fcc31609655dbce924c5bee07b,True,0bb7b72e7d9efe90bf83a3f7f129857c79919e5b1c843498281004ded7522f48,64,64
True,8,75,50,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,467,64,197,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:467,1087,confirmation,0.21875,0.015999999945051968,verified_success,50096,14bbd4a5c27ee1dfb283377bced671e719ec33f4028c23e56070c3780d11740e,1,154,14bbd4a5c27ee1dfb283377bced671e719ec33f4028c23e56070c3780d11740e,True,460045bab1a35e23090cef952390d9f3726041c3e91ec421281313c7fc582efc,64,64
True,4,75,49,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,109,64,192,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:109,1087,confirmation,0.203125,0.0,verified_success,47781,9d833169eebbd8c600e153e26fa5cf63719aa41683c905fceef91f71460fdf44,1,147,9d833169eebbd8c600e153e26fa5cf63719aa41683c905fceef91f71460fdf44,True,50588b5115db2af949724b3859304e4afac373d6512eea365d0e5bf87e5718f4,64,64
True,0,75,52,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,244,64,191,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:244,1087,confirmation,0.203125,0.0,verified_success,47106,e6c41c1cef153dd3a740e93a18e661a21245fa97b3fcbfd57d38d2e9c9c0caf1,1,145,e6c41c1cef153dd3a740e93a18e661a21245fa97b3fcbfd57d38d2e9c9c0caf1,True,70f09e896fd2bdcb1f572a78a86a42ed91a785a091e65520f8eed66b1ef07f78,64,64
True,4,75,53,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,406,64,196,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:406,1087,confirmation,0.21875,0.015000000013969839,verified_success,49433,eb0ed2cb315813a7b9b110a1578f9152a5c0cb8f66ab8fa96bc1792517ad4e2b,1,152,eb0ed2cb315813a7b9b110a1578f9152a5c0cb8f66ab8fa96bc1792517ad4e2b,True,805742b09876048e8be495ef6905ee002d302d1b0e20ccee3f6bb5ece50f8a94,64,64
True,4,75,53,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,17,64,196,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:17,1087,confirmation,0.21875,0.0,verified_success,49276,3ae6cb9ea9551d12f492584fbfbb9a8766db005e8ab56eece2885934321eb381,1,152,3ae6cb9ea9551d12f492584fbfbb9a8766db005e8ab56eece2885934321eb381,True,1351a046e89a67ee0a5910d40dfb8068cc37ba785e82e8977c84214658719c2f,64,64
True,4,75,61,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,139,64,204,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:139,1087,confirmation,0.25,0.0,verified_success,52748,8e17917463e36db2714bab444108c96efbc067d3e2710b6b4ebc8b33a65d04fc,1,162,8e17917463e36db2714bab444108c96efbc067d3e2710b6b4ebc8b33a65d04fc,True,858bfe68c9aed69f303bcc7476c50de32c618127723f82ee4b4afe3224cb1c02,64,64
True,8,75,47,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,217,64,194,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:217,1087,confirmation,0.203125,0.015999999945051968,verified_success,49077,528155a26655c641bb9ac7a6dc9ee194ac608e993731159056a4b53957046120,1,151,528155a26655c641bb9ac7a6dc9ee194ac608e993731159056a4b53957046120,True,2423e636b1881c8b9172f7abab0fce7b637f5c0d1d9e8dae559174b59d37b682,64,64
True,4,75,57,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,325,64,200,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:325,1087,confirmation,0.234375,0.0,verified_success,51086,1a39d9d11bf3fdd0534617f3120ed13a2ed0d74ac0e76c70ba90b5c9fed3ba9b,1,157,1a39d9d11bf3fdd0534617f3120ed13a2ed0d74ac0e76c70ba90b5c9fed3ba9b,True,a87421805da7ac47d8418bceb7030c1f736db725c3029f417063bfd2199b469b,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,55,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:55,1087,confirmation,0.21875,0.0,verified_success,48608,13b53d483e014908b59acd9ab3b86e3dcec31b0d65e48a901fe829fb1b8969bb,1,150,13b53d483e014908b59acd9ab3b86e3dcec31b0d65e48a901fe829fb1b8969bb,True,2e9619d59d3176f9aa50c92b6a55b628322d5fd72149e5a5cd9631b08e4469c6,64,64
True,8,75,46,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,190,64,193,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:190,1087,confirmation,0.203125,0.015000000013969839,verified_success,48427,f8f53c73db1fa4f5652f17602a8ce8260b39804f11671e2ab8d11b8bdb36f9a4,1,149,f8f53c73db1fa4f5652f17602a8ce8260b39804f11671e2ab8d11b8bdb36f9a4,True,2e4cbd8f1dd14899e30711bc14cc3325d47cef6111388e218b596130096c19c8,64,64
