attempted,calibration_source_sha256,cascade_lookback_bits,cascade_parity_bits,cascade_primary_bisection_bits,codebook_ids,dataset_id,denominator_included,dimension,epsilon_ec,failure_reason,frame_id,frame_len_symbols,key_dependent_disclosure_bits_total,ldpc_syndrome_bits,leakage_comparison_policy,mapping,method,n_pairs,pair_idx_sequence_sha256,plan_frame_id,public_control_bits_total,qualification_role,rate_ids,raw_ser,runtime_s,status,stratum_p,transcript_bytes_len,transcript_bytes_sha256,transcript_first_event_id,transcript_last_event_id,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits,verification_tag_bits_component
True,,40,75,63,,synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f022,64,242,,,,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f022,1087,qualification,,0.203125,0.015000000013969839,verified_success,0.02,74942,4ffef2b4cdd174e36c4f31d7813c7d371e24e65fe954ca0eca56110783df347d,1,217,4ffef2b4cdd174e36c4f31d7813c7d371e24e65fe954ca0eca56110783df347d,True,5d7edbf0ff06986752f4ce7b841f35160dd3ee3ad442c29ff47aebefe82a98a0,64,64
True,7627176cb87e4d587d9597f892e17f44b04d16bad0dfd59adfcdc37121204938,,,,"[""b73a2b73a1d1e63b4ea3817de7e839c8faa5aa0c1ff8687ae13eb1c78093f646"", ""2d3f3e6678c6810b8f00a5f012a6007077ad3ea3856bd5850618890fe8579bf6"", ""3fdd5547e4641ea31d934cc61dfcac75f77059cce1396a9c7d5bfab82a597216"", ""9b53f43d57430dd441b838e679b1aa6090e16eeabdb1389a01f4e0a866a578b5"", ""2d7d059952f5140ae46e988ff82e8d3c0059fb067eb1507be99a0b214d833082"", ""d8d552fe48cb0aa22fdd10494106847446376a2eb0ed152b8b764c9aff16f0d3"", ""ad0f40a8cdaab6a15f49e72ff45aa9160103000fa8cb8dbfd5e9212bf6488564"", ""e60e19441bf35bd7c2f6b8f2a639e34a5ce1ac963e5abfc85b0304a1fd3e75f5"", ""e7d04a21ef7245af5ff3a4f5ff8ca4b9ea9f5711bf21de4d78f9e1e9c455d34b"", ""4e0ed4d1b18b78ad646e73c5c85507aedec193dea84ddadc89195703bcf347e0""]",synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f022,64,384,320,method_specific_not_cross_ranked,gray,ldpc_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f022,3583,qualification,"[""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050""]",0.203125,0.35999999998603016,verified_success,0.02,13614,73cc6f4183f1c1613208fd10ed04669a69e5c34bb0dec8d8940d1a723726a24a,1,42,73cc6f4183f1c1613208fd10ed04669a69e5c34bb0dec8d8940d1a723726a24a,True,5d7edbf0ff06986752f4ce7b841f35160dd3ee3ad442c29ff47aebefe82a98a0,64,64
True,,71,75,76,,synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f000,64,286,,,,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f000,1087,qualification,,0.25,0.015000000013969839,verified_success,0.02,97286,b329b2c679dc9ed0130ac512ec29e3a6502ab38d380ddffea2488dd94794a58c,1,281,b329b2c679dc9ed0130ac512ec29e3a6502ab38d380ddffea2488dd94794a58c,True,fffc4f18c0cd06a800d49f14b517da0ee5decc1330f49a959d0202a69c13d489,64,64
True,7627176cb87e4d587d9597f892e17f44b04d16bad0dfd59adfcdc37121204938,,,,"[""b73a2b73a1d1e63b4ea3817de7e839c8faa5aa0c1ff8687ae13eb1c78093f646"", ""2d3f3e6678c6810b8f00a5f012a6007077ad3ea3856bd5850618890fe8579bf6"", ""3fdd5547e4641ea31d934cc61dfcac75f77059cce1396a9c7d5bfab82a597216"", ""9b53f43d57430dd441b838e679b1aa6090e16eeabdb1389a01f4e0a866a578b5"", ""2d7d059952f5140ae46e988ff82e8d3c0059fb067eb1507be99a0b214d833082"", ""d8d552fe48cb0aa22fdd10494106847446376a2eb0ed152b8b764c9aff16f0d3"", ""ad0f40a8cdaab6a15f49e72ff45aa9160103000fa8cb8dbfd5e9212bf6488564"", ""e60e19441bf35bd7c2f6b8f2a639e34a5ce1ac963e5abfc85b0304a1fd3e75f5"", ""e7d04a21ef7245af5ff3a4f5ff8ca4b9ea9f5711bf21de4d78f9e1e9c455d34b"", ""4e0ed4d1b18b78ad646e73c5c85507aedec193dea84ddadc89195703bcf347e0""]",synthetic_p0.02,True,1024,5.421010862427522e-20,toeplitz_mismatch,synthetic_q1024_p002_qualification_f000,64,384,320,method_specific_not_cross_ranked,gray,ldpc_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f000,3583,qualification,"[""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050""]",0.25,0.01600000006146729,verify_failed,0.02,13614,a13b435876aa5e358dab5149fb02c41195fc9a3ded59a465fb10ff58b24d7fff,1,42,a13b435876aa5e358dab5149fb02c41195fc9a3ded59a465fb10ff58b24d7fff,True,fffc4f18c0cd06a800d49f14b517da0ee5decc1330f49a959d0202a69c13d489,64,64
True,,49,75,63,,synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f002,64,251,,,,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f002,1087,qualification,,0.1875,0.015999999945051968,verified_success,0.02,79808,9983eebf5941db7b3cf310c7b59eee8c7a1eebfdeb424e271e3acf5b5f355c42,1,231,9983eebf5941db7b3cf310c7b59eee8c7a1eebfdeb424e271e3acf5b5f355c42,True,a2fdaa608039cb113f01fb82d678e0e96a05b2db1f27dc66a10fd05e92a1f8e2,64,64
True,7627176cb87e4d587d9597f892e17f44b04d16bad0dfd59adfcdc37121204938,,,,"[""b73a2b73a1d1e63b4ea3817de7e839c8faa5aa0c1ff8687ae13eb1c78093f646"", ""2d3f3e6678c6810b8f00a5f012a6007077ad3ea3856bd5850618890fe8579bf6"", ""3fdd5547e4641ea31d934cc61dfcac75f77059cce1396a9c7d5bfab82a597216"", ""9b53f43d57430dd441b838e679b1aa6090e16eeabdb1389a01f4e0a866a578b5"", ""2d7d059952f5140ae46e988ff82e8d3c0059fb067eb1507be99a0b214d833082"", ""d8d552fe48cb0aa22fdd10494106847446376a2eb0ed152b8b764c9aff16f0d3"", ""ad0f40a8cdaab6a15f49e72ff45aa9160103000fa8cb8dbfd5e9212bf6488564"", ""e60e19441bf35bd7c2f6b8f2a639e34a5ce1ac963e5abfc85b0304a1fd3e75f5"", ""e7d04a21ef7245af5ff3a4f5ff8ca4b9ea9f5711bf21de4d78f9e1e9c455d34b"", ""4e0ed4d1b18b78ad646e73c5c85507aedec193dea84ddadc89195703bcf347e0""]",synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f002,64,384,320,method_specific_not_cross_ranked,gray,ldpc_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f002,3583,qualification,"[""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050""]",0.1875,0.015000000013969839,verified_success,0.02,13614,a0cad4a29c14f4fb68a63275d91bbc8bd7a7ce8b5cd28c3a0749e07fd35b0983,1,42,a0cad4a29c14f4fb68a63275d91bbc8bd7a7ce8b5cd28c3a0749e07fd35b0983,True,a2fdaa608039cb113f01fb82d678e0e96a05b2db1f27dc66a10fd05e92a1f8e2,64,64
True,,20,75,37,,synthetic_p0.01,True,1024,5.421010862427522e-20,,synthetic_q1024_p001_qualification_f028,64,196,,,,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p001_qualification_f028,1087,qualification,,0.109375,0.0,verified_success,0.01,53220,0404bf7f6345359cdb9be1d297f7e2e8043ecaf1b52535331a31addab030e4ab,1,155,0404bf7f6345359cdb9be1d297f7e2e8043ecaf1b52535331a31addab030e4ab,True,ed9b3889a2a7e8058c932b16f4b666a19bfbfb93596e11c63ea576ba19841e39,64,64
True,0b9527725cb473fa37aa5676ecbe2b5fd4cef655fc813912f59cf2f9828b4a58,,,,"[""b73a2b73a1d1e63b4ea3817de7e839c8faa5aa0c1ff8687ae13eb1c78093f646"", ""2d3f3e6678c6810b8f00a5f012a6007077ad3ea3856bd5850618890fe8579bf6"", ""3fdd5547e4641ea31d934cc61dfcac75f77059cce1396a9c7d5bfab82a597216"", ""9b53f43d57430dd441b838e679b1aa6090e16eeabdb1389a01f4e0a866a578b5"", ""2d7d059952f5140ae46e988ff82e8d3c0059fb067eb1507be99a0b214d833082"", ""d8d552fe48cb0aa22fdd10494106847446376a2eb0ed152b8b764c9aff16f0d3"", ""ad0f40a8cdaab6a15f49e72ff45aa9160103000fa8cb8dbfd5e9212bf6488564"", ""e60e19441bf35bd7c2f6b8f2a639e34a5ce1ac963e5abfc85b0304a1fd3e75f5"", ""e7d04a21ef7245af5ff3a4f5ff8ca4b9ea9f5711bf21de4d78f9e1e9c455d34b"", ""4e0ed4d1b18b78ad646e73c5c85507aedec193dea84ddadc89195703bcf347e0""]",synthetic_p0.01,True,1024,5.421010862427522e-20,toeplitz_mismatch,synthetic_q1024_p001_qualification_f028,64,384,320,method_specific_not_cross_ranked,gray,ldpc_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p001_qualification_f028,3583,qualification,"[""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050""]",0.109375,0.01600000006146729,verify_failed,0.01,13614,1737f41ba5b1846ae75adcc36322c277430be944b1a381add654aff2c936db6a,1,42,1737f41ba5b1846ae75adcc36322c277430be944b1a381add654aff2c936db6a,True,ed9b3889a2a7e8058c932b16f4b666a19bfbfb93596e11c63ea576ba19841e39,64,64
True,,28,75,49,,synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f005,64,216,,,,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f005,1087,qualification,,0.125,0.015999999945051968,verified_success,0.02,62996,2040e511c707a51b20057fb4210e1173a1931297e93fba93c5f61549157f10eb,1,183,2040e511c707a51b20057fb4210e1173a1931297e93fba93c5f61549157f10eb,True,4f34ca12961085efb8c0f05a1a57823c39d62dc31bd59928161add9522fcd1e7,64,64
True,7627176cb87e4d587d9597f892e17f44b04d16bad0dfd59adfcdc37121204938,,,,"[""b73a2b73a1d1e63b4ea3817de7e839c8faa5aa0c1ff8687ae13eb1c78093f646"", ""2d3f3e6678c6810b8f00a5f012a6007077ad3ea3856bd5850618890fe8579bf6"", ""3fdd5547e4641ea31d934cc61dfcac75f77059cce1396a9c7d5bfab82a597216"", ""9b53f43d57430dd441b838e679b1aa6090e16eeabdb1389a01f4e0a866a578b5"", ""2d7d059952f5140ae46e988ff82e8d3c0059fb067eb1507be99a0b214d833082"", ""d8d552fe48cb0aa22fdd10494106847446376a2eb0ed152b8b764c9aff16f0d3"", ""ad0f40a8cdaab6a15f49e72ff45aa9160103000fa8cb8dbfd5e9212bf6488564"", ""e60e19441bf35bd7c2f6b8f2a639e34a5ce1ac963e5abfc85b0304a1fd3e75f5"", ""e7d04a21ef7245af5ff3a4f5ff8ca4b9ea9f5711bf21de4d78f9e1e9c455d34b"", ""4e0ed4d1b18b78ad646e73c5c85507aedec193dea84ddadc89195703bcf347e0""]",synthetic_p0.02,True,1024,5.421010862427522e-20,,synthetic_q1024_p002_qualification_f005,64,384,320,method_specific_not_cross_ranked,gray,ldpc_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,synthetic_q1024_p002_qualification_f005,3583,qualification,"[""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050"", ""r050""]",0.125,0.015000000013969839,verified_success,0.02,13614,6045f15f5b31681a802ecf1f20fd1c1ba625c31d7505396962fe61b84e7828a3,1,42,6045f15f5b31681a802ecf1f20fd1c1ba625c31d7505396962fe61b84e7828a3,True,4f34ca12961085efb8c0f05a1a57823c39d62dc31bd59928161add9522fcd1e7,64,64
