n,plane_id,candidate_id,stratum_id,frame_id,attempted,status,terminal_prefix_id,rounds_attempted,syndrome_bits_disclosed,exact_match,policy_id,p_hat,backend_identity,runtime_s,role,source_sha256
256,0,0,p001,dev_n256_plane00_p001_f00,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0005394000327214599,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f01,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0003087999066337943,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f02,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002626000205054879,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f03,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002536999527364969,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f04,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002525000600144267,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f05,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002532999496906996,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f06,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002445999998599291,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f07,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002313000150024891,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f08,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002316000172868371,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f09,true,development_exact_success,p0625,2,160,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.000685799983330071,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f10,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00024309998843818903,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f11,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002397999633103609,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f12,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002445999998599291,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f13,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002258999738842249,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f14,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002402999671176076,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p001,dev_n256_plane00_p001_f15,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00023950007744133472,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,0,p002,dev_n256_plane00_p002_f00,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0003074000123888254,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f01,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00024940003640949726,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f02,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023929995950311422,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f03,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023300002794712782,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f04,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023420003708451986,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f05,true,development_exact_success,p0625,2,160,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0004983999533578753,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f06,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0003621999640017748,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f07,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023380003403872252,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f08,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023100001271814108,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f09,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00022879999596625566,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f10,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00022289995104074478,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f11,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0002305000089108944,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f12,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00028229993768036366,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f13,true,development_exact_success,p0875,4,224,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0016436000587418675,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f14,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00024480000138282776,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,0,p002,dev_n256_plane00_p002_f15,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023829995188862085,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p001,dev_n256_plane00_p001_f00,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00030529999639838934,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f01,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00025759998243302107,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f02,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002492000348865986,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f03,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002540999557822943,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f04,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00023799994960427284,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f05,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00022679998073726892,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f06,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002275001024827361,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f07,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00021820003166794777,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f08,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00021319999359548092,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f09,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00022479996550828218,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f10,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002202000468969345,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f11,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002204999327659607,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
