alice_sha256,attempted,backend_name,backend_version,bob_sha256,calibration_sha256,candidate_ids,dataset_id,denominator_included,dimension,epsilon_ec,failure_reason,frame_id,frame_len_symbols,global_rounds_attempted,key_dependent_disclosure_bits_total,ldpc_syndrome_bits,leakage_comparison_policy,mapping,method,n_pairs,pair_idx_sequence_sha256,plan_frame_id,public_control_bits_total,raw_ser,runtime_s,selection_binding_sha256,status,stratum,terminal_prefix_id,transcript_bytes_len,transcript_bytes_sha256,transcript_first_event_id,transcript_last_event_id,transcript_sha256,verification_check_count,verification_invoked,verification_seed_id,verification_tag_bits,verification_tag_bits_component
c74624644225a9ac514f6faf4d872f0963d97c0b4c024b7583529c76178c9978,True,ldpc.BpOsdDecoder,2.4.1,76768de49e4b663ced3bdf578ede3855ac81bed4f589385da2582b9364869c20,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_stress_125,True,1024,2.168404344971009e-19,toeplitz_mismatch,stress_125:f020,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,stress_125:f020,2623,0.3125,0.46899999992456287,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,stress_125,p0875,12948,d615efa3071491546f12bac25a652e3537b9b896135289d789052269f10a41d5,1,46,d615efa3071491546f12bac25a652e3537b9b896135289d789052269f10a41d5,4,True,124a9b7bc1b43a90b8acbd3ca261c1e0b3c676e14fbf074942f04f62b000527a,64,64
5b7d6518644df6061acd4625be7082c67e0034bf80aff4545bb99a8cc3e56e46,True,ldpc.BpOsdDecoder,2.4.1,daa0dc0301a42e931da3b8c473b2106ec8af8f7b13e40165167a6b5f2522f2ba,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f010,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f010,2623,0.23828125,0.1410000000614673,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,8d86caf49a2681090f6bf03c16fe2776f62f22ea751684bf895cc74936c76f1a,1,46,8d86caf49a2681090f6bf03c16fe2776f62f22ea751684bf895cc74936c76f1a,4,True,8363347119fcedc6b792f6d68f9ee47df64b98e4bcd4eda11213ec4a7afd8f4c,64,64
cd44d197b84b3c8b8088b8db50ed8048862258082cfa6ef12c73a077d0c121af,True,ldpc.BpOsdDecoder,2.4.1,e944af23f85744ee1eee5f814a681a1fa2fcbf17e645c1cdfb4e5a9c81cf1734,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f028,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f028,2623,0.22265625,0.14099999994505197,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,249bdd0ec122544096426faa233c700f0e70487c9a90599d3a7131ffeb2715ab,1,46,249bdd0ec122544096426faa233c700f0e70487c9a90599d3a7131ffeb2715ab,4,True,3e902c283b2ff66e5ad6b067e57ac7eed2f56c300172bbe9e875df7d3938018a,64,64
88e13bf9f8ba8a3a82dc912ad9489a4b4420b96f36b1e364b4771214c641b75f,True,ldpc.BpOsdDecoder,2.4.1,b37853d878827fda71506deeb80b32440a6e49b48f5013a79c4ee69dfba20fb0,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_stress_125,True,1024,2.168404344971009e-19,toeplitz_mismatch,stress_125:f016,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,stress_125:f016,2623,0.26171875,0.1410000000614673,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,stress_125,p0875,12948,053a88006582a19baa58d6c657a123b715d9ccb94d534e4f641ada46d25a972e,1,46,053a88006582a19baa58d6c657a123b715d9ccb94d534e4f641ada46d25a972e,4,True,b79aaaffc472ba56c221c0a67b1438fb7b6f96dd4f8c42c0351bce9305547df8,64,64
8c543a51759dfff4518cc8aff73142bd4c54b8ae0010ec0805587b548f7ca7d1,True,ldpc.BpOsdDecoder,2.4.1,074fee6173910ca750d8d6ed61c856920df54a25b507c92be263ba5b1f6171b5,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f001,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f001,2623,0.2421875,0.17199999990407377,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,88eea5dea82bca389a83b88decacbbc914add5043f4a2852ee37aa3bd18c567a,1,46,88eea5dea82bca389a83b88decacbbc914add5043f4a2852ee37aa3bd18c567a,4,True,20db2d9a5cca05365dafb4591ce335aa1c7168b07c57039c8ce84fd3c639e7b2,64,64
aac722017226e9b17884787f1263af6d13da07ca0c33c25d7fb61addb855f597,True,ldpc.BpOsdDecoder,2.4.1,8f502883ccbcafad6ae02d2d3096b8f7d8a36a7f1074cf5041da1cad2ffcecb5,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f021,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f021,2623,0.25390625,0.15600000007543713,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,655935c914c246561a3c19457d106c8e88bbca31394dc0d7d77345bdc173e198,1,46,655935c914c246561a3c19457d106c8e88bbca31394dc0d7d77345bdc173e198,4,True,ecb056d5eef9ded795bf29ba12c242269f4810a58438f45f0d098a092f672591,64,64
2203cd06d8c60f3c129a32fcaea9c36c39f373ab97d2897b721d324e488621f5,True,ldpc.BpOsdDecoder,2.4.1,cf17cd4ab9b14d1b2d92ca1be3678747e174a630c010c71583039bd9d96ccdbe,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f011,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f011,2623,0.27734375,0.1559999999590218,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,508e2cc7f06078e7027d664dd47c764b6909b026caea89f69c99469432ed5a9f,1,46,508e2cc7f06078e7027d664dd47c764b6909b026caea89f69c99469432ed5a9f,4,True,e7a8ec34be08907ca92df82c8a300a47d1d69b58cd72d647411fac15bd4c2d03,64,64
7c9838380143041cd4486aeee9f0ad517d30210c37c7248149c733ac5417b9c0,True,ldpc.BpOsdDecoder,2.4.1,4dcb8dff161b171e98b68c61e9036b31a744f6967d6a7de488e44e0baf3afabd,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f015,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f015,2623,0.25,0.15700000000651926,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,82d44a84e95931aaac56fcd3301e535796d06f83717be4172e64bc3ff4e44c12,1,46,82d44a84e95931aaac56fcd3301e535796d06f83717be4172e64bc3ff4e44c12,4,True,b8dc1d82e6f91c0ffa64ba8bccc4317538433964c45b9a7def154526f4ec660d,64,64
44994143a95e8be905efbb658e4394941692499d19f1f7a276b7878969bee8d0,True,ldpc.BpOsdDecoder,2.4.1,1880950f9567d785a2f98329e120d0ea246758dbce831896ba58493eec4e8e72,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_stress_125,True,1024,2.168404344971009e-19,,stress_125:f003,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,stress_125:f003,2623,0.28515625,0.1559999999590218,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verified_success,stress_125,p0875,12945,2fc713e276d1d75676a238ec7d268cef3d2e03a25e6589372716fcb72129ce4a,1,46,2fc713e276d1d75676a238ec7d268cef3d2e03a25e6589372716fcb72129ce4a,4,True,7c102651883bd78c46abf5383b9e13b9d0bf2da4e5e6a7b96bf93b8328a69d98,64,64
d161f26819f1b75a4b89943f4ea29417cec09866c2e220f29be342fa3a5a486f,True,ldpc.BpOsdDecoder,2.4.1,7115c807011a65c1e1887713d7564b0da3f5e5df26a2b7db5f6bc3b70fc35538,604aa77dd4e6bbb9539071f4be4a74d8c623a5642cd459272a2dc6dce8b930b6,"[1, 0, 1, 2, 0, 0, 1, 3, 2, 3]",synthetic_calibrated,True,1024,2.168404344971009e-19,toeplitz_mismatch,calibrated:f009,256,4,2304,2240,method_specific_not_cross_ranked,gray,ldpc_formal_v3,256,d7c55fa0323a2b2c7fa6100024f32259243abc6409de18f2010243807fbd4a11,calibrated:f009,2623,0.2421875,0.15600000007543713,1319938ff6c989642950d4e3f3dba7ae9d0cbea14eb0c1e3a90d826e4fbc3227,verify_failed,calibrated,p0875,12948,6d49ef0a6e55ecdcd56d70fdd676c911d1141ad5b30595138cb12cecc9937c99,1,46,6d49ef0a6e55ecdcd56d70fdd676c911d1141ad5b30595138cb12cecc9937c99,4,True,c57aa6584e4950102ff9d8c9588c402f65332804b1a0816c465fc5df2d006877,64,64
