attempted,check_count,decoder_p,denominator_included,frame_id,iterations,key_dependent_disclosure_bits_total,policy_sha256,public_control_bits,public_control_bits_total,qualification_role,runtime_s,status,stratum_p,syndrome_disclosure_bits,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_000,4,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.140999999945052,verified_success,0.2,320,4127206b302f9320768ad3d88fb845dbdd12d586a5a7a335e515edd2caf7443c,True,26e43745ebc87ada5d3bcc3681edc4ff33fa51293bef45b53054eefe2a536227,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_001,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.76500000001397,decode_failed,0.2,320,c591aa29e37fb8835caea861ea0e37252eddf9704bc143fd6cad7efabe656b34,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_002,4,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.125,verified_success,0.2,320,8c0794fdeba6bcf39767812e6857a4c4189af9df188ee02b524cf1d19c1d7b51,True,cd9016b302a2ccfc25869adfeb406365f85a89f1dd382e9a0ed298e30cb208f7,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_003,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.859000000054948,verified_success,0.2,320,a96c4c3820eef6756d4cfde608c24ebd7654d1b8ee41f6a36cfa0da069322a1c,True,d0f247473f3c2bd7b404ce24c4636266babe7ce1dc697f4b4381f4f30fe6ddf7,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_004,7,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.8900000000139698,verified_success,0.2,320,9140a87aac6bb034005705fd7a9f6e96f6245de27a9106515b2d797ede4b637a,True,9397594c303d92a1aeb3ad53e0055cff51a17eb4a026e0ff491c30e80b02dc2e,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_005,4,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.125,verified_success,0.2,320,15ee1553fcdd07bfc4a7c567af1ddf9a85a032f6c443820b4c6f433784e5d664,True,b892f41e54ecf893a6430014fd06b6cd5ac9544e4964ff19639ca5f05ae89c49,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_006,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.6869999999180436,decode_failed,0.2,320,6c19cf001e199a61101bec5878f19fc204087083f37d336f8950d09a7e4b0342,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_007,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.672000000020489,decode_failed,0.2,320,334770d8f8f21bdf62bca105e379e18c56ce2234d34091088c86c960aca765aa,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_008,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.8589999999385327,verified_success,0.2,320,43f68c3ad5b5d5971177f0630b26c00a5509b57d72769b9185598b174203010f,True,1afb2d748d9ebfee0dd85923d1d2bab45c3dee2712baccefb3cad6edde8aace3,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_009,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.672000000020489,decode_failed,0.2,320,f74c1bbfc38e39050bd2b6333baa00d21e79595aeaef921684eb2b24e6ebbcd6,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_010,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.702999999979511,decode_failed,0.2,320,462944a3638798cdbab93fdc4709fb81d4f4530ddaf04d41b7373cff3db62c87,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_011,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.8599999999860302,verified_success,0.2,320,eea04a1f44de60f6acc1a5de2bc3f8b3dfeb7e49200de7bf173b1c4b0ff51b95,True,4cb03f218d47be257b821e427b66877bb2de2bb083baea0b388fa14b7546c6af,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_012,2,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.609000000054948,verified_success,0.2,320,a808dae686bfddb45f556cdad870ff48986ebfec40bea56523b50a569ffbe833,True,5978f34cbe86b0dff241b7881743959127f83c90aa5c4b4408f9dc7797fada68,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_013,2,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.5939999999245629,verified_success,0.2,320,c917b17c1abb1219c58379af9e49b0343f1bff92baa2fdf43fbc19c8b28a0a3c,True,160f0ec953dee1a5ffeebf30903b2b1ae03b2e68c4f8e0ee223a1bf76b86d63b,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_014,2,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.5940000000409782,verified_success,0.2,320,255e793d5d85af8d275a8f8379f5c47c8da7785f33d1e46e1acc69a08e24ce19,True,7fe1219df7a017fb2c36709dd5f0105865d15c6cc5051f105c96a5d5745548a9,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_015,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.672000000020489,decode_failed,0.2,320,1d6ed24b4cdcf9aa1fe5ae9a57c8bd8c5774ee4e47978f8710e1066b9bed0cda,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_016,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.875,verified_success,0.2,320,bea89e384783b57b2e06ac60882feb53be377cc0829b060d2b329c9191b1fe34,True,c4b3b1cf4fa5846a4962fe833c6ec01a89bc2ad4a0fff84166edb1509b2c652e,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_017,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.702999999979511,decode_failed,0.2,320,37cc463be7348da5ccb058bf81c548159dbd057539e493ca7919a7990daf6a4e,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_018,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.655999999959022,decode_failed,0.2,320,14221c399a4c998d060f77376f31be305c7ab3c1d3699fa4765409e08840391c,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_019,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.655999999959022,decode_failed,0.2,320,aecd324ebf89702ecfe7a3f4d54670a201ccc6927fd83bbe81109a19c7531f87,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_020,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.875,verified_success,0.2,320,6db230d5d43d5e8b347de1c26a077364a06bf9f1dcfa8ea7c25c79cd89486257,True,d019cfca455dedc2d26d022dab6ec7e3628913af72d252981ad523bff34ab8d8,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_021,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.8589999999385327,verified_success,0.2,320,1e2e7caa26d57c8a6c88d293eba9b7efb13d3d3c15e77bf13e100b0790208cdf,True,cb4826e8d7f9b827e4bdc2f1f2b7635921c9f3f9b4148d140c5d75e487cd095c,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_022,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.73499999998603,decode_failed,0.2,320,02c1de8d548cd0677950a32cc1d8413b6c2a4a3854b2e2d24bcf92b0044403ba,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_023,4,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.125,verified_success,0.2,320,a910392882e1f4800f0767cbc17f1bbed27ffbbe797908ab5a190b2e91f73959,True,460976a1f56e4e31ebd8a4d6a692df6e98a83ca083f948649e41769187ed880c,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_024,4,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.109000000054948,verified_success,0.2,320,e511d8852edd9b1017f310c7c14e018a42bf459f5fdaeb502f62d6d539c7144e,True,c4199e35683868d5c160240c9d29eff6b6c7f9885b26b025e01d99d06a83ba11,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_025,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.672000000020489,decode_failed,0.2,320,64c7aced477a9953897d32aa6b3d754f57f16204892ac93fe2d16612816c43aa,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_026,4,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,1.1559999999590218,verified_success,0.2,320,9ed00e55c55d66edfd090035cea0248f83aad6c109f3af172e61769c9c7d6243,True,616a1c22bf711a52090b7d69d10ff658abd14ec2a98eee3ec9249f6bfc9a709c,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_027,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.76500000001397,decode_failed,0.2,320,ec162cb938f573acb6289d9c0715fb44bd6ccd1d7550fedc1c79b20fd3fe28cb,False,,0
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_028,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.8910000000614673,verified_success,0.2,320,93c647732b6cbf31176ec723c7bada89c4e097fd936b3fe69948eb1789b5ef0c,True,054d42916f142ea71ecd5468d059e51ba5ac3c23b41115b1910531bfb24de784,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_029,3,384,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,703,703,confirmation,0.875,verified_success,0.2,320,b60bb7b2191876c91c15dc4d0a6adf1b7c001dcd631feb2022676695539e439f,True,2fb8c8d7652c92084997594944f06faa229ad533dd3ecb58357b074063fbfe59,64
True,32,0.2,True,nbldpc_formal_v1_q1024_p20_confirmation_030,10,320,23a1b46300f1c841eed3ffc6f672840c7be17608260de6b09944cac74228983d,0,0,confirmation,2.7339999999385327,decode_failed,0.2,320,cfa316d88f969968c5b97dad456f8b1a50e23c2f74f56b2a42124ed19d88ee93,False,,0
