attempted,candidate_id,check_count,decoder_p,denominator_included,frame_id,iterations,key_dependent_disclosure_bits_total,policy_sha256,public_control_bits,public_control_bits_total,qualification_role,runtime_s,status,stratum_p,syndrome_disclosure_bits,transcript_event_count,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_000,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,2.047000000020489,decode_failed,0.2,240,2,c00665b9677d546aa397e21e1bd8513e99bf94273e07a15b4cc3f4f40e996712,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_001,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,2.030999999959022,decode_failed,0.2,240,2,3867c08a336bf098f6e97a7cf5d928c5bed65f3b0a166951f7c311a035df834d,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_002,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,2.01500000001397,decode_failed,0.2,240,2,4de15a27f27f1e589211f6edb9a28bac51cb455c245bd1100718c1f616e6e891,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_003,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,1.9849999999860302,decode_failed,0.2,240,2,4cb034b5b5e8f19a6e49edd6b9ab727f3598714e53a05e2c3df01a99b2c791cc,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_004,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,1.984000000054948,decode_failed,0.2,240,2,eab82231acde85e3b7da50c00864e275bf09b144afa3093bece98acc9b024cdc,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_005,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,1.9849999999860302,decode_failed,0.2,240,2,3ec941a6db192a897baba70e82d8d7f2a966909d357ff349aa7fd06d99a3d0e8,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_006,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,2.0,decode_failed,0.2,240,2,ff9ef5bdc0cfbd9c4f153d03271935969faf9600fc98435a4875b7469a698634,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_007,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,2.0,decode_failed,0.2,240,2,050132b479bcb693b6004342fae94bba712905704b8363e0c8af37b39762326a,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_008,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,1.984000000054948,decode_failed,0.2,240,2,b44e266e830da537e392db09828420f8a2f7e2f21ec0a59e54cc76733a3b665e,False,,0
True,nbldpc_formal_v2_control_n1_flooding,24,0.2,True,nbldpc_formal_v2_q1024_p20_development_009,10,240,a450304b0c61c476e6e7a45a0c82ccfb189ac27bd07a01c128964c98776f2fc8,0,0,development,2.030999999959022,decode_failed,0.2,240,2,bfd04155f458396b7fcd778cfff9eb87f3ef2f554747a7d0e42bfa7e193b0b72,False,,0
