array_sha256,check_count,denominator_included,frame_id,iterations,key_dependent_disclosure_bits_total,policy_sha256,public_control_bits,public_control_bits_total,qualification_role,runtime_s,status,stratum_p,syndrome_disclosure_bits,transcript_event_count,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits
9d3c31a999551053944e62727f400b176c36371e61744344a93747336e96ba7f,24,True,nbldpc_formal_v3_q1024_p20_development_000,3,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,4.063000000023749,verified_success,0.2,240,3,9d56d76c64890ead5d450d7b832199359d191bde8f242ff30120f0211093c287,True,3ef296e2ff569b956208f0c815384276d52808dd542101c6df751b42abaf407b,64
7abbd0bd684e23883c48ca814cd3b9097d0614406cd531bdb8b1be0abba223c0,24,True,nbldpc_formal_v3_q1024_p20_development_001,6,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,7.437999999965541,verified_success,0.2,240,3,f3e4ac61e93070447b2592ea15d2e02c7da5a3c344f0f267f7b5c9efcccdb141,True,f289fdea37344107797c90857d1e45b999d4437e21996447cd610ba77ca7492c,64
a5d82e5d56b28193f7f81416f0bbc091c161b9e86b5d0107d28d3e7e3f16bdf0,24,True,nbldpc_formal_v3_q1024_p20_development_002,12,240,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,0,development,14.14000000001397,decode_failed,0.2,240,2,da5f8dccc96af7cd4800f5b36e54001ba3a453e7e2f7ef34dc9c21372d2802f3,False,,0
bc92897b2413a9c58612ef63c35e58d66fd5441369a2956aeebdc1dba8e07d2f,24,True,nbldpc_formal_v3_q1024_p20_development_003,3,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,4.186999999976251,verified_success,0.2,240,3,710e8f5bdf834e6913a003dae854fb527c3929d2453d50ff2785802bf0af100a,True,f4ef9332d5744cf284d157a38c793ef1c39bb0eae511a61a4229c094e75f9cd6,64
ff23056da0c398a91dc551900bbf59813c32cad9ad86f26f17f0c4a81b98baba,24,True,nbldpc_formal_v3_q1024_p20_development_004,5,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,6.407000000006519,verified_success,0.2,240,3,f2772a14fd920609a793ad8a03f90380d3ad8636d60760f7a70bfaf35c253b0e,True,765da6b06dbf9c7fcf478c7822cbafdfd656a3e2b63680f19f08f9cdc718f4b2,64
bc9934f2e57466386eeb8c86dda3c0a6c53e3e968f14770d84ec549c8dbbfcfc,24,True,nbldpc_formal_v3_q1024_p20_development_005,12,240,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,0,development,14.313000000023749,decode_failed,0.2,240,2,4924e731aa1a6edb16a5ba88070e738d1183b3e9172e5a570a9664bbb802cb93,False,,0
be956c837206a19c16bdc53abce6895c2e4bde740846b4c02d5600388cf782f6,24,True,nbldpc_formal_v3_q1024_p20_development_006,5,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,6.4689999999827705,verified_success,0.2,240,3,81c7ee1360d805747ba2e47690f8e61deaf00fa06b99abea4c5c6c965c26c542,True,8ba0a15c2c8110ab5e5417a82704b98e6bb298c72e28c069968b230c01e15f4c,64
1afd4397c8a0f8dc004c0aad99b1d7c78eec5c868552694b4d3ff38181f77c57,24,True,nbldpc_formal_v3_q1024_p20_development_007,12,240,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,0,development,14.34299999999348,decode_failed,0.2,240,2,937df09d7c56067f40b055f945783e87ee1b61a752e1b19e3942673480189161,False,,0
c6c5f289bf9a3e344cb23d39dac8021d6d058c5bed5e6663290738589b9a6c5a,24,True,nbldpc_formal_v3_q1024_p20_development_008,2,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,3.125,verified_success,0.2,240,3,a02cb27203f418009dc84dfcef3878bfa665d9ccc0bba2a6820acc8d579ce096,True,9e1e2057c86eea43603b46f3c97299db2438e3f47d57223062b8825542539267,64
2d1f41c35a1b3b7fb62136d98e17b2ad41aa2754f38c4e38043ff30646477af8,24,True,nbldpc_formal_v3_q1024_p20_development_009,12,240,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,0,development,14.327999999979511,decode_failed,0.2,240,2,df0df92b8191e03285866ce62819ae8885a2d0e0b530523fa535b3cc592b7879,False,,0
06a75649b7b4ab93092b6b146539777627467471986b1a46d31208238d7c081b,24,True,nbldpc_formal_v3_q1024_p20_development_010,4,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,5.344000000040978,verified_success,0.2,240,3,c2bc55f8644119b6040f976139ef24c9676f8f3718d9da387278af50613df6b4,True,b5693531afc0bc765998e7ce53547bb16a8037303422b302adc4f240f6a3e6da,64
e0afa85e2dbf97135ac838577d8d0cc09a501333dd70d5b869356455e8164560,24,True,nbldpc_formal_v3_q1024_p20_development_011,5,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,6.4689999999827705,verified_success,0.2,240,3,618fbf2a10bd2828b149f1b68357b2d565fb91e609c1cc676dda2fe01bc4a709,True,e37bf705ae0c6c463543eed4b9339db935536b14192a685a6a060a22e527d13d,64
3b36160fd10e5f0414c0af26174e64721b536f7fcab32606f64f82708ac1ff7d,24,True,nbldpc_formal_v3_q1024_p20_development_012,7,304,1c2b64b6e1c95cf53a5c90f59b3ff7e652aabac62c16da4ce6eccab3025a3a9d,0,703,development,8.65600000001723,verified_success,0.2,240,3,aacb793a7577eb161234034e488c40e9289d6934a30eb515cfb907424b5ed741,True,5438f011ef883b24908226f2642ba647c0cfbf7cda08f4f28f64578bdd4c7808,64
