array_sha256,denominator_included,extension_used,final_prefix,frame_id,initial_prefix,key_dependent_disclosure_bits_total,outcome_epsilon_ec,policy_id,policy_sha256,protocol_epsilon_ec_bound,public_control_bits_total,qualification_role,stage1_iterations,stage2_iterations,status,stratum_p,transcript_event_count,transcript_sha256,verification_attempts
6b5d78f6adab5b915c53fe62549b387d0cc4c25bd5f7d6ff215745d84f890265,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_000,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,f70dafd305c142e2faeedd94dbb7ebc0aca142a2f16b8f2beb381252bdb72337,1
19efddfb964bfb1fda954dc2f0e410c752fe9e5f9c134b7c5a5558d171948684,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_001,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,c25ed6e87383a2b2cc7a1cda2ba6a32c1488f9606d6de8d5a6c276442adc649d,1
589d5f159646d9ec1583ae95fb5dff306d12c6333da267955f843ec6520898ee,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_002,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,966d065aacb94672bf338ec407ef4c4a12c6c0576fcba7c0872ad7f967817aa6,1
6f414738552db460cc8dc95296682eb0a92d7dcbcfe8c797f3ef5615c12f7b5c,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_003,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,8,0,verified_success,0.2,4,f360ee801ca69bb377bf97e142bf715235172cc2494c56868c86f16de6568c6b,1
ba4f749d62106807c0162bb680c61509ed2a01a6f417cad4312a3603dac0e3e1,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_004,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,4,0,verified_success,0.2,4,00beca90853a41e43d300ac57cc649e022dd3e6f5e60902295f1a424dc29cf49,1
dbf2899824367955326b82896ae00767cbb63eac9454b69338d2c4c5541c2705,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_005,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,e04f49898b49cec1eccbdc34b6813a45d629dd2cf87ae74a4ce882c6df5df5f9,1
ff48abf40188312861f9a214710feac912849fe5aa3e862d17edcd8f260f7376,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_006,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,667b3c8bd55271277511530f0de160a9e9891e6c33eff8b7a13718d423ec6141,1
8c6b9bcf9f26330b42a9e3096036d1a95ec7b1895f2facf5162c0dcfb572d998,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_007,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,9ed1c084c36d12b41de803dcac7e386ff0900bc3a016bd033cf8790c6efae926,1
0e9e91682bac93e368192090e3862905a3971c2df048c342e6b19436b6c741dc,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_008,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,323ebf5a25bb9e734ae5549bbf7ea1da9416f7374904716b806f1239f66db076,1
b3765377c452c2a5123ffd4a5cb39ab1af041c55a4e25598dbd3860ba16e2fe1,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_009,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,366bdc739d017da649d99b182cefbc1e976f6617282c843c3b1b1acb8142ca39,1
6df78569543fb59da5b15ef4605a2e294a11e9c51262daed58ca1701c51f29ef,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_010,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,825500140f834c2ed1a68f9e7f2772f443436b623292e0bf917c79189880f54c,1
450e577f0a2504d9ecb666c998e66dce93148c69d9bd15be74c2efb35da43d96,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_011,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,6c2012e3a56beec0c5a4a7ac9469b938cbabcbf534728e396a8a4560ebf00a58,1
7c3540f55f89caaf7dfecc83b0ea463a482aff51704eda54b27e595d977af5fc,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_012,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,4,0,verified_success,0.2,4,b5e357fcddd56b89a6fce56ec0bdeb156b8096ab87c69272c50da6748ed37ed3,1
51972dbca80bae1ba5ca7fd231de3c1d8dc04c0c31fb4142792ce4bcfd338166,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_013,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,280e518602ec0f1c1168ef5844c87bf42c85a66cd34017ea08c69c7dfc7a0423,1
6076721556e8da4405714dd0bdee227680525d5679ddfc54f7a4e1db6c911a22,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_014,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,4e802cc0092544e551ed4d9a3756202c4020517978d80e97770bca903157a145,1
5660f26501ef3468150f98eacb09322ba90c4c8da2c47e161629900be594ab89,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_015,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,9,0,verified_success,0.2,4,ac7baf92801615028807cec31926942e6453b053e9090d1796e9b63dc4b13f0b,1
75063a57e2f7ad002ec1138c86e1acd69cb93fe38f19d2a7e740af4b5ea56684,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_016,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,083ae59952f5440ebd48a1e7fab787e12f2c31afbda55476075acdf237d45e39,1
7d4616636415d4f817181a87993a09b82894dcf7342b6cb6d836782a74add74b,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_017,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,521e2ef14c46868c222b5a53f6898095438ef4514a67de9fa39c134afe747de9,1
ed29c4905b033f1d89f0999d6a554a474bc5fee71ca651a367648194cb7be0ad,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_018,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,6,0,verified_success,0.2,4,e718b3087461c83712643192b2ad5947027a803a6be3d1022557b78614c4c3c5,1
9b971c232c2d9e40376d42597fac5a74cdf45df1de23cb28491da57780daddd8,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_019,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,5d25676187db5cc55f00fae3d2c5c3dc6d474598a80bcade9049633e8b33a919,1
d2b251143b6a6bbe76dc7f614c446923cce63966b217e2527263f93970937541,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_020,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,12b101cf529a18a2ec1f49d8febd8db60a153db8abcf3f50e293a958d401bfa0,1
076d6d24d01429094ee65b92e8e2b267fa4395485df55f5e489727d8c3fab75d,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_021,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,c4e838d2ca41a579fa8f5f7ff5a400fa1cfbf95af24b63bb5342af7f5b5fd744,1
75a58a8fe6988e50670c0c9162e44bb3f268d7b467a5e2614d9ae6d0e8a8a6ed,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_022,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,2,0,verified_success,0.2,4,039344d1bfc872832f799657e7e6b7740aa199557486d9c90b3fa7a39db64af9,1
0fed953a86d1bde308ff5396d2ac900a9f1614f3b512a417864fc1c4bf8969eb,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_023,32,320,,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,2,development,12,0,decode_failed,0.2,3,04500e9d2760c221f1560cd21b3181fb06d95830cfd485d798c9fc2d6c978ab3,0
b3d02c580220d43fbbcc619da510f7969989f639946b4f6cd420d888f3bdb796,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_024,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,f4f1b9ed55df9a6244c0eedd99ab70d456bc5394b36e0e7207554c0bd2dedcf3,1
a04cf61b50afdf797aded61ab666587cddd63e29f838bb02eb3572fcc97ad1e7,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_025,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,3,0,verified_success,0.2,4,7df989fd4e38799380ea72b98e106e57037f3cc0cebd568c7a3dc1bf246d7b3c,1
d6fea7b6328a6a517d75edfaa3177a04378e322e3bff081ab23394087658498c,True,False,32,nbldpc_formal_v4_ir_q1024_p20_development_026,32,384,5.421010862427522e-20,nbldpc_v4_control,cfda85c0312f7c7629c29db737ef2690c7bcc07d284b89946f7b95f96b82482c,5.421010862427522e-20,705,development,4,0,verified_success,0.2,4,7abe97844949a3602e75ae5c83faec4a47310350bd3ad0278bc970ce8768e4a0,1
