array_sha256,denominator_included,extension_used,final_prefix,frame_id,initial_prefix,key_dependent_disclosure_bits_total,outcome_epsilon_ec,policy_id,policy_sha256,protocol_epsilon_ec_bound,public_control_bits_total,qualification_role,stage1_iterations,stage2_iterations,stage3_iterations,status,stratum_p,transcript_event_count,transcript_sha256,verification_attempts
ee0f9f7b8253860bf6fbe9e6a0c0a36db293bd9e1efdbc3ef1d70a8c15d16f10,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_000,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,9fdce1ff4a54caf37b1031b9b38eabb72615e71750f1255e1b324a28b1d865e9,1
61a904c186b517b25626b9a95a365d334c3c03b3041be523a19898055f0ce45d,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_001,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,3d11eec7d069efdc85d07815dbbac11027ca25cac91b6130b4e4ccbce49a8146,1
34fb06374bfaf5fa372dc131841bd5b8e402554dd9fa60f5085860b9138742b6,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_002,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,3c17d8398bdef744f4f29c2080a831e53d3bb01f60132f7ac8fc4101acaf312e,1
12c2a65f3db266834d6f11f7f83cf12c134a12c6848502a5fa27a5f6bf67be85,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_003,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,91fb6432a399dc771ca77e49db879152020de5c0804f684ab62cbe24bf5daa1b,1
e008562d0208998f60bdedd9e26d709ddbed67ae0b449d2e4d53032aeb3e7ad4,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_004,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,22a131f74eedb1f45061c3a51dd24bb72607ae5f7073d1f334c552eea5bf48cd,1
791f5fd9739411aeb1f330802e997873d256fe7326650019e511fe16e2bf875a,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_005,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,5,0,0,verified_success,0.2,4,248bf128a99ce58ade182b736c03e697cc3c766e32341db00e14ca44da36762a,1
71e205e10171c2edc09172c1d60f1931ab069bbb5be49c0e5ab0f5191f8bcfb6,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_006,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,71a4abebb4b3e6be6804d1f9a42958238f7a4c6b313bc37b3349360497eede9e,1
360e579c19eded56415f9361e8a2dc526966b778826e5ecb54a1f7fb2d59b9f2,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_007,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,4,0,0,verified_success,0.2,4,c3fab0243c68f55c16f2e104986fbb8e76f1d6068d32d3321b2021800df86d01,1
3ad3ee73d9a8d375a5a57a0c502919b9bf1768fb68fed32a89a32699d0401b7a,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_008,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,4,0,0,verified_success,0.2,4,c4941af0a71d701f1d0b866893a02ded8c805a2492f9bdf7208aa412bba7f606,1
e9834c5cd5d5c9422ce034bf22d14e680f510db76cef5941de1c931cdb06d909,True,False,32,nbldpc_formal_v5a_multistage_q1024_p20_development_009,32,384,5.421010862427522e-20,nbldpc_v5a_ir56,dccb378a454dfb0d9b0830da64c6bfa188566032c09803ddbd2a0e76fca12245,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,59470122af544cd8b309d60efe9308228d0c34227b6261464296d8bae9d0678a,1
