array_sha256,denominator_included,extension_used,final_prefix,frame_id,initial_prefix,key_dependent_disclosure_bits_total,outcome_epsilon_ec,policy_id,policy_sha256,protocol_epsilon_ec_bound,public_control_bits_total,qualification_role,stage1_iterations,stage2_iterations,stage3_iterations,status,stratum_p,transcript_event_count,transcript_sha256,verification_attempts
d5d230e5fa74304cec0758237060fcc132491905a24b4c78bbb54836410c0200,True,True,40,nbldpc_formal_v5c_decoder_q1024_p20_development_000,32,464,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,707,development,12,4,0,verified_success,0.2,7,74b30e2c6088409631066eb8a31f134654a4f64c510eb34d034e9a3f916d618f,1
e105f7575a5ec9f30895749a46483beac679215258e532f8915e9ba5fcf5b335,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_001,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,1b7003802fd8d334415be3c32abed1d6108ff567fe07f2d2ecd19213371be06c,1
4a1a06abe1e86f46027c113fd66041d4ba81159f468fd9050ff84eab1ed3cd33,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_002,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,c343d95b0a259930d87f358651ec369dfb065baa993865a9e61a7256e7a81b33,1
02588d1d3a6bd3293dc7b00f22a0dd13cfc3888e32b3adb271e704ce984354f2,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_003,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,437033cd7ebf0aa37aa6fb5861d9340ac01b1f599343b5f4ae048aaa6de32277,1
2a0be40f5f92007e07f9480d794935f79220194f53db313122224fed2af981ac,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_004,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,6,0,0,verified_success,0.2,4,fa668db48ac15c8932917a84c7ed5ae40659e37c0db33e3ecfb5a65324c49e88,1
4818506fdbab612fcb0634049fc60e43e37a905991c557d7f14a19156fb3ad9e,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_005,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,7f7c1811dc6967c51e20a86541a813e32bfcb9e5e2393dc4166e42a7f6695650,1
319469294bc154f91d871b06a15a230dd787e3a8ce5a37030c17a517b555d7be,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_006,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,453fa16ca8844f13a53f81c8c166f30cf6eb117036c913e0012d968ade14bb54,1
c5e1218e3dbce948ce24ca365e1e1c9c9c36abd8fd6846dd393acabda5ef821d,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_007,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,1,0,0,verified_success,0.2,4,975b742e2c4cb99d06a1ebaa0b8a84345ace43f5ff954994e5501684a180c7b9,1
c1c7fe602311ab6dec84e0871757746d5b3fa13cdb6e8c5101ca4e70ae52e5f9,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_008,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,3,0,0,verified_success,0.2,4,bb24e64b5f47ed966cc17b64b2b846ce6590186159ab70abb2dc9215d73ea6ef,1
cb0327855a0a7bbb6123c73f942c6f1c590416c792ec90582cf8e3a8af3d43f1,True,False,32,nbldpc_formal_v5c_decoder_q1024_p20_development_009,32,384,5.421010862427522e-20,nbldpc_v5c_sched,641c745be27bfb9487fa99712a5866725f19c25fc57735fa58196d38cb324559,2.168404344971009e-19,705,development,2,0,0,verified_success,0.2,4,7482930e798b913344aa829df8f309ac480ea5888c238fad11c2ad66bd3bbff8,1
