source,block_seed,lane,construction_seed,matrix_id,errors_initial,errors_final,exact_l2,syndrome_ok,iterations,status,runtime_s
1M,360101,lane_a,381101,lane_a_1M_s381101,251,971,False,False,30,converged_no_syndrome,1.9203704000683501
1M,360102,lane_a,381101,lane_a_1M_s381101,258,978,False,False,30,converged_no_syndrome,1.9141669999808073
1M,360103,lane_a,381101,lane_a_1M_s381101,241,974,False,False,30,converged_no_syndrome,1.9162373000290245
1M,360104,lane_a,381101,lane_a_1M_s381101,247,977,False,False,30,converged_no_syndrome,1.9102561000036076
1M,360105,lane_a,381101,lane_a_1M_s381101,248,960,False,False,30,converged_no_syndrome,1.9043517000973225
1p5M,360201,lane_a,381201,lane_a_1p5M_s381201,268,953,False,False,30,converged_no_syndrome,1.9897295999107882
1p5M,360202,lane_a,381201,lane_a_1p5M_s381201,269,986,False,False,30,converged_no_syndrome,2.079449500073679
1p5M,360203,lane_a,381201,lane_a_1p5M_s381201,275,962,False,False,30,converged_no_syndrome,2.2081556000048295
1p5M,360204,lane_a,381201,lane_a_1p5M_s381201,247,962,False,False,30,converged_no_syndrome,2.073383599985391
1p5M,360205,lane_a,381201,lane_a_1p5M_s381201,278,975,False,False,30,converged_no_syndrome,2.4304657999891788
2M,360301,lane_a,381301,lane_a_2M_s381301,257,947,False,False,30,converged_no_syndrome,2.3791058000642806
2M,360302,lane_a,381301,lane_a_2M_s381301,263,963,False,False,30,converged_no_syndrome,2.3611462999833748
2M,360303,lane_a,381301,lane_a_2M_s381301,249,973,False,False,30,converged_no_syndrome,2.4836048000724986
2M,360304,lane_a,381301,lane_a_2M_s381301,280,967,False,False,30,converged_no_syndrome,2.405154600040987
2M,360305,lane_a,381301,lane_a_2M_s381301,257,973,False,False,30,converged_no_syndrome,2.357303100056015
1M,360101,lane_b,382103,lane_b_1M_s382103,251,971,False,False,30,converged_no_syndrome,2.298569100094028
1M,360102,lane_b,382103,lane_b_1M_s382103,258,978,False,False,30,converged_no_syndrome,2.4003622999880463
1M,360103,lane_b,382103,lane_b_1M_s382103,241,974,False,False,30,converged_no_syndrome,2.341568399919197
1M,360104,lane_b,382103,lane_b_1M_s382103,247,977,False,False,30,converged_no_syndrome,2.337643500068225
1M,360105,lane_b,382103,lane_b_1M_s382103,248,960,False,False,30,converged_no_syndrome,2.405428900034167
1p5M,360201,lane_b,382201,lane_b_1p5M_s382201,268,953,False,False,30,converged_no_syndrome,2.261331700021401
1p5M,360202,lane_b,382201,lane_b_1p5M_s382201,269,986,False,False,30,converged_no_syndrome,2.375727100064978
1p5M,360203,lane_b,382201,lane_b_1p5M_s382201,275,962,False,False,30,converged_no_syndrome,2.376708000083454
1p5M,360204,lane_b,382201,lane_b_1p5M_s382201,247,962,False,False,30,converged_no_syndrome,2.2652704999782145
1p5M,360205,lane_b,382201,lane_b_1p5M_s382201,278,975,False,False,30,converged_no_syndrome,2.330376400030218
2M,360301,lane_b,382301,lane_b_2M_s382301,257,947,False,False,30,converged_no_syndrome,2.4221989000216126
2M,360302,lane_b,382301,lane_b_2M_s382301,263,963,False,False,30,converged_no_syndrome,2.3601529999868944
2M,360303,lane_b,382301,lane_b_2M_s382301,249,973,False,False,30,converged_no_syndrome,2.339409500011243
2M,360304,lane_b,382301,lane_b_2M_s382301,280,967,False,False,30,converged_no_syndrome,2.379143900005147
2M,360305,lane_b,382301,lane_b_2M_s382301,257,973,False,False,30,converged_no_syndrome,2.2566235999111086
1M,360101,lane_c,383103,lane_c_1M_s383103,251,971,False,False,30,converged_no_syndrome,2.3103586999932304
1M,360102,lane_c,383103,lane_c_1M_s383103,258,978,False,False,30,converged_no_syndrome,2.3148599000414833
1M,360103,lane_c,383103,lane_c_1M_s383103,241,974,False,False,30,converged_no_syndrome,2.3454773999983445
1M,360104,lane_c,383103,lane_c_1M_s383103,247,977,False,False,30,converged_no_syndrome,2.2301645000698045
1M,360105,lane_c,383103,lane_c_1M_s383103,248,960,False,False,30,converged_no_syndrome,1.9451601000037044
1p5M,360201,lane_c,383203,lane_c_1p5M_s383203,268,953,False,False,30,converged_no_syndrome,1.901015100069344
1p5M,360202,lane_c,383203,lane_c_1p5M_s383203,269,986,False,False,30,converged_no_syndrome,1.9174547999864444
1p5M,360203,lane_c,383203,lane_c_1p5M_s383203,275,962,False,False,30,converged_no_syndrome,1.9450168000767007
1p5M,360204,lane_c,383203,lane_c_1p5M_s383203,247,962,False,False,30,converged_no_syndrome,1.904171200003475
1p5M,360205,lane_c,383203,lane_c_1p5M_s383203,278,975,False,False,30,converged_no_syndrome,1.9327616000082344
2M,360301,lane_c,383301,lane_c_2M_s383301,257,947,False,False,30,converged_no_syndrome,1.9120676999446005
2M,360302,lane_c,383301,lane_c_2M_s383301,263,963,False,False,30,converged_no_syndrome,1.9421681000385433
2M,360303,lane_c,383301,lane_c_2M_s383301,249,973,False,False,30,converged_no_syndrome,1.9126254000002518
2M,360304,lane_c,383301,lane_c_2M_s383301,280,967,False,False,30,converged_no_syndrome,1.9156590999336913
2M,360305,lane_c,383301,lane_c_2M_s383301,257,973,False,False,30,converged_no_syndrome,1.9140233000507578
