lane,source,construction_seed,matrix_id,shape,rank_GF32,support_edge_count,col_degree_min,col_degree_mean,col_degree_max,row_degree_min,row_degree_mean,row_degree_max,support_cycles_4,support_cycles_6,support_cycles_8,degenerate_cycles_4,degenerate_cycles_6,degenerate_cycles_8,nondegenerate_cycles_4,nondegenerate_cycles_6,nondegenerate_cycles_8,nondegenerate_fraction_4,nondegenerate_fraction_6,nondegenerate_fraction_8,structurally_valid,structural_failure_reason,sweeps_completed,total_updates,rank_after_sweep_1,final_rank_GF32
lane_a,1M,381101,lane_a_1M_s381101,"[184, 1024]",184,2048,2,2.0,2,10,11.130434782608695,12,0,2360,13865,0,0,0,0,2360,13865,1.0,1.0,1.0,True,,2,2137,184,184
lane_a,1M,381102,lane_a_1M_s381102,"[184, 1024]",184,2048,2,2.0,2,10,11.130434782608695,12,0,2360,13865,0,0,0,0,2360,13865,1.0,1.0,1.0,True,,2,2137,184,184
lane_a,1M,381103,lane_a_1M_s381103,"[184, 1024]",184,2048,2,2.0,2,10,11.130434782608695,12,0,2360,13865,0,0,0,0,2360,13865,1.0,1.0,1.0,True,,2,2112,184,184
lane_a,1p5M,381201,lane_a_1p5M_s381201,"[190, 1024]",190,2048,2,2.0,2,10,10.778947368421052,12,0,2270,12815,0,0,0,0,2270,12815,1.0,1.0,1.0,True,,2,2257,190,190
lane_a,1p5M,381202,lane_a_1p5M_s381202,"[190, 1024]",190,2048,2,2.0,2,10,10.778947368421052,12,0,2270,12815,0,0,0,0,2270,12815,1.0,1.0,1.0,True,,2,2254,190,190
lane_a,1p5M,381203,lane_a_1p5M_s381203,"[190, 1024]",190,2048,2,2.0,2,10,10.778947368421052,12,0,2270,12815,0,0,0,0,2270,12815,1.0,1.0,1.0,True,,2,2301,190,190
lane_a,2M,381301,lane_a_2M_s381301,"[192, 1024]",192,2048,2,2.0,2,10,10.666666666666666,12,0,2240,12465,0,0,0,0,2240,12465,1.0,1.0,1.0,True,,2,2273,192,192
lane_a,2M,381302,lane_a_2M_s381302,"[192, 1024]",192,2048,2,2.0,2,10,10.666666666666666,12,0,2240,12465,0,0,0,0,2240,12465,1.0,1.0,1.0,True,,2,2258,192,192
lane_a,2M,381303,lane_a_2M_s381303,"[192, 1024]",192,2048,2,2.0,2,10,10.666666666666666,12,0,2240,12465,0,0,0,0,2240,12465,1.0,1.0,1.0,True,,2,2259,192,192
lane_b,1M,382101,lane_b_1M_s382101,"[184, 1024]",184,2047,1,1.9990234375,2,11,11.125,12,11,1581,7376,1,58,236,10,1523,7140,0.9090909090909091,0.963314358001265,0.9680043383947939,True,,,,,
lane_b,1M,382102,lane_b_1M_s382102,"[184, 1024]",184,2047,1,1.9990234375,2,11,11.125,12,10,1592,7468,0,54,218,10,1538,7250,1.0,0.9660804020100503,0.9708087841456883,True,,,,,
lane_b,1M,382103,lane_b_1M_s382103,"[184, 1024]",184,2047,1,1.9990234375,2,11,11.125,12,7,1525,7190,0,50,253,7,1475,6937,1.0,0.9672131147540983,0.9648122392211405,True,,,,,
lane_b,1p5M,382201,lane_b_1p5M_s382201,"[190, 1024]",190,2047,1,1.9990234375,2,10,10.773684210526316,11,14,1436,6414,0,51,210,14,1385,6204,1.0,0.9644846796657381,0.9672591206735267,True,,,,,
lane_b,1p5M,382202,lane_b_1p5M_s382202,"[190, 1024]",190,2047,1,1.9990234375,2,10,10.773684210526316,11,16,1521,6808,1,32,236,15,1489,6572,0.9375,0.9789612097304405,0.9653349001175088,True,,,,,
lane_b,1p5M,382203,lane_b_1p5M_s382203,"[190, 1024]",190,2047,1,1.9990234375,2,10,10.773684210526316,11,18,1471,6633,0,53,211,18,1418,6422,1.0,0.9639700883752549,0.9681893562490578,True,,,,,
lane_b,2M,382301,lane_b_2M_s382301,"[192, 1024]",192,2047,1,1.9990234375,2,10,10.661458333333334,11,9,1474,6499,0,44,216,9,1430,6283,1.0,0.9701492537313433,0.9667641175565471,True,,,,,
lane_b,2M,382302,lane_b_2M_s382302,"[192, 1024]",192,2047,1,1.9990234375,2,10,10.661458333333334,11,9,1469,6440,0,58,188,9,1411,6252,1.0,0.9605173587474473,0.970807453416149,True,,,,,
lane_b,2M,382303,lane_b_2M_s382303,"[192, 1024]",192,2047,1,1.9990234375,2,10,10.661458333333334,11,6,1436,6390,0,48,211,6,1388,6179,1.0,0.9665738161559888,0.96697965571205,True,,,,,
lane_c,1M,383101,lane_c_1M_s383101,"[184, 1024]",184,2048,2,2.0,2,10,11.130434782608695,12,41,288,8459,3,8,280,38,280,8179,0.926829268292683,0.9722222222222222,0.9668991606572881,True,,,,,
lane_c,1M,383102,lane_c_1M_s383102,"[184, 1024]",184,2048,2,2.0,2,10,11.130434782608695,12,41,288,8459,2,13,215,39,275,8244,0.9512195121951219,0.9548611111111112,0.9745832840761319,True,,,,,
lane_c,1M,383103,lane_c_1M_s383103,"[184, 1024]",184,2048,2,2.0,2,10,11.130434782608695,12,41,288,8459,0,6,260,41,282,8199,1.0,0.9791666666666666,0.9692635063246247,True,,,,,
