source,block_seed,lane,construction_seed,matrix_id,errors_initial,errors_final,exact_l2,syndrome_ok,iterations,status,runtime_s
1M,360101,lane_a,381101,lane_a_1M_s381101,251,115,False,False,30,converged_no_syndrome,1.8617142000002787
1M,360102,lane_a,381101,lane_a_1M_s381101,258,100,False,False,30,converged_no_syndrome,1.8504951000213623
1M,360103,lane_a,381101,lane_a_1M_s381101,241,105,False,False,30,converged_no_syndrome,1.871963300043717
1M,360104,lane_a,381101,lane_a_1M_s381101,247,137,False,False,30,converged_no_syndrome,1.8668410000391304
1M,360105,lane_a,381101,lane_a_1M_s381101,248,86,False,False,30,converged_no_syndrome,1.8513919999822974
1p5M,360201,lane_a,381201,lane_a_1p5M_s381201,268,121,False,False,30,converged_no_syndrome,1.8559958999976516
1p5M,360202,lane_a,381201,lane_a_1p5M_s381201,269,143,False,False,30,converged_no_syndrome,1.856074000010267
1p5M,360203,lane_a,381201,lane_a_1p5M_s381201,275,120,False,False,30,converged_no_syndrome,1.8643839999567717
1p5M,360204,lane_a,381201,lane_a_1p5M_s381201,247,63,False,False,30,converged_no_syndrome,1.848761299974285
1p5M,360205,lane_a,381201,lane_a_1p5M_s381201,278,121,False,False,30,converged_no_syndrome,1.8527428000234067
2M,360301,lane_a,381301,lane_a_2M_s381301,257,99,False,False,30,converged_no_syndrome,1.839703100034967
2M,360302,lane_a,381301,lane_a_2M_s381301,263,163,False,False,30,converged_no_syndrome,1.8436969999456778
2M,360303,lane_a,381301,lane_a_2M_s381301,249,94,False,False,30,converged_no_syndrome,1.8559742999495938
2M,360304,lane_a,381301,lane_a_2M_s381301,280,126,False,False,30,converged_no_syndrome,1.8414821999613196
2M,360305,lane_a,381301,lane_a_2M_s381301,257,81,False,False,30,converged_no_syndrome,1.84241020004265
1M,360101,lane_b,382103,lane_b_1M_s382103,251,0,True,True,13,converged_exact,0.796484800055623
1M,360102,lane_b,382103,lane_b_1M_s382103,258,0,True,True,12,converged_exact,0.7325354999629781
1M,360103,lane_b,382103,lane_b_1M_s382103,241,12,False,False,30,converged_no_syndrome,1.8564987999852747
1M,360104,lane_b,382103,lane_b_1M_s382103,247,0,True,True,18,converged_exact,1.114765900070779
1M,360105,lane_b,382103,lane_b_1M_s382103,248,29,False,True,16,converged_exact,0.9860242999857292
1p5M,360201,lane_b,382201,lane_b_1p5M_s382201,268,0,True,True,14,converged_exact,0.8654636999126524
1p5M,360202,lane_b,382201,lane_b_1p5M_s382201,269,30,False,False,30,converged_no_syndrome,1.852977699949406
1p5M,360203,lane_b,382201,lane_b_1p5M_s382201,275,47,False,False,30,converged_no_syndrome,1.8519990000640973
1p5M,360204,lane_b,382201,lane_b_1p5M_s382201,247,0,True,True,8,converged_exact,0.49098280002363026
1p5M,360205,lane_b,382201,lane_b_1p5M_s382201,278,122,False,False,30,converged_no_syndrome,1.853354600025341
2M,360301,lane_b,382301,lane_b_2M_s382301,257,0,True,True,9,converged_exact,0.5538202000316232
2M,360302,lane_b,382301,lane_b_2M_s382301,263,0,True,True,8,converged_exact,0.4905261999228969
2M,360303,lane_b,382301,lane_b_2M_s382301,249,0,True,True,8,converged_exact,0.49761890002992004
2M,360304,lane_b,382301,lane_b_2M_s382301,280,0,True,True,28,converged_exact,1.7424142000963911
2M,360305,lane_b,382301,lane_b_2M_s382301,257,7,False,False,30,converged_no_syndrome,1.8447335999226198
1M,360101,lane_c,383103,lane_c_1M_s383103,251,0,True,True,15,converged_exact,0.908828099956736
1M,360102,lane_c,383103,lane_c_1M_s383103,258,0,True,True,11,converged_exact,0.6739223001059145
1M,360103,lane_c,383103,lane_c_1M_s383103,241,0,True,True,14,converged_exact,0.8672681999159977
1M,360104,lane_c,383103,lane_c_1M_s383103,247,0,True,True,13,converged_exact,0.8073402000591159
1M,360105,lane_c,383103,lane_c_1M_s383103,248,0,True,True,14,converged_exact,0.858491100021638
1p5M,360201,lane_c,383203,lane_c_1p5M_s383203,268,0,True,True,10,converged_exact,0.6123735000146553
1p5M,360202,lane_c,383203,lane_c_1p5M_s383203,269,63,False,False,30,converged_no_syndrome,1.8531168999616057
1p5M,360203,lane_c,383203,lane_c_1p5M_s383203,275,0,True,True,24,converged_exact,1.4732419999781996
1p5M,360204,lane_c,383203,lane_c_1p5M_s383203,247,0,True,True,9,converged_exact,0.549766100011766
1p5M,360205,lane_c,383203,lane_c_1p5M_s383203,278,0,True,True,29,converged_exact,1.7982305000768974
2M,360301,lane_c,383301,lane_c_2M_s383301,257,0,True,True,16,converged_exact,1.004411399946548
2M,360302,lane_c,383301,lane_c_2M_s383301,263,0,True,True,8,converged_exact,0.5082588000223041
2M,360303,lane_c,383301,lane_c_2M_s383301,249,0,True,True,8,converged_exact,0.5046228000428528
2M,360304,lane_c,383301,lane_c_2M_s383301,280,0,True,True,14,converged_exact,0.870215900009498
2M,360305,lane_c,383301,lane_c_2M_s383301,257,0,True,True,9,converged_exact,0.5711673999903724
