lane,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,errors_initial,errors_final,exact_l2,syndrome_ok,wrong_codeword,iterations,status,runtime_s
lane_c,1M,383101,1,390101,lane_c_1M_s383101,252,139,false,false,false,30,converged_no_syndrome,1.8532690000720322
lane_c,1M,383101,1,390102,lane_c_1M_s383101,258,0,true,true,false,14,converged_exact,0.861161099979654
lane_c,1M,383101,1,390103,lane_c_1M_s383101,274,196,false,false,false,30,converged_no_syndrome,1.8377351999515668
lane_c,1M,383101,1,390104,lane_c_1M_s383101,248,0,true,true,false,8,converged_exact,0.48063240002375096
lane_c,1M,383101,1,390105,lane_c_1M_s383101,258,0,true,true,false,16,converged_exact,0.9658054999308661
lane_c,1M,383102,2,390101,lane_c_1M_s383102,252,171,false,false,false,30,converged_no_syndrome,1.859478099970147
lane_c,1M,383102,2,390102,lane_c_1M_s383102,258,75,false,false,false,30,converged_no_syndrome,1.8230984000256285
lane_c,1M,383102,2,390103,lane_c_1M_s383102,274,195,false,false,false,30,converged_no_syndrome,1.8335336999734864
lane_c,1M,383102,2,390104,lane_c_1M_s383102,248,0,true,true,false,20,converged_exact,1.2180886999703944
lane_c,1M,383102,2,390105,lane_c_1M_s383102,258,0,true,true,false,25,converged_exact,1.5067168000387028
lane_c,1M,383103,3,390101,lane_c_1M_s383103,252,184,false,false,false,30,converged_no_syndrome,1.8221697000553831
lane_c,1M,383103,3,390102,lane_c_1M_s383103,258,185,false,false,false,30,converged_no_syndrome,1.829947399906814
lane_c,1M,383103,3,390103,lane_c_1M_s383103,274,0,true,true,false,24,converged_exact,1.4677841999800876
lane_c,1M,383103,3,390104,lane_c_1M_s383103,248,0,true,true,false,7,converged_exact,0.42270160000771284
lane_c,1M,383103,3,390105,lane_c_1M_s383103,258,1,false,false,false,30,converged_no_syndrome,1.8246155999368057
lane_c,1p5M,383201,1,390201,lane_c_1p5M_s383201,271,0,true,true,false,10,converged_exact,0.606326499953866
lane_c,1p5M,383201,1,390202,lane_c_1p5M_s383201,262,0,true,true,false,16,converged_exact,0.9733148999512196
lane_c,1p5M,383201,1,390203,lane_c_1p5M_s383201,230,0,true,true,false,6,converged_exact,0.36809969996102154
lane_c,1p5M,383201,1,390204,lane_c_1p5M_s383201,262,0,true,true,false,17,converged_exact,1.0419370000017807
lane_c,1p5M,383201,1,390205,lane_c_1p5M_s383201,240,0,true,true,false,6,converged_exact,0.35925500001758337
lane_c,1p5M,383202,2,390201,lane_c_1p5M_s383202,271,0,true,true,false,13,converged_exact,0.7983238000888377
lane_c,1p5M,383202,2,390202,lane_c_1p5M_s383202,262,0,true,true,false,14,converged_exact,0.8482463000109419
lane_c,1p5M,383202,2,390203,lane_c_1p5M_s383202,230,0,true,true,false,7,converged_exact,0.43830300006084144
