source,construction_seed_ordinal,block_seed,errors_initial,c_matrix_id,c_exact_l2,c_errors_final,b_matrix_id,b_exact_l2,b_errors_final,v31_baseline_errors_final,discordance_label
1M,1,390101,252,lane_c_1M_s383101,false,139,lane_b_1M_s382101,false,127,162,NEITHER_EXACT
1M,1,390102,258,lane_c_1M_s383101,true,0,lane_b_1M_s382101,true,0,170,BOTH_EXACT
1M,1,390103,274,lane_c_1M_s383101,false,196,lane_b_1M_s382101,false,79,178,NEITHER_EXACT
1M,1,390104,248,lane_c_1M_s383101,true,0,lane_b_1M_s382101,true,0,150,BOTH_EXACT
1M,1,390105,258,lane_c_1M_s383101,true,0,lane_b_1M_s382101,true,0,188,BOTH_EXACT
1M,2,390101,252,lane_c_1M_s383102,false,171,lane_b_1M_s382102,false,198,162,NEITHER_EXACT
1M,2,390102,258,lane_c_1M_s383102,false,75,lane_b_1M_s382102,false,77,170,NEITHER_EXACT
1M,2,390103,274,lane_c_1M_s383102,false,195,lane_b_1M_s382102,false,97,178,NEITHER_EXACT
1M,2,390104,248,lane_c_1M_s383102,true,0,lane_b_1M_s382102,true,0,150,BOTH_EXACT
1M,2,390105,258,lane_c_1M_s383102,true,0,lane_b_1M_s382102,true,0,188,BOTH_EXACT
1M,3,390101,252,lane_c_1M_s383103,false,184,lane_b_1M_s382103,false,220,162,NEITHER_EXACT
1M,3,390102,258,lane_c_1M_s383103,false,185,lane_b_1M_s382103,true,0,170,B_ONLY_EXACT
1M,3,390103,274,lane_c_1M_s383103,true,0,lane_b_1M_s382103,false,88,178,C_ONLY_EXACT
1M,3,390104,248,lane_c_1M_s383103,true,0,lane_b_1M_s382103,false,3,150,C_ONLY_EXACT
1M,3,390105,258,lane_c_1M_s383103,false,1,lane_b_1M_s382103,true,0,188,B_ONLY_EXACT
1p5M,1,390201,271,lane_c_1p5M_s383201,true,0,lane_b_1p5M_s382201,false,71,159,C_ONLY_EXACT
1p5M,1,390202,262,lane_c_1p5M_s383201,true,0,lane_b_1p5M_s382201,true,0,197,BOTH_EXACT
1p5M,1,390203,230,lane_c_1p5M_s383201,true,0,lane_b_1p5M_s382201,true,0,155,BOTH_EXACT
1p5M,1,390204,262,lane_c_1p5M_s383201,true,0,lane_b_1p5M_s382201,false,4,183,C_ONLY_EXACT
1p5M,1,390205,240,lane_c_1p5M_s383201,true,0,lane_b_1p5M_s382201,true,0,158,BOTH_EXACT
1p5M,2,390201,271,lane_c_1p5M_s383202,true,0,lane_b_1p5M_s382202,true,0,159,BOTH_EXACT
1p5M,2,390202,262,lane_c_1p5M_s383202,true,0,lane_b_1p5M_s382202,true,0,197,BOTH_EXACT
1p5M,2,390203,230,lane_c_1p5M_s383202,true,0,lane_b_1p5M_s382202,false,31,155,C_ONLY_EXACT
1p5M,2,390204,262,lane_c_1p5M_s383202,true,0,lane_b_1p5M_s382202,true,0,183,BOTH_EXACT
1p5M,2,390205,240,lane_c_1p5M_s383202,true,0,lane_b_1p5M_s382202,true,0,158,BOTH_EXACT
1p5M,3,390201,271,lane_c_1p5M_s383203,false,161,lane_b_1p5M_s382203,true,0,159,B_ONLY_EXACT
1p5M,3,390202,262,lane_c_1p5M_s383203,true,0,lane_b_1p5M_s382203,true,0,197,BOTH_EXACT
1p5M,3,390203,230,lane_c_1p5M_s383203,true,0,lane_b_1p5M_s382203,false,53,155,C_ONLY_EXACT
1p5M,3,390204,262,lane_c_1p5M_s383203,false,69,lane_b_1p5M_s382203,true,0,183,B_ONLY_EXACT
1p5M,3,390205,240,lane_c_1p5M_s383203,true,0,lane_b_1p5M_s382203,true,0,158,BOTH_EXACT
2M,1,390301,259,lane_c_2M_s383301,true,0,lane_b_2M_s382301,false,30,174,C_ONLY_EXACT
2M,1,390302,265,lane_c_2M_s383301,false,52,lane_b_2M_s382301,true,0,167,B_ONLY_EXACT
2M,1,390303,261,lane_c_2M_s383301,false,64,lane_b_2M_s382301,true,0,180,B_ONLY_EXACT
2M,1,390304,252,lane_c_2M_s383301,true,0,lane_b_2M_s382301,true,0,173,BOTH_EXACT
2M,1,390305,253,lane_c_2M_s383301,true,0,lane_b_2M_s382301,true,0,169,BOTH_EXACT
2M,2,390301,259,lane_c_2M_s383302,true,0,lane_b_2M_s382302,true,0,174,BOTH_EXACT
2M,2,390302,265,lane_c_2M_s383302,true,0,lane_b_2M_s382302,true,0,167,BOTH_EXACT
2M,2,390303,261,lane_c_2M_s383302,true,0,lane_b_2M_s382302,true,0,180,BOTH_EXACT
2M,2,390304,252,lane_c_2M_s383302,true,0,lane_b_2M_s382302,true,0,173,BOTH_EXACT
2M,2,390305,253,lane_c_2M_s383302,true,0,lane_b_2M_s382302,true,0,169,BOTH_EXACT
2M,3,390301,259,lane_c_2M_s383303,true,0,lane_b_2M_s382303,true,0,174,BOTH_EXACT
2M,3,390302,265,lane_c_2M_s383303,true,0,lane_b_2M_s382303,true,0,167,BOTH_EXACT
2M,3,390303,261,lane_c_2M_s383303,true,0,lane_b_2M_s382303,true,0,180,BOTH_EXACT
2M,3,390304,252,lane_c_2M_s383303,true,0,lane_b_2M_s382303,false,59,173,C_ONLY_EXACT
2M,3,390305,253,lane_c_2M_s383303,true,0,lane_b_2M_s382303,true,0,169,BOTH_EXACT
