call_id,lane,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,syndrome_ok,wrong_codeword,iterations,status,runtime_s
C01,lane_c,1M,383102,2,390107,lane_c_1M_s383102,90,1.0,277,0,true,true,false,23,converged_exact,1.3738679999951273
C02,lane_b,1M,382102,2,390107,lane_b_1M_s382102,90,1.0,277,32,false,false,false,90,converged_no_syndrome,5.480809300090186
C03,lane_c,1M,383102,2,390108,lane_c_1M_s383102,90,1.0,241,0,true,true,false,12,converged_exact,0.7088883999967948
C04,lane_b,1M,382102,2,390108,lane_b_1M_s382102,90,1.0,241,0,true,true,false,16,converged_exact,0.9540497000562027
C05,lane_c,1M,383102,2,390109,lane_c_1M_s383102,90,1.0,242,0,true,true,false,22,converged_exact,1.3097783999983221
C06,lane_b,1M,382102,2,390109,lane_b_1M_s382102,90,1.0,242,0,true,true,false,13,converged_exact,0.7745833999942988
C07,lane_c,1p5M,383202,2,390207,lane_c_1p5M_s383202,90,1.0,272,0,true,true,false,17,converged_exact,1.017885300097987
C08,lane_b,1p5M,382202,2,390207,lane_b_1p5M_s382202,90,1.0,272,145,false,false,false,90,converged_no_syndrome,5.4106361999874935
C09,lane_c,1p5M,383202,2,390208,lane_c_1p5M_s383202,90,1.0,285,0,true,true,false,32,converged_exact,1.8957837000489235
C10,lane_b,1p5M,382202,2,390208,lane_b_1p5M_s382202,90,1.0,285,118,false,false,false,90,converged_no_syndrome,5.4198837000876665
C11,lane_c,1p5M,383202,2,390209,lane_c_1p5M_s383202,90,1.0,232,0,true,true,false,5,converged_exact,0.3047569999471307
C12,lane_b,1p5M,382202,2,390209,lane_b_1p5M_s382202,90,1.0,232,0,true,true,false,7,converged_exact,0.414777799975127
C13,lane_c,2M,383302,2,390307,lane_c_2M_s383302,90,1.0,270,0,true,true,false,21,converged_exact,1.249136699945666
C14,lane_b,2M,382302,2,390307,lane_b_2M_s382302,90,1.0,270,0,true,true,false,26,converged_exact,1.5535043999552727
C15,lane_c,2M,383302,2,390308,lane_c_2M_s383302,90,1.0,244,0,true,true,false,8,converged_exact,0.47879840002860874
C16,lane_b,2M,382302,2,390308,lane_b_2M_s382302,90,1.0,244,0,true,true,false,7,converged_exact,0.4143259000265971
C17,lane_c,2M,383302,2,390309,lane_c_2M_s383302,90,1.0,285,241,false,false,false,90,converged_no_syndrome,5.5047265000175685
C18,lane_b,2M,382302,2,390309,lane_b_2M_s382302,90,1.0,285,0,true,true,false,17,converged_exact,1.0752625999739394
