call_id,condition,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,syndrome_ok,wrong_codeword,iterations,status,runtime_s
C01,cond_oracle,1M,383102,2,390110,lane_c_1M_s383102,90,1.0,242,0,true,true,false,11,converged_exact,0.7338781000580639
C02,cond_estimated_l1,1M,383102,2,390110,lane_c_1M_s383102,90,1.0,242,193,false,false,false,90,converged_no_syndrome,6.144352199975401
C03,cond_oracle,1M,383102,2,390111,lane_c_1M_s383102,90,1.0,264,0,true,true,false,35,converged_exact,2.3169676000252366
C04,cond_estimated_l1,1M,383102,2,390111,lane_c_1M_s383102,90,1.0,264,216,false,false,false,90,converged_no_syndrome,6.057001000037417
C05,cond_oracle,1M,383102,2,390112,lane_c_1M_s383102,90,1.0,224,0,true,true,false,10,converged_exact,0.6688862999435514
C06,cond_estimated_l1,1M,383102,2,390112,lane_c_1M_s383102,90,1.0,224,136,false,false,false,90,converged_no_syndrome,5.909666099934839
C07,cond_oracle,1p5M,383202,2,390210,lane_c_1p5M_s383202,90,1.0,290,248,false,false,false,90,converged_no_syndrome,6.052774499985389
C08,cond_estimated_l1,1p5M,383202,2,390210,lane_c_1p5M_s383202,90,1.0,290,320,false,false,false,90,converged_no_syndrome,5.956698200083338
C09,cond_oracle,1p5M,383202,2,390211,lane_c_1p5M_s383202,90,1.0,285,188,false,false,false,90,converged_no_syndrome,5.807996299932711
C10,cond_estimated_l1,1p5M,383202,2,390211,lane_c_1p5M_s383202,90,1.0,285,221,false,false,false,90,converged_no_syndrome,5.966795399901457
C11,cond_oracle,1p5M,383202,2,390212,lane_c_1p5M_s383202,90,1.0,261,0,true,true,false,9,converged_exact,0.6068158999551088
C12,cond_estimated_l1,1p5M,383202,2,390212,lane_c_1p5M_s383202,90,1.0,261,182,false,false,false,90,converged_no_syndrome,6.03979840001557
C13,cond_oracle,2M,383302,2,390310,lane_c_2M_s383302,90,1.0,262,0,true,true,false,16,converged_exact,1.0739935000892729
C14,cond_estimated_l1,2M,383302,2,390310,lane_c_2M_s383302,90,1.0,262,239,false,false,false,90,converged_no_syndrome,5.989214199944399
C15,cond_oracle,2M,383302,2,390311,lane_c_2M_s383302,90,1.0,265,0,true,true,false,10,converged_exact,0.6610776000889018
C16,cond_estimated_l1,2M,383302,2,390311,lane_c_2M_s383302,90,1.0,265,223,false,false,false,90,converged_no_syndrome,5.990361199947074
C17,cond_oracle,2M,383302,2,390312,lane_c_2M_s383302,90,1.0,260,0,true,true,false,8,converged_exact,0.557272500009276
C18,cond_estimated_l1,2M,383302,2,390312,lane_c_2M_s383302,90,1.0,260,199,false,false,false,90,converged_no_syndrome,6.075072400039062
