call_id,condition,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,syndrome_ok,wrong_codeword,iterations,status,runtime_s
C01,cond_oracle,1M,383102,2,390113,lane_c_1M_s383102,90,1.0,248,0,true,true,false,9,converged_exact,0.6420317000010982
C02,cond_soft_marginal,1M,383102,2,390113,lane_c_1M_s383102,90,1.0,248,0,true,true,false,49,converged_exact,3.594839800032787
C03,cond_oracle,1M,383102,2,390114,lane_c_1M_s383102,90,1.0,230,0,true,true,false,8,converged_exact,0.5702729999320582
C04,cond_soft_marginal,1M,383102,2,390114,lane_c_1M_s383102,90,1.0,230,4,false,true,true,9,converged_exact,0.6521798999747261
C05,cond_oracle,1M,383102,2,390115,lane_c_1M_s383102,90,1.0,240,0,true,true,false,16,converged_exact,1.1179400000255555
C06,cond_soft_marginal,1M,383102,2,390115,lane_c_1M_s383102,90,1.0,240,0,true,true,false,24,converged_exact,1.6620508999330923
C07,cond_oracle,1p5M,383202,2,390213,lane_c_1p5M_s383202,90,1.0,270,0,true,true,false,9,converged_exact,0.5929911000421271
C08,cond_soft_marginal,1p5M,383202,2,390213,lane_c_1p5M_s383202,90,1.0,270,186,false,false,false,90,converged_no_syndrome,6.3733381000347435
C09,cond_oracle,1p5M,383202,2,390214,lane_c_1p5M_s383202,90,1.0,286,0,true,true,false,16,converged_exact,1.0425396000500768
C10,cond_soft_marginal,1p5M,383202,2,390214,lane_c_1p5M_s383202,90,1.0,286,0,true,true,false,65,converged_exact,4.486728399991989
C11,cond_oracle,1p5M,383202,2,390215,lane_c_1p5M_s383202,90,1.0,267,42,false,false,false,90,converged_no_syndrome,6.160137900034897
C12,cond_soft_marginal,1p5M,383202,2,390215,lane_c_1p5M_s383202,90,1.0,267,0,true,true,false,59,converged_exact,4.066662100027315
C13,cond_oracle,2M,383302,2,390313,lane_c_2M_s383302,90,1.0,237,0,true,true,false,8,converged_exact,0.5580285999458283
C14,cond_soft_marginal,2M,383302,2,390313,lane_c_2M_s383302,90,1.0,237,0,true,true,false,10,converged_exact,0.6885778000578284
C15,cond_oracle,2M,383302,2,390314,lane_c_2M_s383302,90,1.0,264,0,true,true,false,10,converged_exact,0.6751613999949768
C16,cond_soft_marginal,2M,383302,2,390314,lane_c_2M_s383302,90,1.0,264,0,true,true,false,18,converged_exact,1.2617166000418365
C17,cond_oracle,2M,383302,2,390315,lane_c_2M_s383302,90,1.0,266,0,true,true,false,13,converged_exact,0.8907254000660032
C18,cond_soft_marginal,2M,383302,2,390315,lane_c_2M_s383302,90,1.0,266,112,false,false,false,90,converged_no_syndrome,6.250553800025955
