call_id,condition,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,h1_matrix_id,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,status,runtime_s
C01,cond_control,1M,383102,2,390119,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,261,161,false,,,false,true,false,,1,90,0.0006256431483382602,0.0006188503508886192,converged_no_syndrome,8.172572999959812
C02,cond_l1_app,1M,383102,2,390119,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,261,0,true,true,true,true,true,false,false,1,26,0.0006256431483382602,0.0006188503508886192,converged_exact,2.4186106000561267
C03,cond_control,1M,383102,2,390120,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,242,0,true,,,true,true,false,,1,26,0.002021834872677037,0.0007708544334563451,converged_exact,2.3687034000176936
C04,cond_l1_app,1M,383102,2,390120,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,242,0,true,true,true,true,true,false,false,1,15,0.002021834872677037,0.0007708544334563451,converged_exact,1.394292899989523
C05,cond_control,1M,383102,2,390121,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,272,215,false,,,false,true,false,,1,90,0.0014634519738207807,0.0008149515257592252,converged_no_syndrome,7.881741099990904
C06,cond_l1_app,1M,383102,2,390121,lane_c_1M_s383102,V31-H1-QC-16x1024,90,1.0,272,98,false,true,false,false,true,false,false,1,90,0.0014634519738207807,0.0008149515257592252,converged_no_syndrome,8.31334709993098
C07,cond_control,1p5M,383202,2,390219,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,261,0,true,,,true,true,false,,1,38,0.00033570260733017926,0.0007466418009851711,converged_exact,2.7003236999735236
C08,cond_l1_app,1p5M,383202,2,390219,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,261,0,true,true,true,true,true,false,false,1,51,0.00033570260733017926,0.0007466418009851711,converged_exact,3.297373199951835
C09,cond_control,1p5M,383202,2,390220,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,278,0,true,,,true,true,false,,3,33,1.3418902368161825e-09,0.0010043338988194165,converged_exact,2.096905800048262
C10,cond_l1_app,1p5M,383202,2,390220,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,278,0,true,true,true,true,true,false,false,3,15,1.3418902368161825e-09,0.0010043338988194165,converged_exact,0.9633586999261752
C11,cond_control,1p5M,383202,2,390221,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,247,3,false,,,true,true,true,,1,12,1.0522672522459909e-05,0.000537939114010734,converged_exact,0.7440023000817746
C12,cond_l1_app,1p5M,383202,2,390221,lane_c_1p5M_s383202,V31-H1-QC-16x1024,90,1.0,247,3,false,true,false,true,true,true,false,1,8,1.0522672522459909e-05,0.000537939114010734,converged_exact,0.507902399986051
C13,cond_control,2M,383302,2,390319,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,265,176,false,,,false,true,false,,2,90,1.2733011229237462e-06,0.000814677864281821,converged_no_syndrome,5.720382999978028
C14,cond_l1_app,2M,383302,2,390319,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,265,0,true,true,true,true,true,false,false,2,10,1.2733011229237462e-06,0.000814677864281821,converged_exact,0.6425606000702828
C15,cond_control,2M,383302,2,390320,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,254,92,false,,,false,true,false,,1,90,0.0035325628082239135,0.0008125681431727671,converged_no_syndrome,5.794975100085139
C16,cond_l1_app,2M,383302,2,390320,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,254,0,true,true,true,true,true,false,false,1,12,0.0035325628082239135,0.0008125681431727671,converged_exact,0.7457556999288499
C17,cond_control,2M,383302,2,390321,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,259,0,true,,,true,true,false,,2,83,3.2138267695989842e-09,0.000822096402594481,converged_exact,5.168066599988379
C18,cond_l1_app,2M,383302,2,390321,lane_c_2M_s383302,V31-H1-QC-16x1024,90,1.0,259,0,true,true,true,true,true,false,false,2,13,3.2138267695989842e-09,0.000822096402594481,converged_exact,0.8240586000028998
