call_id,arm,h1_rows,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,h1_matrix_id,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total_this_arm,status,runtime_s
C01,h1_8,8,1M,383102,2,390125,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=8,90,1.0,240,0,true,false,false,true,false,false,false,371718755fb8fd22,371718755fb8fd22,true,l2_only,exact,90,12,0.011531104371877267,0.0002367813259484452,1024,converged_exact,0.766953199999989
C02,h1_12,12,1M,383102,2,390125,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=12,90,1.0,240,0,true,false,false,true,true,false,true,371718755fb8fd22,371718755fb8fd22,true,l2_only,exact,2,10,0.004512591703449756,0.0003890286875269499,1044,converged_exact,0.6221348999999918
C03,h1_16,16,1M,383102,2,390125,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=16,90,1.0,240,0,true,true,true,true,true,false,false,371718755fb8fd22,371718755fb8fd22,true,l2_only,exact,1,9,5.48662634960804e-05,0.00048801444554647953,1064,converged_exact,0.5751023000000259
C04,h1_8,8,1M,383102,2,390126,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=8,90,1.0,251,198,false,false,false,false,true,false,true,95afb69d5bcb0525,b89fa3eaa7e36c49,false,l2_only,decoder_non_syndrome_failure,1,90,0.01712420333198768,0.0003449640429620621,1024,converged_no_syndrome,5.935889399999951
C05,h1_12,12,1M,383102,2,390126,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=12,90,1.0,251,149,false,false,false,false,true,false,true,95afb69d5bcb0525,a8a383ac54dd86db,false,l2_only,decoder_non_syndrome_failure,1,90,0.010229746578098721,0.000569870003335218,1044,converged_no_syndrome,5.787273600000049
C06,h1_16,16,1M,383102,2,390126,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=16,90,1.0,251,0,true,true,true,true,true,false,false,95afb69d5bcb0525,95afb69d5bcb0525,true,l2_only,exact,1,9,0.0005237122734607837,0.0008116430711126952,1064,converged_exact,0.5631011000000399
C07,h1_8,8,1M,383102,2,390127,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=8,90,1.0,245,0,true,false,false,true,true,false,true,d88556f78dd427fb,d88556f78dd427fb,true,l2_only,exact,1,18,0.009852514322129736,0.0004420439129044047,1024,converged_exact,1.130889600000046
C08,h1_12,12,1M,383102,2,390127,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=12,90,1.0,245,0,true,false,false,true,true,false,true,d88556f78dd427fb,d88556f78dd427fb,true,l2_only,exact,1,16,0.0025514255461832553,0.0005786027532712111,1044,converged_exact,0.9902680999999802
C09,h1_16,16,1M,383102,2,390127,lane_c_1M_s383102,V31-H1-QC-16x1024 prefix m1=16,90,1.0,245,0,true,true,true,true,true,false,false,d88556f78dd427fb,d88556f78dd427fb,true,l2_only,exact,1,10,0.00011730611592375588,0.0006501260443801001,1064,converged_exact,0.6307835999999725
C10,h1_8,8,1p5M,383202,2,390225,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=8,90,1.0,265,0,true,false,false,true,true,false,true,5da70c780a4ea7eb,5da70c780a4ea7eb,true,l2_only,exact,2,10,0.005096404393496886,0.00040041653351167517,1054,converged_exact,0.6295546999999715
C11,h1_12,12,1p5M,383202,2,390225,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=12,90,1.0,265,0,true,false,false,true,true,false,true,5da70c780a4ea7eb,5da70c780a4ea7eb,true,l2_only,exact,2,10,0.00247537119085443,0.0004752109272153773,1074,converged_exact,0.622893099999942
C12,h1_16,16,1p5M,383202,2,390225,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=16,90,1.0,265,0,true,true,true,true,true,false,false,5da70c780a4ea7eb,5da70c780a4ea7eb,true,l2_only,exact,1,10,3.258331501587074e-07,0.0005540552937418107,1094,converged_exact,0.6128483999999617
C13,h1_8,8,1p5M,383202,2,390226,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=8,90,1.0,286,151,false,false,false,false,false,false,false,e739471358b28ad0,20736aff513e84eb,false,l2_only,decoder_non_syndrome_failure,90,90,0.01221763281785143,0.0004797631748819782,1054,converged_no_syndrome,5.642819499999973
C14,h1_12,12,1p5M,383202,2,390226,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=12,90,1.0,286,158,false,false,false,false,false,false,false,e739471358b28ad0,6d74fe0c12f6074d,false,l2_only,decoder_non_syndrome_failure,90,90,0.0038126613190931553,0.0006917513998718455,1074,converged_no_syndrome,5.6658877000000984
C15,h1_16,16,1p5M,383202,2,390226,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=16,90,1.0,286,159,false,true,false,false,true,false,false,e739471358b28ad0,3d3a6047e110117e,false,l2_only,decoder_non_syndrome_failure,2,90,6.094575452669816e-06,0.0007499847167408702,1094,converged_no_syndrome,5.7150106999999934
C16,h1_8,8,1p5M,383202,2,390227,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=8,90,1.0,246,0,true,false,false,true,true,false,true,1ff17d767a069b6c,1ff17d767a069b6c,true,l2_only,exact,1,8,0.010461904310979136,0.00031472813908526583,1054,converged_exact,0.48935499999993226
C17,h1_12,12,1p5M,383202,2,390227,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=12,90,1.0,246,0,true,true,true,true,true,false,false,1ff17d767a069b6c,1ff17d767a069b6c,true,l2_only,exact,2,8,0.0015221635723478293,0.0005290001831690276,1074,converged_exact,0.49064559999999346
C18,h1_16,16,1p5M,383202,2,390227,lane_c_1p5M_s383202,V31-H1-QC-16x1024 prefix m1=16,90,1.0,246,0,true,true,true,true,true,false,false,1ff17d767a069b6c,1ff17d767a069b6c,true,l2_only,exact,1,8,0.0020965152024286535,0.0005076912378259867,1094,converged_exact,0.488537699999938
C19,h1_8,8,2M,383302,2,390325,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=8,90,1.0,243,0,true,false,false,true,true,false,true,98d5990828679a3a,98d5990828679a3a,true,l2_only,exact,2,15,0.01061544755442612,0.00047723744520955757,1064,converged_exact,0.9248589999999695
C20,h1_12,12,2M,383302,2,390325,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=12,90,1.0,243,0,true,true,true,true,true,false,false,98d5990828679a3a,98d5990828679a3a,true,l2_only,exact,2,12,0.00010316320720174566,0.00066573117188018,1084,converged_exact,0.7357483999999204
C21,h1_16,16,2M,383302,2,390325,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=16,90,1.0,243,0,true,true,true,true,true,false,false,98d5990828679a3a,98d5990828679a3a,true,l2_only,exact,1,13,0.0018357729832450904,0.0006485873474063274,1104,converged_exact,0.8072107000000415
C22,h1_8,8,2M,383302,2,390326,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=8,90,1.0,257,0,true,false,false,true,true,false,true,cae6191b6898842a,cae6191b6898842a,true,l2_only,exact,2,23,0.01457041371350453,0.0004513717046545162,1064,converged_exact,1.426327399999991
C23,h1_12,12,2M,383302,2,390326,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=12,90,1.0,257,0,true,true,true,true,true,false,false,cae6191b6898842a,cae6191b6898842a,true,l2_only,exact,2,10,0.004566318487048328,0.0006934585786953899,1084,converged_exact,0.6200232999999571
C24,h1_16,16,2M,383302,2,390326,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=16,90,1.0,257,0,true,true,true,true,true,false,false,cae6191b6898842a,cae6191b6898842a,true,l2_only,exact,1,15,0.0025912765789866,0.0007495028525552961,1104,converged_exact,0.9418412999999646
C25,h1_8,8,2M,383302,2,390327,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=8,90,1.0,252,0,true,false,false,true,false,false,false,5810ba4434b6572e,5810ba4434b6572e,true,l2_only,exact,90,13,0.008214244655238874,0.00044268979988591327,1064,converged_exact,0.7937775999999985
C26,h1_12,12,2M,383302,2,390327,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=12,90,1.0,252,0,true,false,false,true,true,false,true,5810ba4434b6572e,5810ba4434b6572e,true,l2_only,exact,2,17,0.0039376307267234255,0.0005246649966922078,1084,converged_exact,1.0659133999999995
C27,h1_16,16,2M,383302,2,390327,lane_c_2M_s383302,V31-H1-QC-16x1024 prefix m1=16,90,1.0,252,0,true,true,true,true,true,false,false,5810ba4434b6572e,5810ba4434b6572e,true,l2_only,exact,1,14,0.00043304388681518485,0.0006141092397905328,1104,converged_exact,0.8749526000000287
