call_id,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,h1_matrix_id,frame_ids,held_out_ordinal_start,held_out_ordinal_end,pairs_count,sampling_mode,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total,status,runtime_s
C01,1M,383102,2,390128,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1600, 1601, 1602, 1603]",0,3,1024,deterministic_spread_four_consecutive_frames,90,1.0,234,0,true,true,true,true,true,false,false,6dc44e69cdfa483e,6dc44e69cdfa483e,true,l2_only,exact,1,8,0.0030074273416482718,0.0006606477688271303,1064,converged_exact,0.7511440999987826
C02,1M,383102,2,390129,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1628, 1629, 1630, 1631]",28,31,1024,deterministic_spread_four_consecutive_frames,90,1.0,241,78,false,true,false,false,true,false,false,bec542e6baaf800a,06085b3c624c00d0,false,l2_only,decoder_non_syndrome_failure,1,90,0.0020454476385486703,0.000819126459099029,1064,converged_no_syndrome,11.386237899998378
C03,1M,383102,2,390130,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1656, 1657, 1658, 1659]",56,59,1024,deterministic_spread_four_consecutive_frames,90,1.0,252,67,false,true,false,false,true,false,false,366eb455cccd0e44,e08326db1e4ef615,false,l2_only,decoder_non_syndrome_failure,1,90,0.0010582239755572453,0.0005646506354706815,1064,converged_no_syndrome,10.982932000000801
C04,1M,383102,2,390131,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1684, 1685, 1686, 1687]",84,87,1024,deterministic_spread_four_consecutive_frames,90,1.0,252,0,true,true,true,true,true,false,false,3129d20e76776013,3129d20e76776013,true,l2_only,exact,1,25,0.0008028655869679777,0.0006118875935677242,1064,converged_exact,2.9420279000005394
C05,1M,383102,2,390132,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1713, 1714, 1715, 1716]",113,116,1024,deterministic_spread_four_consecutive_frames,90,1.0,259,134,false,true,false,false,true,false,false,57e7d64903c18b79,3e6241590db2c1cf,false,l2_only,decoder_non_syndrome_failure,1,90,0.0003601556136867857,0.00044623228692183825,1064,converged_no_syndrome,10.661532399999487
C06,1M,383102,2,390133,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1741, 1742, 1743, 1744]",141,144,1024,deterministic_spread_four_consecutive_frames,90,1.0,241,37,false,true,false,false,true,false,false,0d2a2480fa4fe515,d9c78ead7a72ac8e,false,l2_only,decoder_non_syndrome_failure,2,90,0.001688357371901965,0.0008846043091727668,1064,converged_no_syndrome,12.227284500000678
C07,1M,383102,2,390134,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1769, 1770, 1771, 1772]",169,172,1024,deterministic_spread_four_consecutive_frames,90,1.0,241,0,true,true,true,true,true,false,false,7cb7233586ec63b9,7cb7233586ec63b9,true,l2_only,exact,1,7,0.0036634587983657672,0.0007228260985131893,1064,converged_exact,0.8256496000012703
C08,1M,383102,2,390135,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1798, 1799, 1800, 1801]",198,201,1024,deterministic_spread_four_consecutive_frames,90,1.0,251,61,false,true,false,false,true,false,false,58cf82bc7f0185cc,ac903d62369484d5,false,l2_only,decoder_non_syndrome_failure,1,90,0.0004964048995195395,0.0006693058768883291,1064,converged_no_syndrome,8.841314700001021
C09,1M,383102,2,390136,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1826, 1827, 1828, 1829]",226,229,1024,deterministic_spread_four_consecutive_frames,90,1.0,251,0,true,true,true,true,true,false,false,9a9d594e1906446f,9a9d594e1906446f,true,l2_only,exact,1,7,0.0009455203470872536,0.0007855249505879545,1064,converged_exact,0.6585763000002771
C10,1M,383102,2,390137,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1854, 1855, 1856, 1857]",254,257,1024,deterministic_spread_four_consecutive_frames,90,1.0,234,19,false,true,false,false,true,false,false,54a94ec7a33ba225,7487a3ededa7f8ef,false,l2_only,decoder_non_syndrome_failure,1,90,0.00036385820204491986,0.0007077871194048175,1064,converged_no_syndrome,9.218699500001094
C11,1M,383102,2,390138,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1882, 1883, 1884, 1885]",282,285,1024,deterministic_spread_four_consecutive_frames,90,1.0,253,39,false,true,false,false,true,false,false,ad172d674cfb51de,3ca9534d2881af5c,false,l2_only,decoder_non_syndrome_failure,1,90,1.2065029394303037e-05,0.0005597216179460299,1064,converged_no_syndrome,10.045960499999637
C12,1M,383102,2,390139,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1911, 1912, 1913, 1914]",311,314,1024,deterministic_spread_four_consecutive_frames,90,1.0,230,0,true,true,true,true,true,false,false,5a48ccbaa4c99710,5a48ccbaa4c99710,true,l2_only,exact,2,11,1.5174533659739098e-06,0.0008657611690627444,1064,converged_exact,1.1811787000006007
C13,1M,383102,2,390140,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1939, 1940, 1941, 1942]",339,342,1024,deterministic_spread_four_consecutive_frames,90,1.0,262,0,true,true,true,true,true,false,false,adc9ce166ee00927,adc9ce166ee00927,true,l2_only,exact,1,15,0.0035591057688705323,0.0006780465511386362,1064,converged_exact,1.581145000000106
C14,1M,383102,2,390141,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1967, 1968, 1969, 1970]",367,370,1024,deterministic_spread_four_consecutive_frames,90,1.0,233,0,true,true,true,true,true,false,false,c0692d61fba56f4c,c0692d61fba56f4c,true,l2_only,exact,1,14,0.0005180929865543414,0.0007283625487922466,1064,converged_exact,1.4517357000004267
C15,1M,383102,2,390142,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1996, 1997, 1998, 1999]",396,399,1024,deterministic_spread_four_consecutive_frames,90,1.0,227,0,true,true,true,true,true,false,false,acb8f5333353c0c2,acb8f5333353c0c2,true,l2_only,exact,3,9,5.760740169842941e-12,0.0005385425887480708,1064,converged_exact,0.8957098999999289
C16,1p5M,383202,2,390228,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2213, 2214, 2215, 2216]",0,3,1024,deterministic_spread_four_consecutive_frames,90,1.0,256,0,true,true,true,true,true,false,false,fa46c03c6b3c5583,fa46c03c6b3c5583,true,l2_only,exact,1,16,1.937573734826171e-06,0.0004549593271197764,1094,converged_exact,1.5522846000003483
C17,1p5M,383202,2,390229,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2252, 2253, 2254, 2255]",39,42,1024,deterministic_spread_four_consecutive_frames,90,1.0,255,0,true,true,true,true,true,false,false,040238140aedb168,040238140aedb168,true,l2_only,exact,1,9,0.0010931222034325618,0.0007573537147936059,1094,converged_exact,1.3391329999994923
C18,1p5M,383202,2,390230,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2291, 2292, 2293, 2294]",78,81,1024,deterministic_spread_four_consecutive_frames,90,1.0,271,21,false,true,false,false,true,false,false,cad4fc7d483044b9,d9e7c2fd654d69db,false,l2_only,decoder_non_syndrome_failure,1,90,1.306298817676998e-05,0.000602357275004343,1094,converged_no_syndrome,10.031508300000496
C19,1p5M,383202,2,390231,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2330, 2331, 2332, 2333]",117,120,1024,deterministic_spread_four_consecutive_frames,90,1.0,259,0,true,true,true,true,true,false,false,24d40da28c012484,24d40da28c012484,true,l2_only,exact,2,12,1.7313812794196633e-12,0.0006176284153460068,1094,converged_exact,1.3017015000004903
C20,1p5M,383202,2,390232,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2370, 2371, 2372, 2373]",157,160,1024,deterministic_spread_four_consecutive_frames,90,1.0,258,145,false,true,false,false,true,false,false,2c2a3857a79e2c5e,8c17a41820706b30,false,l2_only,decoder_non_syndrome_failure,1,90,0.0006184199621991442,0.0005521356029463372,1094,converged_no_syndrome,10.07122470000104
C21,1p5M,383202,2,390233,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2409, 2410, 2411, 2412]",196,199,1024,deterministic_spread_four_consecutive_frames,90,1.0,274,0,true,true,true,true,true,false,false,7b1d4cda32fb3205,7b1d4cda32fb3205,true,l2_only,exact,1,19,0.0012303094934659378,0.0007937793133248453,1094,converged_exact,1.9014914999988832
C22,1p5M,383202,2,390234,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2448, 2449, 2450, 2451]",235,238,1024,deterministic_spread_four_consecutive_frames,90,1.0,270,0,true,true,true,true,true,false,false,a249600a30205b7f,a249600a30205b7f,true,l2_only,exact,1,19,0.0016256621723382018,0.000700628286177092,1094,converged_exact,2.125023100001272
C23,1p5M,383202,2,390235,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2488, 2489, 2490, 2491]",275,278,1024,deterministic_spread_four_consecutive_frames,90,1.0,265,0,true,true,true,true,true,false,false,a1c6c383ef7e631c,a1c6c383ef7e631c,true,l2_only,exact,2,13,5.42578965395561e-05,0.0009920045630623315,1094,converged_exact,1.3089693000001716
C24,1p5M,383202,2,390236,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2527, 2528, 2529, 2530]",314,317,1024,deterministic_spread_four_consecutive_frames,90,1.0,252,0,true,true,true,true,true,false,false,cd824933cdadd174,cd824933cdadd174,true,l2_only,exact,2,10,1.670998059866381e-12,0.0007982461391333037,1094,converged_exact,1.0793525999997655
C25,1p5M,383202,2,390237,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2566, 2567, 2568, 2569]",353,356,1024,deterministic_spread_four_consecutive_frames,90,1.0,247,0,true,true,true,true,true,false,false,cf2d5bd7a7254ad7,cf2d5bd7a7254ad7,true,l2_only,exact,1,7,0.0021456656370556597,0.0007058751702691312,1094,converged_exact,0.9661482000010437
C26,1p5M,383202,2,390238,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2605, 2606, 2607, 2608]",392,395,1024,deterministic_spread_four_consecutive_frames,90,1.0,280,0,true,true,true,true,true,false,false,09dbfc773eeecc20,09dbfc773eeecc20,true,l2_only,exact,2,14,1.219624962838558e-07,0.0008410505163256062,1094,converged_exact,1.9142078000004403
C27,1p5M,383202,2,390239,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2645, 2646, 2647, 2648]",432,435,1024,deterministic_spread_four_consecutive_frames,90,1.0,254,0,true,true,true,true,true,false,false,1d5571d60ead880f,1d5571d60ead880f,true,l2_only,exact,2,10,1.6542931915576454e-06,0.0008850981404401557,1094,converged_exact,1.2190288000001601
C28,1p5M,383202,2,390240,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2684, 2685, 2686, 2687]",471,474,1024,deterministic_spread_four_consecutive_frames,90,1.0,260,0,true,true,true,true,true,false,false,d9bc611b70e43849,d9bc611b70e43849,true,l2_only,exact,1,11,0.007191573390523088,0.0007255766011467172,1094,converged_exact,1.475878700000976
