call_id,source,block_seed,prior_id,structure_id,matrix_id,h1_matrix_id,frame_ids,held_out_ordinal_start,held_out_ordinal_end,pairs_count,sampling_mode,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total,status,runtime_s
C01,1M,391001,TRAIN,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1614, 1615, 1616, 1617]",14,17,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,275,172,false,true,false,false,true,false,false,4cbe86d246979d4b,ccf54775ceb2d739,false,l2_only,decoder_non_syndrome_failure,1,90,0.0011282774789747288,0.0005783873092406725,1064,converged_no_syndrome,5.839059100002487
C02,1M,391001,TRAIN_VAL,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1614, 1615, 1616, 1617]",14,17,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,275,166,false,true,false,false,true,false,false,4cbe86d246979d4b,fe354d43a551bcdc,false,l2_only,decoder_non_syndrome_failure,1,90,0.001142489721771028,0.000583221385391303,1064,converged_no_syndrome,5.788259400000243
C03,1M,391001,TRAIN,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1614, 1615, 1616, 1617]",14,17,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,275,256,false,true,false,false,true,false,false,4cbe86d246979d4b,dc7408820c76b7ab,false,l2_only,decoder_non_syndrome_failure,1,90,0.0011282774789747288,0.0005783873092406725,1064,converged_no_syndrome,7.110736900001939
C04,1M,391001,TRAIN_VAL,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1614, 1615, 1616, 1617]",14,17,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,275,254,false,true,false,false,true,false,false,4cbe86d246979d4b,7041fb8499363bbd,false,l2_only,decoder_non_syndrome_failure,1,90,0.001142489721771028,0.000583221385391303,1064,converged_no_syndrome,7.093214799999259
C05,1M,391002,TRAIN,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1642, 1643, 1644, 1645]",42,45,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,259,90,false,true,false,false,true,false,false,dab6e50668805e7b,ffcf535b1907901d,false,l2_only,decoder_non_syndrome_failure,1,90,3.204109539105033e-06,0.00066825156348272,1064,converged_no_syndrome,5.731118299998343
C06,1M,391002,TRAIN_VAL,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1642, 1643, 1644, 1645]",42,45,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,259,0,true,true,true,true,true,false,false,dab6e50668805e7b,dab6e50668805e7b,true,l2_only,exact,1,18,2.0336951204910875e-06,0.000667238634799784,1064,converged_exact,1.1583390999985568
C07,1M,391002,TRAIN,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1642, 1643, 1644, 1645]",42,45,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,259,258,false,true,false,false,true,false,false,dab6e50668805e7b,d0198804379b26aa,false,l2_only,decoder_non_syndrome_failure,1,90,3.204109539105033e-06,0.00066825156348272,1064,converged_no_syndrome,10.37781410000025
C08,1M,391002,TRAIN_VAL,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1642, 1643, 1644, 1645]",42,45,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,259,257,false,true,false,false,true,false,false,dab6e50668805e7b,fbc507f4cf0fb170,false,l2_only,decoder_non_syndrome_failure,1,90,2.0336951204910875e-06,0.000667238634799784,1064,converged_no_syndrome,11.667007500000182
C09,1M,391003,TRAIN,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1670, 1671, 1672, 1673]",70,73,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,254,233,false,true,false,false,true,false,false,812b73b07d0e7925,58be4b41521b0d61,false,l2_only,decoder_non_syndrome_failure,1,90,0.0006377714548821327,0.0007011645998753044,1064,converged_no_syndrome,8.314213699999527
C10,1M,391003,TRAIN_VAL,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1670, 1671, 1672, 1673]",70,73,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,254,219,false,true,false,false,true,false,false,812b73b07d0e7925,59f0cad11ef51e7f,false,l2_only,decoder_non_syndrome_failure,1,90,0.0006635118145276852,0.0007058761635432632,1064,converged_no_syndrome,10.689157000000705
C11,1M,391003,TRAIN,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1670, 1671, 1672, 1673]",70,73,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,254,221,false,true,false,false,true,false,false,812b73b07d0e7925,daa5e4a7f1fe1e8c,false,l2_only,decoder_non_syndrome_failure,1,90,0.0006377714548821327,0.0007011645998753044,1064,converged_no_syndrome,9.67043460000059
C12,1M,391003,TRAIN_VAL,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1670, 1671, 1672, 1673]",70,73,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,254,217,false,true,false,false,true,false,false,812b73b07d0e7925,0cfd8758ce4b4a4a,false,l2_only,decoder_non_syndrome_failure,1,90,0.0006635118145276852,0.0007058761635432632,1064,converged_no_syndrome,10.004226299999573
C13,1M,391004,TRAIN,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1698, 1699, 1700, 1701]",98,101,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,252,0,true,true,true,true,true,false,false,fd4667dd80672c7f,fd4667dd80672c7f,true,l2_only,exact,1,27,0.004862802857331729,0.0007183591008280721,1064,converged_exact,1.7035748999987845
C14,1M,391004,TRAIN_VAL,lane_c,lane_c_1M_s383102,V31-H1-QC-16×1024,"[1698, 1699, 1700, 1701]",98,101,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,252,0,true,true,true,true,true,false,false,fd4667dd80672c7f,fd4667dd80672c7f,true,l2_only,exact,1,24,0.0055831695054147,0.0007101752208632734,1064,converged_exact,1.5373169999984384
C15,1M,391004,TRAIN,p0_met,p0_met_1M_det1,V31-H1-QC-16×1024,"[1698, 1699, 1700, 1701]",98,101,1024,deterministic_four_consecutive_frames_heldout_unused,90,1.0,252,231,false,true,false,false,true,false,false,fd4667dd80672c7f,03458aac0b007cc7,false,l2_only,decoder_non_syndrome_failure,1,90,0.004862802857331729,0.0007183591008280721,1064,converged_no_syndrome,7.191394199999195
