call_id,source,block_seed,arm,pass_index,used_increment,matrix_id,joint,h1_matrix_id,frame_ids,held_out_ordinal_start,held_out_ordinal_end,pairs_count,sampling_mode,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total,leak_joint,status,runtime_s
C01,1M,394001,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1678,1679,1680,1681",78,81,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,266,191,False,True,False,False,True,False,False,20c5dd626302000f,4d27b39bf3250823,False,l2_only,decoder_non_syndrome_failure,1,90,0.001524631252083054,0.0008777874130352946,1064,1104,converged_no_syndrome,7.852095299997018
C02,1M,394001,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1678,1679,1680,1681",78,81,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,266,92,False,True,False,False,True,False,False,20c5dd626302000f,3cff4afe2a13a197,False,l2_only,decoder_non_syndrome_failure,1,90,0.001524631252083054,0.0008777874130352946,1104,1104,converged_no_syndrome,8.292390600006911
C03,1M,394002,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1734,1735,1736,1737",134,137,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,244,207,False,False,False,False,False,False,False,b01b96d8f8e91a5d,c949e2af8ed4bd22,False,l2_only,decoder_non_syndrome_failure,90,90,0.0035866690023026006,0.0009475789063002993,1064,1104,converged_no_syndrome,8.31530930000008
C04,1M,394002,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1734,1735,1736,1737",134,137,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,244,226,False,False,False,False,False,False,False,b01b96d8f8e91a5d,ae71d363ce18d642,False,l2_only,decoder_non_syndrome_failure,90,90,0.0035866690023026006,0.0009475789063002993,1104,1104,converged_no_syndrome,7.802242100005969
C05,1M,394003,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1756,1757,1758,1759",156,159,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,241,57,False,True,False,False,True,False,False,32c82ddcb2e91456,a03f787216be4343,False,l2_only,decoder_non_syndrome_failure,1,90,0.002099799596355462,0.0007935961044323261,1064,1104,converged_no_syndrome,8.13318160000199
C06,1M,394003,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1756,1757,1758,1759",156,159,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,241,13,False,True,False,False,True,False,False,32c82ddcb2e91456,3c26b28ad1239330,False,l2_only,decoder_non_syndrome_failure,1,90,0.002099799596355462,0.0007935961044323261,1104,1104,converged_no_syndrome,8.48053849999269
C07,1M,394004,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1778,1779,1780,1781",178,181,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,232,92,False,True,False,False,True,False,False,150df16f141527fd,5e7f9583a13d94e4,False,l2_only,decoder_non_syndrome_failure,1,90,0.0008960728599722817,0.00046374207485649926,1064,1104,converged_no_syndrome,5.613399099995149
C08,1M,394004,rescue,2,True,lane_c_1M_s383102+h_inc,True,V31-H1-QC-16×1024,"1778,1779,1780,1781",178,181,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,232,130,False,True,False,False,True,False,False,150df16f141527fd,13457b2d64fdcabb,False,l2_only,decoder_non_syndrome_failure,1,90,0.0008960728599722817,0.00046374207485649926,1104,1104,converged_no_syndrome,5.849116199999116
C09,1M,394005,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1793,1794,1795,1796",193,196,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,243,0,True,True,True,True,True,False,False,88e57daf6b427be1,88e57daf6b427be1,True,l2_only,exact,1,10,0.0015495367828330666,0.000631755789469668,1064,1104,converged_exact,0.5923683000000892
C10,1M,394006,base_shared,1,False,lane_c_1M_s383102,False,V31-H1-QC-16×1024,"1815,1816,1817,1818",215,218,1024,deterministic_four_consecutive_frames_heldout_fresh_v53,90,1.0,234,110,False,True,False,False,True,False,False,735b502c484a26b1,44e0b4bebcdc88c7,False,l2_only,decoder_non_syndrome_failure,2,90,1.6062878909728609e-12,0.0007191630714252084,1064,1104,converged_no_syndrome,5.692652400000952
