block_id,source,frame_ids,stage_used,leak_total,accepted,exact,undetected,decoder_calls
v63_dev_1M_0022,1M,"[1622, 1623, 1624, 1625]",delta8,1104,True,True,False,3
v63_dev_1M_0050,1M,"[1650, 1651, 1652, 1653]",delta8,1104,True,True,False,3
v63_dev_1M_0078,1M,"[1678, 1679, 1680, 1681]",delta16,1144,True,True,False,4
v63_dev_1M_0106,1M,"[1706, 1707, 1708, 1709]",delta16,1144,True,True,False,4
v63_dev_1M_0133,1M,"[1733, 1734, 1735, 1736]",delta16,1144,True,False,True,4
v63_dev_1M_0152,1M,"[1752, 1753, 1754, 1755]",delta16,1144,True,True,False,4
v63_dev_1M_0160,1M,"[1760, 1761, 1762, 1763]",base,1064,True,True,False,2
v63_dev_1M_0174,1M,"[1774, 1775, 1776, 1777]",delta8,1104,True,True,False,3
v63_dev_1M_0181,1M,"[1781, 1782, 1783, 1784]",base,1064,True,True,False,2
v63_dev_1M_0188,1M,"[1788, 1789, 1790, 1791]",delta16,1144,False,False,False,4
v63_dev_1M_0202,1M,"[1802, 1803, 1804, 1805]",delta8,1104,True,True,False,3
v63_dev_1M_0209,1M,"[1809, 1810, 1811, 1812]",delta8,1104,True,True,False,3
v63_dev_1M_0217,1M,"[1817, 1818, 1819, 1820]",delta8,1104,True,True,False,3
v63_dev_1M_0231,1M,"[1831, 1832, 1833, 1834]",delta8,1104,True,True,False,3
v63_dev_1M_0238,1M,"[1838, 1839, 1840, 1841]",base,1064,True,True,False,2
v63_dev_1M_0259,1M,"[1859, 1860, 1861, 1862]",base,1064,True,True,False,2
v63_dev_1M_0266,1M,"[1866, 1867, 1868, 1869]",base,1064,True,True,False,2
v63_dev_1M_0273,1M,"[1873, 1874, 1875, 1876]",base,1064,True,True,False,2
v63_dev_1M_0288,1M,"[1888, 1889, 1890, 1891]",delta16,1144,True,True,False,4
v63_dev_1M_0295,1M,"[1895, 1896, 1897, 1898]",base,1064,True,True,False,2
v63_dev_1M_0302,1M,"[1902, 1903, 1904, 1905]",base,1064,True,True,False,2
v63_dev_1M_0316,1M,"[1916, 1917, 1918, 1919]",base,1064,True,True,False,2
v63_dev_1M_0323,1M,"[1923, 1924, 1925, 1926]",delta8,1104,True,True,False,3
v63_dev_1M_0330,1M,"[1930, 1931, 1932, 1933]",delta8,1104,True,True,False,3
