accepted_full,accepted_l2,block_id,block_seed,decoder_calls,errors_u1,errors_u2,exact_full,exact_l2,exact_u1,frame_ids,held_out_ordinal_end,held_out_ordinal_start,intercepted_u1_only,leak_total,pairs_count,same_decode_single_tag,sampling_mode,source,stage_used,syndrome_ok_l1,syndrome_ok_l2,tag_ok_full,tag_ok_l2,undetected_full,undetected_l2
True,True,v64_fresh_1M_00,v64_fresh_1M_00,3,0,0,True,True,True,"[1674, 1675, 1676, 1677]",77,74,False,1104,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,delta8,True,True,True,True,False,False
True,True,v64_fresh_1M_01,v64_fresh_1M_01,4,0,0,True,True,True,"[1723, 1724, 1725, 1726]",126,123,False,1144,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,delta16,True,True,True,True,False,False
True,True,v64_fresh_1M_02,v64_fresh_1M_02,2,0,0,True,True,True,"[1764, 1765, 1766, 1767]",167,164,False,1064,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,base,True,True,True,True,False,False
True,True,v64_fresh_1M_03,v64_fresh_1M_03,2,0,0,True,True,True,"[1847, 1848, 1849, 1850]",250,247,False,1064,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,base,True,True,True,True,False,False
True,True,v64_fresh_1M_04,v64_fresh_1M_04,2,0,0,True,True,True,"[1878, 1879, 1880, 1881]",281,278,False,1064,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,base,True,True,True,True,False,False
True,True,v64_fresh_1M_05,v64_fresh_1M_05,4,0,0,True,True,True,"[1907, 1908, 1909, 1910]",310,307,False,1144,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,delta16,True,True,True,True,False,False
True,True,v64_fresh_1M_06,v64_fresh_1M_06,4,0,0,True,True,True,"[1963, 1964, 1965, 1966]",366,363,False,1144,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,delta16,True,True,True,True,False,False
True,True,v64_fresh_1M_07,v64_fresh_1M_07,4,0,0,True,True,True,"[1984, 1985, 1986, 1987]",387,384,False,1144,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1M,delta16,True,True,True,True,False,False
True,True,v64_fresh_1p5M_00,v64_fresh_1p5M_00,3,0,0,True,True,True,"[2236, 2237, 2238, 2239]",26,23,False,1134,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,delta8,True,True,True,True,False,False
True,True,v64_fresh_1p5M_01,v64_fresh_1p5M_01,2,0,0,True,True,True,"[2339, 2340, 2341, 2342]",129,126,False,1094,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,base,True,True,True,True,False,False
True,True,v64_fresh_1p5M_02,v64_fresh_1p5M_02,3,0,0,True,True,True,"[2437, 2438, 2439, 2440]",227,224,False,1134,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,delta8,True,True,True,True,False,False
True,True,v64_fresh_1p5M_03,v64_fresh_1p5M_03,2,0,0,True,True,True,"[2502, 2503, 2504, 2505]",292,289,False,1094,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,base,True,True,True,True,False,False
False,False,v64_fresh_1p5M_04,v64_fresh_1p5M_04,4,0,42,False,False,True,"[2559, 2560, 2561, 2562]",349,346,False,1174,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,delta16,True,False,False,False,False,False
True,True,v64_fresh_1p5M_05,v64_fresh_1p5M_05,2,0,0,True,True,True,"[2624, 2625, 2626, 2627]",414,411,False,1094,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,base,True,True,True,True,False,False
True,True,v64_fresh_1p5M_06,v64_fresh_1p5M_06,3,0,0,True,True,True,"[2704, 2705, 2706, 2707]",494,491,False,1134,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,delta8,True,True,True,True,False,False
False,False,v64_fresh_1p5M_07,v64_fresh_1p5M_07,4,0,294,False,False,True,"[2751, 2752, 2753, 2754]",541,538,False,1174,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,1p5M,delta16,True,False,False,False,False,False
True,True,v64_fresh_2M_00,v64_fresh_2M_00,2,0,0,True,True,True,"[2928, 2929, 2930, 2931]",15,12,False,1104,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,2M,base,True,True,True,True,False,False
True,True,v64_fresh_2M_01,v64_fresh_2M_01,2,0,0,True,True,True,"[3049, 3050, 3051, 3052]",136,133,False,1104,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,2M,base,True,True,True,True,False,False
True,True,v64_fresh_2M_02,v64_fresh_2M_02,4,0,0,True,True,True,"[3163, 3164, 3165, 3166]",250,247,False,1184,1024,True,deterministic_four_consecutive_frames_heldout_fresh_v64,2M,delta16,True,True,True,True,False,False
