dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_per_input_bit,beta_eff_empirical,raw_ser,post_ir_ser
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,7bb66119b31ce8cd,0.373828125,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,e41b94e22127bc2a,0.723046875,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,3ddb0e813f8c9fa7,0.389453125,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,1cdb1b55b06d0718,0.99375,0.0,0.2421875,0.0
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,7bb66119b31ce8cd,0.58984375,0.0,0.19921875,0.03515625
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,e41b94e22127bc2a,0.9287109375,0.0,0.19921875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,d8c9e97fcf2fa52f,1.15,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,7ee822c7f60512c0,0.879296875,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,1cdb1b55b06d0718,0.99140625,0.0,0.2265625,0.0
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,1cdb1b55b06d0718,1.1708984375,0.0,0.19921875,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,7bb66119b31ce8cd,0.3625,0.0,0.2265625,0.0
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,7ee822c7f60512c0,1.275390625,0.0,0.19921875,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,7ee822c7f60512c0,0.873046875,0.0,0.2265625,0.0
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,7bb66119b31ce8cd,0.845703125,0.0,0.1171875,0.0
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,3ddb0e813f8c9fa7,1.0908203125,0.0,0.19921875,0.01953125
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,d8c9e97fcf2fa52f,1.3271484375,0.0,0.19921875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,d8c9e97fcf2fa52f,1.2822265625,0.0,0.1171875,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,e41b94e22127bc2a,0.716796875,0.0,0.2265625,0.0
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,e41b94e22127bc2a,1.0673828125,0.0,0.1171875,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,cascade_lite,64,7bb66119b31ce8cd,0.37890625,0.0,0.25,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,3ddb0e813f8c9fa7,0.378125,0.0,0.2265625,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,cascade_lite,64,e41b94e22127bc2a,0.723046875,0.0,0.25,0.0
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,1cdb1b55b06d0718,1.1259765625,0.0,0.1171875,0.0
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,64,e41b94e22127bc2a,1.140625,0.0,0.23828125,0.0
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,64,1cdb1b55b06d0718,1.1904296875,0.0,0.23828125,0.0
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,3ddb0e813f8c9fa7,1.111328125,0.0,0.1171875,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,cascade_lite,64,3ddb0e813f8c9fa7,0.39453125,0.0,0.25,0.0
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,7ee822c7f60512c0,1.2236328125,0.0,0.1171875,0.0
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,64,3ddb0e813f8c9fa7,1.103515625,0.0,0.23828125,0.01953125
real_typeii_20db_d32_bw100_blk0,32,100,cascade_lite,64,7bb66119b31ce8cd,0.94921875,0.0,0.23046875,0.03125
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,64,7bb66119b31ce8cd,0.888671875,0.0,0.23828125,0.02734375
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,64,d8c9e97fcf2fa52f,1.3466796875,0.0,0.23828125,0.0
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,e41b94e22127bc2a,1.1296875,0.0,0.16796875,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,cascade_lite,64,1cdb1b55b06d0718,0.996875,0.0,0.25,0.0
real_typeii_20db_d32_bw180_blk0,32,180,cascade_lite,64,7bb66119b31ce8cd,0.934375,0.0,0.16796875,0.0078125
real_typeii_20db_d32_bw100_blk0,32,100,cascade_lite,64,e41b94e22127bc2a,1.1046875,0.0,0.23046875,0.01171875
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,d8c9e97fcf2fa52f,1.14765625,0.0,0.2265625,0.0
real_typeii_20db_d32_bw100_blk0,32,100,cascade_lite,64,7ee822c7f60512c0,1.26953125,0.0,0.23046875,0.0
