dataset_id,dimension,bin_width_ps,frame_len_symbols,best_block_schedule,best_num_passes,best_leak_EC_per_input_bit,best_accepted_frame_fraction,best_runtime_s,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,64,"16,32,64,128",3,0.373828125,1.0,0.0233829999924637,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,1024,180,64,"16,32,64,128",3,0.3625,1.0,0.1011496999999508,7bb66119b31ce8cd
real_typeii_20db_d1024_bw200_blk0,1024,200,64,"16,32,64,128",3,0.37890625,1.0,0.1320322999963536,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,16,100,64,"16,32,64,128",3,0.58984375,0.5,0.0221881000034045,7bb66119b31ce8cd
real_typeii_20db_d16_bw180_blk0,16,180,64,"16,32,64,128",3,0.845703125,1.0,0.0286653000221122,7bb66119b31ce8cd
real_typeii_20db_d16_bw60_blk0,16,60,64,"16,32,64,128",3,0.888671875,0.5,0.0827171000128146,7bb66119b31ce8cd
real_typeii_20db_d32_bw100_blk0,32,100,64,"16,32,64,128",3,0.94921875,0.75,0.0559938000224065,7bb66119b31ce8cd
real_typeii_20db_d32_bw180_blk0,32,180,64,"16,32,64,128",3,0.934375,0.75,0.0590316999878268,7bb66119b31ce8cd
real_typeii_20db_d32_bw40_blk0,32,40,64,"16,32,64,128",3,1.03515625,0.75,0.0724962999811396,7bb66119b31ce8cd
real_typeii_20db_d32_bw60_blk0,32,60,64,"16,32,64,128",3,0.9796875,0.75,0.1368965999863576,7bb66119b31ce8cd
real_typeii_20db_d8_bw120_blk0,8,120,64,"16,32,64,128",3,0.9908854166666666,0.75,0.0689776000217534,7bb66119b31ce8cd
real_typeii_20db_d8_bw180_blk0,8,180,64,"16,32,64,128",3,0.8723958333333334,1.0,0.0436433999857399,7bb66119b31ce8cd
real_typeii_20db_d8_bw200_blk0,8,200,64,"16,32,64,128",3,0.921875,0.75,0.0497456000011879,7bb66119b31ce8cd
real_typeii_20db_d8_bw50_blk0,8,50,64,"16,32,64,128",3,1.1393229166666667,0.75,0.0691013000032398,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,1024,100,128,"16,32,64,128",3,0.341796875,0.75,0.0475685999845154,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,1024,180,128,"16,32,64,128",3,0.3564453125,0.75,0.1249751999857835,7bb66119b31ce8cd
real_typeii_20db_d1024_bw200_blk0,1024,200,128,"16,32,64,128",3,0.3466796875,1.0,0.2226421000086702,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,16,100,128,"16,32,64,128",3,0.80078125,0.5,0.1189945999940391,7bb66119b31ce8cd
real_typeii_20db_d16_bw180_blk0,16,180,128,"12,6,24,13",3,1.060546875,1.0,0.046010699996259,e41b94e22127bc2a
real_typeii_20db_d16_bw60_blk0,16,60,128,"16,32,64,128",3,0.8095703125,0.5,0.0781121999898459,7bb66119b31ce8cd
real_typeii_20db_d32_bw100_blk0,32,100,128,"8,4,16,13",3,1.11953125,1.0,0.0874143999826628,1cdb1b55b06d0718
real_typeii_20db_d32_bw180_blk0,32,180,128,"16,32,64,128",3,1.00859375,1.0,0.0550902000104542,7bb66119b31ce8cd
real_typeii_20db_d32_bw40_blk0,32,40,128,"16,32,64,128",3,1.00859375,1.0,0.0829021999961696,7bb66119b31ce8cd
real_typeii_20db_d32_bw60_blk0,32,60,128,"16,32,64,128",3,0.83046875,0.5,0.106014499993762,7bb66119b31ce8cd
real_typeii_20db_d8_bw120_blk0,8,120,128,"16,32,64,128",3,0.6614583333333334,0.5,0.0326449999993201,7bb66119b31ce8cd
real_typeii_20db_d8_bw180_blk0,8,180,128,"16,32,64,128",3,0.4739583333333333,1.0,0.0012512000103015,7bb66119b31ce8cd
real_typeii_20db_d8_bw200_blk0,8,200,128,"16,32,64,128",4,0.5299479166666666,0.5,0.0017098000098485,3ddb0e813f8c9fa7
real_typeii_20db_d8_bw50_blk0,8,50,128,"16,32,64,128",4,0.9127604166666666,0.5,0.0479145999997854,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,1024,100,256,"16,32,64,128",3,0.33125,0.75,0.1047317000047769,7bb66119b31ce8cd
real_typeii_20db_d1024_bw180_blk0,1024,180,256,"16,32,64,128",3,0.34365234375,0.25,0.3938043000234756,7bb66119b31ce8cd
real_typeii_20db_d1024_bw200_blk0,1024,200,256,"16,32,64,128",3,0.3396484375,1.0,0.2441727999830618,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,16,100,256,"16,32,64,128",3,0.830078125,1.0,0.1046637000108603,7bb66119b31ce8cd
real_typeii_20db_d16_bw180_blk0,16,180,256,"8,4,16,13",3,1.0283203125,1.0,0.0464923999970778,1cdb1b55b06d0718
real_typeii_20db_d16_bw60_blk0,16,60,256,"12,6,24,13",3,1.087890625,1.0,0.0802707000111695,e41b94e22127bc2a
real_typeii_20db_d32_bw100_blk0,32,100,256,"16,32,64,128",3,1.0828125,1.0,0.1317213999864179,7bb66119b31ce8cd
real_typeii_20db_d32_bw180_blk0,32,180,256,"16,32,64,128",3,0.86640625,1.0,0.0571088000142481,7bb66119b31ce8cd
real_typeii_20db_d32_bw40_blk0,32,40,256,"16,32,64,128",3,1.1078125,1.0,0.1848033000133,7bb66119b31ce8cd
real_typeii_20db_d32_bw60_blk0,32,60,256,"12,6,24,13",3,1.084375,1.0,0.1288522999966517,e41b94e22127bc2a
real_typeii_20db_d8_bw120_blk0,8,120,256,"12,6,24,13",3,1.0546875,1.0,0.0857504000014159,e41b94e22127bc2a
real_typeii_20db_d8_bw180_blk0,8,180,256,"16,32,64,128",4,0.91796875,1.0,0.0538721999910194,3ddb0e813f8c9fa7
real_typeii_20db_d8_bw200_blk0,8,200,256,"16,32,64,128",3,0.7903645833333334,1.0,0.0543189000163693,7bb66119b31ce8cd
real_typeii_20db_d8_bw50_blk0,8,50,256,"8,4,16,13",3,1.1536458333333333,1.0,0.0483299999905284,1cdb1b55b06d0718
