dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,notes,param_hash,real_ir_success,success_classification
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",3,seeded_random,0,4,4,0,0,1.0,0.224609375,0.0,4948.0,0.96640625,0.0,0.05350019998149946,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=4486; bisection_disclosures_bits=334; verification_bits=128; other_disclosures_bits=0; candidate_flips=115; verified_flips=115; total_blocks_checked=2243",1cdb1b55b06d0718,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",3,seeded_random,0,4,3,0,1,0.75,0.224609375,0.00390625,1750.0,0.341796875,0.0,0.04756859998451546,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=1126; bisection_disclosures_bits=496; verification_bits=128; other_disclosures_bits=0; candidate_flips=113; verified_flips=113; total_blocks_checked=563",7bb66119b31ce8cd,False,verified_failure
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,4,0,0,1.0,0.224609375,0.0,1844.0,0.36015625,0.0,0.10520260001067072,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1206; bisection_disclosures_bits=510; verification_bits=128; other_disclosures_bits=0; candidate_flips=115; verified_flips=115; total_blocks_checked=603",3ddb0e813f8c9fa7,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",3,seeded_random,0,4,4,0,0,1.0,0.224609375,0.0,3530.0,0.689453125,0.0,0.07149669999489561,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=3004; bisection_disclosures_bits=398; verification_bits=128; other_disclosures_bits=0; candidate_flips=115; verified_flips=115; total_blocks_checked=1502",e41b94e22127bc2a,True,real_ir_success
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",3,seeded_random,0,4,3,0,1,0.75,0.2578125,0.00390625,1825.0,0.3564453125,0.0,0.12497519998578355,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=1126; bisection_disclosures_bits=571; verification_bits=128; other_disclosures_bits=0; candidate_flips=130; verified_flips=130; total_blocks_checked=563",7bb66119b31ce8cd,False,verified_failure
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",4,seeded_random,0,4,4,0,0,1.0,0.2578125,0.0,4372.0,0.85390625,0.0,0.12713290000101551,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=3794; bisection_disclosures_bits=450; verification_bits=128; other_disclosures_bits=0; candidate_flips=132; verified_flips=132; total_blocks_checked=1897",7ee822c7f60512c0,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"8,4,16,13",4,seeded_random,0,4,4,0,0,1.0,0.224609375,0.0,5740.0,1.12109375,0.0,0.14010369998868555,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[8, 4, 16, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=5278; bisection_disclosures_bits=334; verification_bits=128; other_disclosures_bits=0; candidate_flips=115; verified_flips=115; total_blocks_checked=2639",d8c9e97fcf2fa52f,True,real_ir_success
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,3,0,1,0.75,0.2578125,0.00390625,1905.0,0.3720703125,0.0,0.13738299999386072,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1206; bisection_disclosures_bits=571; verification_bits=128; other_disclosures_bits=0; candidate_flips=130; verified_flips=130; total_blocks_checked=603",3ddb0e813f8c9fa7,False,verified_failure
real_typeii_20db_d1024_bw180_blk0,1024,180,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",3,seeded_random,0,4,4,0,0,1.0,0.2578125,0.0,3580.0,0.69921875,0.0,0.16211969999130815,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=3; permutation_mode=seeded_random; parity_disclosures_bits=3002; bisection_disclosures_bits=450; verification_bits=128; other_disclosures_bits=0; candidate_flips=132; verified_flips=132; total_blocks_checked=1501",e41b94e22127bc2a,True,real_ir_success
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,cascade_lite,ok,internal_cascade_lite,"12,6,24,13",4,seeded_random,0,4,4,0,0,1.0,0.224609375,0.0,4322.0,0.844140625,0.0,0.18086849999963306,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=exact_internal_transcript; mapping=gray; block_size_schedule=[12, 6, 24, 13]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=3796; bisection_disclosures_bits=398; verification_bits=128; other_disclosures_bits=0; candidate_flips=115; verified_flips=115; total_blocks_checked=1898",7ee822c7f60512c0,True,real_ir_success
