dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,syndrome_bits_frame,verification_bits_frame,other_disclosures_bits,parity_fraction,h_rows,h_cols,h_density,mapping,llr_mode,bitplane_rate_mode,bitplane_raw_ber_list,bitplane_success_list,estimated_error_rate,osd_order,bp_method,max_iter,fallback_to_raw_bob,failure_reason,dimension,bin_width_ps,data_mode,frame_cap,param_hash
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,0,False,False,0.21875,0.021875,0.21875,0.021875,462.0,104,539.046399993822,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.03125, 0.078125, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,462.0,56,190.91949998983182,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,2,False,False,0.203125,0.0203125,0.203125,0.0203125,462.0,59,191.21250000898726,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.03125, 0.03125, 0.015625, 0.015625, 0.0, 0.015625, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.0203125,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,0,False,False,0.28125,0.028125,0.28125,0.028125,462.0,61,532.990100007737,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.015625, 0.046875, 0.015625, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.028125,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,1,False,False,0.234375,0.0234375,0.234375,0.0234375,462.0,58,208.57430002070032,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,462.0,105,195.16889998340048,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.021875,0.21875,0.021875,462.0,106,217.5433999800589,430,32,0,0.67,43,64,0.06976744186046512,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.046875, 0.015625, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,ec874e3fd7633e78
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,0,False,False,0.21875,0.021875,0.21875,0.021875,352.0,106,575.3976999840233,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.03125, 0.078125, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,1,False,False,0.25,0.025,0.25,0.025,352.0,61,173.37989999214187,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.025,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,2,False,False,0.203125,0.0203125,0.203125,0.0203125,352.0,69,199.17840001289733,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.03125, 0.03125, 0.015625, 0.015625, 0.0, 0.015625, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.0203125,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw180_blk0,layered_ldpc_lite,3,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,104,205.78150000073947,320,32,0,0.5,32,64,0.09375,gray,hard,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,180,real_data,4,dc1d252b3b27a80e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,0,False,False,0.28125,0.028125,0.28125,0.028125,352.0,108,540.3840999933891,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.015625, 0.046875, 0.015625, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.028125,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,1,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,102,183.86700001428835,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0, 0.046875, 0.171875]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,2,False,False,0.234375,0.0234375,0.234375,0.0234375,352.0,152,208.6297000059858,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.125]","[True, True, True, True, True, True, True, True, True, True]",0.0234375,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
real_typeii_20db_d1024_bw100_blk0,layered_ldpc_lite,3,False,False,0.21875,0.021875,0.21875,0.021875,352.0,153,240.31449999893084,320,32,0,0.5,32,64,0.09375,gray,bsc_estimated,uniform,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.046875, 0.015625, 0.046875, 0.09375]","[True, True, True, True, True, True, True, True, True, True]",0.021875,0,minimum_sum,50,True,candidate_failed_verification,1024,100,real_data,4,1b68567774e87e2e
