dataset_id,dimension,bin_width_ps,frame_len_symbols,min_successful_parity_fraction,llr_mode,bitplane_rate_mode,leak_EC_per_input_bit,accepted_frame_fraction
real_typeii_20db_d1024_bw100_blk0,1024,100,64,0.8,bsc_estimated,uniform,0.8625,1.0
real_typeii_20db_d1024_bw180_blk0,1024,180,64,0.67,hard,uniform,0.721875,0.25
real_typeii_20db_d1024_bw200_blk0,1024,200,64,0.67,hard,uniform,0.721875,0.25
real_typeii_20db_d16_bw100_blk0,16,100,64,0.67,hard,uniform,0.796875,0.5
real_typeii_20db_d16_bw180_blk0,16,180,64,0.5,bsc_estimated,uniform,0.625,0.25
real_typeii_20db_d16_bw60_blk0,16,60,64,0.67,hard,uniform,0.796875,0.25
real_typeii_20db_d32_bw100_blk0,32,100,64,0.8,hard,uniform,0.9125,0.75
real_typeii_20db_d32_bw180_blk0,32,180,64,0.8,bsc_estimated,uniform,0.9125,0.5
real_typeii_20db_d32_bw40_blk0,32,40,64,0.8,hard,uniform,0.9125,0.5
real_typeii_20db_d32_bw60_blk0,32,60,64,0.8,bsc_estimated,uniform,0.9125,0.75
real_typeii_20db_d8_bw120_blk0,8,120,64,0.5,hard,uniform,0.6666666666666666,0.25
real_typeii_20db_d8_bw180_blk0,8,180,64,0.5,bsc_estimated,uniform,0.6666666666666666,0.25
real_typeii_20db_d8_bw200_blk0,8,200,64,0.67,hard,uniform,0.8385416666666666,0.75
real_typeii_20db_d8_bw50_blk0,8,50,64,0.8,hard,uniform,0.9791666666666666,0.5
real_typeii_20db_d1024_bw100_blk0,1024,100,128,0.8,hard,uniform,0.8296875,1.0
real_typeii_20db_d1024_bw180_blk0,1024,180,128,0.8,bsc_estimated,uniform,0.8296875,0.5
real_typeii_20db_d1024_bw200_blk0,1024,200,128,0.8,hard,uniform,0.8296875,0.5
real_typeii_20db_d16_bw100_blk0,16,100,128,0.9,hard,uniform,0.96875,1.0
real_typeii_20db_d16_bw180_blk0,16,180,128,0.67,hard,uniform,0.734375,0.5
real_typeii_20db_d16_bw60_blk0,16,60,128,0.8,bsc_estimated,uniform,0.8671875,0.5
real_typeii_20db_d32_bw100_blk0,32,100,128,0.8,hard,uniform,0.8546875,0.5
real_typeii_20db_d32_bw180_blk0,32,180,128,0.8,hard,uniform,0.8546875,0.5
real_typeii_20db_d32_bw40_blk0,32,40,128,0.9,hard,uniform,0.95625,0.5
real_typeii_20db_d32_bw60_blk0,32,60,128,0.9,bsc_estimated,uniform,0.95625,0.5
real_typeii_20db_d8_bw120_blk0,8,120,128,0.67,hard,uniform,0.7552083333333334,0.5
real_typeii_20db_d8_bw180_blk0,8,180,128,0.67,hard,uniform,0.7552083333333334,1.0
real_typeii_20db_d8_bw200_blk0,8,200,128,0.67,bsc_estimated,uniform,0.7552083333333334,0.5
real_typeii_20db_d8_bw50_blk0,8,50,128,0.8,bsc_estimated,uniform,0.8880208333333334,0.5
real_typeii_20db_d1024_bw100_blk0,1024,100,256,0.8,bsc_estimated,uniform,0.81328125,0.25
real_typeii_20db_d1024_bw180_blk0,1024,180,256,0.9,hard,uniform,0.91484375,1.0
real_typeii_20db_d1024_bw200_blk0,1024,200,256,0.8,bsc_estimated,uniform,0.81328125,0.25
real_typeii_20db_d16_bw100_blk0,16,100,256,0.9,hard,uniform,0.93359375,1.0
real_typeii_20db_d16_bw180_blk0,16,180,256,0.8,hard,uniform,0.83203125,1.0
real_typeii_20db_d16_bw60_blk0,16,60,256,0.8,bsc_estimated,uniform,0.83203125,1.0
real_typeii_20db_d32_bw100_blk0,32,100,256,0.9,hard,uniform,0.92734375,1.0
real_typeii_20db_d32_bw180_blk0,32,180,256,0.8,hard,uniform,0.82578125,1.0
real_typeii_20db_d32_bw40_blk0,32,40,256,0.9,hard,uniform,0.92734375,1.0
real_typeii_20db_d32_bw60_blk0,32,60,256,0.9,bsc_estimated,uniform,0.92734375,1.0
real_typeii_20db_d8_bw120_blk0,8,120,256,0.8,hard,uniform,0.8424479166666666,1.0
real_typeii_20db_d8_bw180_blk0,8,180,256,0.67,hard,uniform,0.7135416666666666,1.0
real_typeii_20db_d8_bw200_blk0,8,200,256,0.8,hard,uniform,0.8424479166666666,1.0
real_typeii_20db_d8_bw50_blk0,8,50,256,0.9,bsc_estimated,uniform,0.9440104166666666,1.0
