dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_actual_bits,leak_EC_per_input_bit,leakage_accounting
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,7bb66119b31ce8cd,957.0,0.373828125,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,e41b94e22127bc2a,1851.0,0.723046875,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,3ddb0e813f8c9fa7,997.0,0.389453125,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,1cdb1b55b06d0718,2544.0,0.99375,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,7bb66119b31ce8cd,604.0,0.58984375,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,e41b94e22127bc2a,951.0,0.9287109375,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,d8c9e97fcf2fa52f,2944.0,1.15,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,64,7ee822c7f60512c0,2251.0,0.879296875,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,1cdb1b55b06d0718,2538.0,0.99140625,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,1cdb1b55b06d0718,1199.0,1.1708984375,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,7bb66119b31ce8cd,928.0,0.3625,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,7ee822c7f60512c0,1306.0,1.275390625,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,64,7ee822c7f60512c0,2235.0,0.873046875,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,64,7bb66119b31ce8cd,866.0,0.845703125,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,cascade_lite,64,3ddb0e813f8c9fa7,1117.0,1.0908203125,raw_EC_bits
