dataset_id,dimension,bin_width_ps,recommended_method,max_success_rate,recommendation_classification,note
polar_row_0,4,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_1,4,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_10,4,200.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_100,2048,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_101,2048,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_102,2048,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_103,2048,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_104,2048,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_105,2048,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_106,2048,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_107,2048,150.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_108,2048,180.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_109,2048,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_11,8,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_110,4096,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_111,4096,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_112,4096,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_113,4096,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_114,4096,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_115,4096,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_116,4096,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_117,4096,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_118,4096,150.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_119,4096,180.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_12,8,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_120,4096,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_13,8,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_14,8,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_15,8,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_16,8,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_17,8,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_18,8,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_19,8,150.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_2,4,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_20,8,180.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_21,8,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_22,16,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_23,16,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_24,16,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_25,16,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_26,16,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_27,16,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_28,16,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_29,16,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_3,4,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_30,16,150.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_31,16,180.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_32,16,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_33,32,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_34,32,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_35,32,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_36,32,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_37,32,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_38,32,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_39,32,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_4,4,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_40,32,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_41,32,150.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_42,32,180.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_43,32,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_44,64,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_45,64,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_46,64,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_47,64,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_48,64,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_49,64,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_5,4,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_50,64,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_51,64,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_52,64,150.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_53,64,180.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_54,64,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_55,128,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_56,128,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_57,128,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_58,128,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_59,128,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_6,4,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_60,128,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_61,128,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_62,128,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
