dataset_id,dimension,bin_width_ps,frame_len_symbols,check_fraction,row_weight,n_frames_attempted,n_frames_success,accepted_frame_fraction,success_classification,leak_EC_per_input_bit,runtime_s,notes
qldpc_synth_q4_ser0p08_flen128,4,,64,0.5,4,4,2,0.5,reference_only,0.625,0.1956258999998681,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p01_flen128,4,,64,0.5,4,4,4,1.0,reference_only,0.625,0.2940564000164158,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p05_flen64,4,,64,0.5,4,4,2,0.5,reference_only,0.75,0.240536900004372,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p01_flen64,4,,64,0.5,4,4,4,1.0,reference_only,0.75,0.326343499997165,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p03_flen64,4,,64,0.5,4,4,3,0.75,reference_only,0.75,0.3634193000034429,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p01_flen128,8,,64,0.5,4,4,4,1.0,reference_only,0.5833333333333334,0.1356076000083703,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p03_flen128,4,,64,0.5,4,4,3,0.75,reference_only,0.625,0.5183195999998134,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p05_flen128,4,,64,0.5,4,4,3,0.75,reference_only,0.625,0.6523545000236481,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p03_flen64,8,,64,0.5,4,4,3,0.75,reference_only,0.6666666666666666,0.3987232000217773,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p03_flen128,8,,64,0.5,4,4,4,1.0,reference_only,0.5833333333333334,0.5146726999955717,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q4_ser0p08_flen64,4,,64,0.5,4,4,2,0.5,reference_only,0.75,0.9084332000056748,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p05_flen128,8,,64,0.5,4,4,3,0.75,reference_only,0.5833333333333334,0.7126048000063747,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p01_flen64,8,,64,0.5,4,4,4,1.0,reference_only,0.6666666666666666,0.8994547000038438,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p01_flen128,16,,64,0.5,4,4,4,1.0,reference_only,0.5625,0.4266727000067476,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p05_flen64,8,,64,0.5,4,4,2,0.5,reference_only,0.6666666666666666,1.2570104000042193,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p08_flen128,8,,64,0.5,4,4,2,0.5,reference_only,0.5833333333333334,1.0939673999964723,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p05_flen64,16,,64,0.5,4,4,2,0.5,reference_only,0.625,0.68037769998773,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q8_ser0p08_flen64,8,,64,0.5,4,4,2,0.5,reference_only,0.6666666666666666,1.4891817000170704,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p05_flen128,16,,64,0.5,4,4,2,0.5,reference_only,0.5625,1.1987005999835674,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p01_flen64,32,,64,0.5,4,4,4,1.0,reference_only,0.6,0.6244640999939293,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p03_flen128,32,,64,0.5,4,4,4,1.0,reference_only,0.55,0.4350758000218775,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p03_flen64,32,,64,0.5,4,4,3,0.75,reference_only,0.6,0.96652859999449,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p08_flen128,16,,64,0.5,4,4,2,0.5,reference_only,0.5625,2.093798100017011,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p05_flen64,32,,64,0.5,4,4,2,0.5,reference_only,0.6,1.1474711000046227,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p03_flen128,16,,64,0.5,4,4,4,1.0,reference_only,0.5625,4.580996100004995,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p01_flen128,32,,64,0.5,4,4,4,1.0,reference_only,0.55,3.902189199987333,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p08_flen128,32,,64,0.5,4,4,2,0.5,reference_only,0.55,1.9142005000030624,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p08_flen64,16,,64,0.5,4,4,2,0.5,reference_only,0.625,4.755877999996301,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p01_flen64,16,,64,0.5,4,4,4,1.0,reference_only,0.625,5.718931300012628,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q16_ser0p03_flen64,16,,64,0.5,4,4,3,0.75,reference_only,0.625,5.993427099980181,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p05_flen128,32,,64,0.5,4,4,3,0.75,reference_only,0.55,4.0781164999934845,qLDPC reference — not industrial-grade qLDPC
qldpc_synth_q32_ser0p08_flen64,32,,64,0.5,4,4,2,0.5,reference_only,0.6,3.827866300009191,qLDPC reference — not industrial-grade qLDPC
