dataset_id,dimension,bin_width_ps,method,frame_len_symbols,n_frames_attempted,n_frames_success,accepted_frame_fraction,success_classification,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7bb66119b31ce8cd
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,64,4,2.0,0.5,verified_failure,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d1024_bw180_blk0,1024,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,1cdb1b55b06d0718
real_typeii_20db_d1024_bw180_blk0,1024,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d1024_bw180_blk0,1024,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7ee822c7f60512c0
real_typeii_20db_d16_bw180_blk0,16,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,7bb66119b31ce8cd
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,64,4,3.0,0.75,verified_failure,3ddb0e813f8c9fa7
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d16_bw180_blk0,16,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,d8c9e97fcf2fa52f
real_typeii_20db_d1024_bw180_blk0,1024,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
real_typeii_20db_d16_bw180_blk0,16,180.0,cascade_lite,64,4,4.0,1.0,real_ir_success,e41b94e22127bc2a
