dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,parity_fraction,max_iter,osd_order,bp_method,mapping,llr_mode,bitplane_rate_mode,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,50,0,minimum_sum,gray,empirical_bitplane,uniform,4,0,4,0,0.0,0.2421875,0.2421875,1008.0,0.39375,0.8437491999939084,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,89ec99504e8d0bda
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.2421875,0.2421875,821.0,0.320703125,0.8645042999414727,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,40d724aaf2f5c16d
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.2421875,0.2421875,821.0,0.320703125,0.9274974999716505,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,e3e5c9d1db657f04
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,50,0,minimum_sum,gray,bsc_estimated,uniform,4,0,4,0,0.0,0.2421875,0.2421875,1008.0,0.39375,0.9378444999456406,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,8f9721f3d410e962
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,4,0,4,0,0.0,0.2421875,0.2421875,821.0,0.320703125,0.9532374000409618,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,dc2c3185acd096f7
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,empirical_bitplane,uniform,4,0,4,0,0.0,0.2421875,0.2421875,1408.0,0.55,0.9566390999825671,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,3a262b0e8be8ccff
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,4,0,4,0,0.0,0.2421875,0.2421875,821.0,0.320703125,0.9643249999498948,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,f1aa369f6fd78397
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.2421875,0.2421875,821.0,0.320703125,0.9890933999558911,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,9fc5a75a57942d0d
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,20,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,4,0,4,0,0.0,0.2421875,0.2421875,821.0,0.320703125,0.9966177999740466,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,35c718f99cf335df
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,empirical_bitplane,uniform,4,0,4,0,0.0,0.2421875,0.2421875,1008.0,0.39375,1.008516400004737,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,a52c2fb7547104e8
