source,gray_popcount,count,frac
type2_1M_20260121_184040,0,389233,0.760220703125
type2_1M_20260121_184040,1,122767,0.239779296875
type2_1M_20260121_184040,2,0,0.0
type2_1M_20260121_184040,3,0,0.0
type2_1M_20260121_184040,4,0,0.0
type2_1M_20260121_184040,5,0,0.0
type2_1M_20260121_184040,6,0,0.0
type2_1M_20260121_184040,7,0,0.0
type2_1M_20260121_184040,8,0,0.0
type2_1M_20260121_184040,9,0,0.0
type2_1M_20260121_184040,10,0,0.0
type2_1p5M_20260121_183806,0,528098,0.7455304707264185
type2_1p5M_20260121_183806,1,180254,0.2544695292735815
type2_1p5M_20260121_183806,2,0,0.0
type2_1p5M_20260121_183806,3,0,0.0
type2_1p5M_20260121_183806,4,0,0.0
type2_1p5M_20260121_183806,5,0,0.0
type2_1p5M_20260121_183806,6,0,0.0
type2_1p5M_20260121_183806,7,0,0.0
type2_1p5M_20260121_183806,8,0,0.0
type2_1p5M_20260121_183806,9,0,0.0
type2_1p5M_20260121_183806,10,0,0.0
type2_2M_20260121_183657,0,694483,0.7442590449245542
type2_2M_20260121_183657,1,238637,0.2557409550754458
type2_2M_20260121_183657,2,0,0.0
type2_2M_20260121_183657,3,0,0.0
type2_2M_20260121_183657,4,0,0.0
type2_2M_20260121_183657,5,0,0.0
type2_2M_20260121_183657,6,0,0.0
type2_2M_20260121_183657,7,0,0.0
type2_2M_20260121_183657,8,0,0.0
type2_2M_20260121_183657,9,0,0.0
type2_2M_20260121_183657,10,0,0.0
