source,factorization_label,layer,H_bits,ref_rate
type2_1M_20260121_184040,F01:L01_natural,L1,0.40015934,0.94219921
type2_1M_20260121_184040,F01:L01_natural,L2,0.40087848,0.47885797
type2_1M_20260121_184040,F01:L02_gray,L1,0.40015934,0.94219921
type2_1M_20260121_184040,F01:L02_gray,L2,0.40087848,0.47885797
type2_1M_20260121_184040,F02:L01_natural,L1,0.19937364,0.96760178
type2_1M_20260121_184040,F02:L01_natural,L2,0.60166418,0.60891828
type2_1M_20260121_184040,F02:L02_gray,L1,0.19937364,0.96760178
type2_1M_20260121_184040,F02:L02_gray,L2,0.60166418,0.60891828
type2_1M_20260121_184040,F03:L01_natural,L1,0.02428055,0.99368706
type2_1M_20260121_184040,F03:L01_natural,L2,0.77675728,0.79804311
type2_1M_20260121_184040,F03:L02_gray,L1,0.02428055,0.99368706
type2_1M_20260121_184040,F03:L02_gray,L2,0.77675728,0.79804311
type2_1M_20260121_184040,F04:L01_natural,L1,0.01186905,0.99614256
type2_1M_20260121_184040,F04:L01_natural,L2,0.18750459,0.93906101
type2_1M_20260121_184040,F04:L01_natural,L3,0.60166418,0.60891828
type2_1M_20260121_184040,F04:L02_gray,L1,0.01186905,0.99614256
type2_1M_20260121_184040,F04:L02_gray,L2,0.18750459,0.93906101
type2_1M_20260121_184040,F04:L02_gray,L3,0.60166418,0.60891828
type2_1M_20260121_184040,F05:L01_natural,L1,0.00549651,0.99761818
type2_1M_20260121_184040,F05:L01_natural,L2,0.04380392,0.98101830
type2_1M_20260121_184040,F05:L01_natural,L3,0.35085892,0.84796113
type2_1M_20260121_184040,F05:L01_natural,L4,0.40087848,0.47885797
type2_1M_20260121_184040,F05:L02_gray,L1,0.00549651,0.99761818
type2_1M_20260121_184040,F05:L02_gray,L2,0.04380392,0.98101830
type2_1M_20260121_184040,F05:L02_gray,L3,0.35085892,0.84796113
type2_1M_20260121_184040,F05:L02_gray,L4,0.40087848,0.47885797
type2_1p5M_20260121_183806,F01:L01_natural,L1,0.41358107,0.94026051
type2_1p5M_20260121_183806,F01:L01_natural,L2,0.41198498,0.46441953
type2_1p5M_20260121_183806,F01:L02_gray,L1,0.41358107,0.94026051
type2_1p5M_20260121_183806,F01:L02_gray,L2,0.41198498,0.46441953
type2_1p5M_20260121_183806,F02:L01_natural,L1,0.20670094,0.96641110
type2_1p5M_20260121_183806,F02:L01_natural,L2,0.61886511,0.59773768
type2_1p5M_20260121_183806,F02:L02_gray,L1,0.20670094,0.96641110
type2_1p5M_20260121_183806,F02:L02_gray,L2,0.61886511,0.59773768
type2_1p5M_20260121_183806,F03:L01_natural,L1,0.02519950,0.99344813
type2_1p5M_20260121_183806,F03:L01_natural,L2,0.80036655,0.79190470
type2_1p5M_20260121_183806,F03:L02_gray,L1,0.02519950,0.99344813
type2_1p5M_20260121_183806,F03:L02_gray,L2,0.80036655,0.79190470
type2_1p5M_20260121_183806,F04:L01_natural,L1,0.01206002,0.99608049
type2_1p5M_20260121_183806,F04:L01_natural,L2,0.19464092,0.93674170
type2_1p5M_20260121_183806,F04:L01_natural,L3,0.61886511,0.59773768
type2_1p5M_20260121_183806,F04:L02_gray,L1,0.01206002,0.99608049
type2_1p5M_20260121_183806,F04:L02_gray,L2,0.19464092,0.93674170
type2_1p5M_20260121_183806,F04:L02_gray,L3,0.61886511,0.59773768
type2_1p5M_20260121_183806,F05:L01_natural,L1,0.00564528,0.99755371
type2_1p5M_20260121_183806,F05:L01_natural,L2,0.04564081,0.98022232
type2_1p5M_20260121_183806,F05:L01_natural,L3,0.36229499,0.84300551
type2_1p5M_20260121_183806,F05:L01_natural,L4,0.41198498,0.46441953
type2_1p5M_20260121_183806,F05:L02_gray,L1,0.00564528,0.99755371
type2_1p5M_20260121_183806,F05:L02_gray,L2,0.04564081,0.98022232
type2_1p5M_20260121_183806,F05:L02_gray,L3,0.36229499,0.84300551
type2_1p5M_20260121_183806,F05:L02_gray,L4,0.41198498,0.46441953
type2_2M_20260121_183657,F01:L01_natural,L1,0.41624778,0.93987532
type2_2M_20260121_183657,F01:L01_natural,L2,0.41631494,0.45879057
type2_2M_20260121_183657,F01:L02_gray,L1,0.41624778,0.93987532
type2_2M_20260121_183657,F01:L02_gray,L2,0.41631494,0.45879057
type2_2M_20260121_183657,F02:L01_natural,L1,0.20759567,0.96626570
type2_2M_20260121_183657,F02:L01_natural,L2,0.62496706,0.59377141
type2_2M_20260121_183657,F02:L02_gray,L1,0.20759567,0.96626570
