candidate_id,lambda_edge,dbar_v,max_check_degree
lam_d2_0.40_d3_0.55_d4_0.00_d5_0.05,"{2: 0.4, 3: 0.55, 5: 0.05}",2.5424,15
lam_d2_0.40_d3_0.55_d4_0.05_d5_-0.00,"{2: 0.4, 3: 0.55, 4: 0.05}",2.5263,15
lam_d2_0.40_d3_0.60_d4_0.00_d5_0.00,"{2: 0.4, 3: 0.6}",2.5000,14
lam_d2_0.45_d3_0.40_d4_0.10_d5_0.05,"{2: 0.45, 3: 0.4, 4: 0.1, 5: 0.05}",2.5424,15
lam_d2_0.45_d3_0.40_d4_0.15_d5_0.00,"{2: 0.45, 3: 0.4, 4: 0.15}",2.5263,15
lam_d2_0.45_d3_0.45_d4_0.00_d5_0.10,"{2: 0.45, 3: 0.45, 5: 0.1}",2.5316,15
lam_d2_0.45_d3_0.45_d4_0.05_d5_0.05,"{2: 0.45, 3: 0.45, 4: 0.05, 5: 0.05}",2.5157,15
lam_d2_0.45_d3_0.45_d4_0.10_d5_0.00,"{2: 0.45, 3: 0.45, 4: 0.1}",2.5000,14
lam_d2_0.45_d3_0.50_d4_0.00_d5_0.05,"{2: 0.45, 3: 0.5, 5: 0.05}",2.4896,14
lam_d2_0.45_d3_0.50_d4_0.05_d5_0.00,"{2: 0.45, 3: 0.5, 4: 0.05}",2.4742,14
lam_d2_0.45_d3_0.55_d4_0.00_d5_0.00,"{2: 0.45, 3: 0.55}",2.4490,14
lam_d2_0.50_d3_0.25_d4_0.20_d5_0.05,"{2: 0.5, 3: 0.25, 4: 0.2, 5: 0.05}",2.5424,15
lam_d2_0.50_d3_0.25_d4_0.25_d5_0.00,"{2: 0.5, 3: 0.25, 4: 0.25}",2.5263,15
lam_d2_0.50_d3_0.30_d4_0.05_d5_0.15,"{2: 0.5, 3: 0.3, 4: 0.05, 5: 0.15}",2.5478,15
lam_d2_0.50_d3_0.30_d4_0.10_d5_0.10,"{2: 0.5, 3: 0.3, 4: 0.1, 5: 0.1}",2.5316,15
lam_d2_0.50_d3_0.30_d4_0.15_d5_0.05,"{2: 0.5, 3: 0.3, 4: 0.15, 5: 0.05}",2.5157,15
lam_d2_0.50_d3_0.30_d4_0.20_d5_0.00,"{2: 0.5, 3: 0.3, 4: 0.2}",2.5000,14
lam_d2_0.50_d3_0.35_d4_0.00_d5_0.15,"{2: 0.5, 3: 0.35, 5: 0.15}",2.5210,15
lam_d2_0.50_d3_0.35_d4_0.05_d5_0.10,"{2: 0.5, 3: 0.35, 4: 0.05, 5: 0.1}",2.5052,14
lam_d2_0.50_d3_0.35_d4_0.10_d5_0.05,"{2: 0.5, 3: 0.35, 4: 0.1, 5: 0.05}",2.4896,14
lam_d2_0.50_d3_0.35_d4_0.15_d5_0.00,"{2: 0.5, 3: 0.35, 4: 0.15}",2.4742,14
lam_d2_0.50_d3_0.40_d4_0.00_d5_0.10,"{2: 0.5, 3: 0.4, 5: 0.1}",2.4793,14
lam_d2_0.50_d3_0.40_d4_0.05_d5_0.05,"{2: 0.5, 3: 0.4, 4: 0.05, 5: 0.05}",2.4641,14
lam_d2_0.50_d3_0.40_d4_0.10_d5_-0.00,"{2: 0.5, 3: 0.4, 4: 0.1}",2.4490,14
lam_d2_0.50_d3_0.45_d4_0.00_d5_0.05,"{2: 0.5, 3: 0.45, 5: 0.05}",2.4390,14
lam_d2_0.50_d3_0.45_d4_0.05_d5_-0.00,"{2: 0.5, 3: 0.45, 4: 0.05}",2.4242,14
lam_d2_0.50_d3_0.50_d4_0.00_d5_0.00,"{2: 0.5, 3: 0.5}",2.4000,14
lam_d2_0.55_d3_0.10_d4_0.30_d5_0.05,"{2: 0.55, 3: 0.1, 4: 0.3, 5: 0.05}",2.5424,15
lam_d2_0.55_d3_0.10_d4_0.35_d5_0.00,"{2: 0.55, 3: 0.1, 4: 0.35}",2.5263,15
lam_d2_0.55_d3_0.15_d4_0.15_d5_0.15,"{2: 0.55, 3: 0.15, 4: 0.15, 5: 0.15}",2.5478,15
