candidate_id,dbar_v,max_check_degree,worst_source_entropy,degraded_vs_baseline
lam_d2_0.40_d3_0.55_d4_0.00_d5_0.05,2.5424,15,4.903489,True
lam_d2_0.40_d3_0.55_d4_0.05_d5_-0.00,2.5263,15,4.916810,True
lam_d2_0.40_d3_0.60_d4_0.00_d5_0.00,2.5000,14,4.894564,True
lam_d2_0.45_d3_0.40_d4_0.10_d5_0.05,2.5424,15,4.901773,True
lam_d2_0.45_d3_0.40_d4_0.15_d5_0.00,2.5263,15,4.913235,True
lam_d2_0.45_d3_0.45_d4_0.00_d5_0.10,2.5316,15,4.900963,True
lam_d2_0.45_d3_0.45_d4_0.05_d5_0.05,2.5157,15,4.891574,True
lam_d2_0.45_d3_0.45_d4_0.10_d5_0.00,2.5000,14,4.909454,True
lam_d2_0.45_d3_0.50_d4_0.00_d5_0.05,2.4896,14,4.886991,True
lam_d2_0.45_d3_0.50_d4_0.05_d5_0.00,2.4742,14,4.899368,True
lam_d2_0.45_d3_0.55_d4_0.00_d5_0.00,2.4490,14,4.880075,True
lam_d2_0.50_d3_0.25_d4_0.20_d5_0.05,2.5424,15,4.897545,True
lam_d2_0.50_d3_0.25_d4_0.25_d5_0.00,2.5263,15,4.915442,True
lam_d2_0.50_d3_0.30_d4_0.05_d5_0.15,2.5478,15,4.898888,True
lam_d2_0.50_d3_0.30_d4_0.10_d5_0.10,2.5316,15,4.896102,True
lam_d2_0.50_d3_0.30_d4_0.15_d5_0.05,2.5157,15,4.888551,True
lam_d2_0.50_d3_0.30_d4_0.20_d5_0.00,2.5000,14,4.906512,True
lam_d2_0.50_d3_0.35_d4_0.00_d5_0.15,2.5210,15,4.894947,True
lam_d2_0.50_d3_0.35_d4_0.05_d5_0.10,2.5052,14,4.887294,True
lam_d2_0.50_d3_0.35_d4_0.10_d5_0.05,2.4896,14,4.888974,True
lam_d2_0.50_d3_0.35_d4_0.15_d5_0.00,2.4742,14,4.897286,True
lam_d2_0.50_d3_0.40_d4_0.00_d5_0.10,2.4793,14,4.883292,True
lam_d2_0.50_d3_0.40_d4_0.05_d5_0.05,2.4641,14,4.876082,True
lam_d2_0.50_d3_0.40_d4_0.10_d5_-0.00,2.4490,14,4.883255,True
lam_d2_0.50_d3_0.45_d4_0.00_d5_0.05,2.4390,14,4.868763,True
lam_d2_0.50_d3_0.45_d4_0.05_d5_-0.00,2.4242,14,4.880244,True
lam_d2_0.50_d3_0.50_d4_0.00_d5_0.00,2.4000,14,4.873456,True
lam_d2_0.55_d3_0.10_d4_0.30_d5_0.05,2.5424,15,4.893845,True
lam_d2_0.55_d3_0.10_d4_0.35_d5_0.00,2.5263,15,4.910980,True
lam_d2_0.55_d3_0.15_d4_0.15_d5_0.15,2.5478,15,4.891638,True
lam_d2_0.55_d3_0.15_d4_0.20_d5_0.10,2.5316,15,4.884373,True
lam_d2_0.55_d3_0.15_d4_0.25_d5_0.05,2.5157,15,4.881759,True
lam_d2_0.55_d3_0.15_d4_0.30_d5_-0.00,2.5000,14,4.903305,True
lam_d2_0.55_d3_0.20_d4_0.05_d5_0.20,2.5370,15,4.887165,True
lam_d2_0.55_d3_0.20_d4_0.10_d5_0.15,2.5210,15,4.883951,True
lam_d2_0.55_d3_0.20_d4_0.15_d5_0.10,2.5052,14,4.881886,True
lam_d2_0.55_d3_0.20_d4_0.20_d5_0.05,2.4896,14,4.881576,True
lam_d2_0.55_d3_0.20_d4_0.25_d5_-0.00,2.4742,14,4.888802,True
lam_d2_0.55_d3_0.25_d4_0.00_d5_0.20,2.5105,14,4.874499,True
lam_d2_0.55_d3_0.25_d4_0.05_d5_0.15,2.4948,14,4.878793,True
lam_d2_0.55_d3_0.25_d4_0.10_d5_0.10,2.4793,14,4.878705,True
lam_d2_0.55_d3_0.25_d4_0.15_d5_0.05,2.4641,14,4.871302,True
lam_d2_0.55_d3_0.25_d4_0.20_d5_-0.00,2.4490,14,4.879634,True
lam_d2_0.55_d3_0.30_d4_0.00_d5_0.15,2.4691,14,4.873480,True
lam_d2_0.55_d3_0.30_d4_0.05_d5_0.10,2.4540,14,4.870760,True
lam_d2_0.55_d3_0.30_d4_0.10_d5_0.05,2.4390,14,4.865951,True
lam_d2_0.55_d3_0.30_d4_0.15_d5_-0.00,2.4242,14,4.881779,True
lam_d2_0.55_d3_0.35_d4_0.00_d5_0.10,2.4291,14,4.845527,True
lam_d2_0.55_d3_0.35_d4_0.05_d5_0.05,2.4145,14,4.837397,True
lam_d2_0.55_d3_0.35_d4_0.10_d5_-0.00,2.4000,14,4.841100,True
lam_d2_0.55_d3_0.40_d4_0.00_d5_0.05,2.3904,14,4.829675,True
lam_d2_0.55_d3_0.40_d4_0.05_d5_-0.00,2.3762,14,4.844304,True
lam_d2_0.55_d3_0.45_d4_0.00_d5_-0.00,2.3529,14,4.837068,True
lam_d2_0.60_d3_0.00_d4_0.25_d5_0.15,2.5478,15,4.887092,True
lam_d2_0.60_d3_0.00_d4_0.30_d5_0.10,2.5316,15,4.882696,True
lam_d2_0.60_d3_0.00_d4_0.35_d5_0.05,2.5157,15,4.878928,True
lam_d2_0.60_d3_0.00_d4_0.40_d5_0.00,2.5000,14,4.898716,True
lam_d2_0.60_d3_0.05_d4_0.15_d5_0.20,2.5370,15,4.883243,True
lam_d2_0.60_d3_0.05_d4_0.20_d5_0.15,2.5210,15,4.873761,True
lam_d2_0.60_d3_0.05_d4_0.25_d5_0.10,2.5052,14,4.865029,True
lam_d2_0.60_d3_0.05_d4_0.30_d5_0.05,2.4896,14,4.867813,True
lam_d2_0.60_d3_0.05_d4_0.35_d5_0.00,2.4742,14,4.885348,True
lam_d2_0.60_d3_0.10_d4_0.00_d5_0.30,2.5424,15,4.868948,True
lam_d2_0.60_d3_0.10_d4_0.05_d5_0.25,2.5263,15,4.868796,True
lam_d2_0.60_d3_0.10_d4_0.10_d5_0.20,2.5105,14,4.861881,True
lam_d2_0.60_d3_0.10_d4_0.15_d5_0.15,2.4948,14,4.869452,True
lam_d2_0.60_d3_0.10_d4_0.20_d5_0.10,2.4793,14,4.865239,True
lam_d2_0.60_d3_0.10_d4_0.25_d5_0.05,2.4641,14,4.862775,True
lam_d2_0.60_d3_0.10_d4_0.30_d5_0.00,2.4490,14,4.873769,True
lam_d2_0.60_d3_0.15_d4_0.00_d5_0.25,2.5000,14,4.863784,True
lam_d2_0.60_d3_0.15_d4_0.05_d5_0.20,2.4845,14,4.860913,True
lam_d2_0.60_d3_0.15_d4_0.10_d5_0.15,2.4691,14,4.860646,True
lam_d2_0.60_d3_0.15_d4_0.15_d5_0.10,2.4540,14,4.852122,True
lam_d2_0.60_d3_0.15_d4_0.20_d5_0.05,2.4390,14,4.847572,True
lam_d2_0.60_d3_0.15_d4_0.25_d5_0.00,2.4242,14,4.879308,True
lam_d2_0.60_d3_0.20_d4_0.00_d5_0.20,2.4590,14,4.849321,True
lam_d2_0.60_d3_0.20_d4_0.05_d5_0.15,2.4440,14,4.839629,True
lam_d2_0.60_d3_0.20_d4_0.10_d5_0.10,2.4291,14,4.855445,True
lam_d2_0.60_d3_0.20_d4_0.15_d5_0.05,2.4145,14,4.841839,True
lam_d2_0.60_d3_0.20_d4_0.20_d5_0.00,2.4000,14,4.835127,True
lam_d2_0.60_d3_0.25_d4_0.00_d5_0.15,2.4194,14,4.834635,True
lam_d2_0.60_d3_0.25_d4_0.05_d5_0.10,2.4048,14,4.828007,True
lam_d2_0.60_d3_0.25_d4_0.10_d5_0.05,2.3904,14,4.824544,True
lam_d2_0.60_d3_0.25_d4_0.15_d5_0.00,2.3762,14,4.821430,True
lam_d2_0.60_d3_0.30_d4_0.00_d5_0.10,2.3810,14,4.825135,True
lam_d2_0.60_d3_0.30_d4_0.05_d5_0.05,2.3669,14,4.826692,True
lam_d2_0.60_d3_0.30_d4_0.10_d5_0.00,2.3529,14,4.805826,True
lam_d2_0.60_d3_0.35_d4_0.00_d5_0.05,2.3438,14,4.793636,True
lam_d2_0.60_d3_0.35_d4_0.05_d5_0.00,2.3301,13,4.804062,True
lam_d2_0.60_d3_0.40_d4_0.00_d5_0.00,2.3077,13,4.797408,True
lam_d2_0.65_d3_0.00_d4_0.00_d5_0.35,2.5316,15,4.843166,True
lam_d2_0.65_d3_0.00_d4_0.05_d5_0.30,2.5157,15,4.852650,True
lam_d2_0.65_d3_0.00_d4_0.10_d5_0.25,2.5000,14,4.844532,True
lam_d2_0.65_d3_0.00_d4_0.15_d5_0.20,2.4845,14,4.846762,True
lam_d2_0.65_d3_0.00_d4_0.20_d5_0.15,2.4691,14,4.834416,True
lam_d2_0.65_d3_0.00_d4_0.25_d5_0.10,2.4540,14,4.817431,True
lam_d2_0.65_d3_0.00_d4_0.30_d5_0.05,2.4390,14,4.812131,True
lam_d2_0.65_d3_0.00_d4_0.35_d5_0.00,2.4242,14,4.873076,True
lam_d2_0.65_d3_0.05_d4_0.00_d5_0.30,2.4896,14,4.831959,True
lam_d2_0.65_d3_0.05_d4_0.05_d5_0.25,2.4742,14,4.831471,True
lam_d2_0.65_d3_0.05_d4_0.10_d5_0.20,2.4590,14,4.823640,True
lam_d2_0.65_d3_0.05_d4_0.15_d5_0.15,2.4440,14,4.810219,True
lam_d2_0.65_d3_0.05_d4_0.20_d5_0.10,2.4291,14,4.856576,True
lam_d2_0.65_d3_0.05_d4_0.25_d5_0.05,2.4145,14,4.838531,True
lam_d2_0.65_d3_0.05_d4_0.30_d5_0.00,2.4000,14,4.830307,True
lam_d2_0.65_d3_0.10_d4_0.00_d5_0.25,2.4490,14,4.809336,True
lam_d2_0.65_d3_0.10_d4_0.05_d5_0.20,2.4341,14,4.841853,True
lam_d2_0.65_d3_0.10_d4_0.10_d5_0.15,2.4194,14,4.849115,True
lam_d2_0.65_d3_0.10_d4_0.15_d5_0.10,2.4048,14,4.828908,True
lam_d2_0.65_d3_0.10_d4_0.20_d5_0.05,2.3904,14,4.837765,True
lam_d2_0.65_d3_0.10_d4_0.25_d5_-0.00,2.3762,14,4.795057,True
lam_d2_0.65_d3_0.15_d4_0.00_d5_0.20,2.4096,14,4.832846,True
lam_d2_0.65_d3_0.15_d4_0.05_d5_0.15,2.3952,14,4.837445,True
lam_d2_0.65_d3_0.15_d4_0.10_d5_0.10,2.3810,14,4.832041,True
lam_d2_0.65_d3_0.15_d4_0.15_d5_0.05,2.3669,14,4.816113,True
lam_d2_0.65_d3_0.15_d4_0.20_d5_-0.00,2.3529,14,4.791234,True
lam_d2_0.65_d3_0.20_d4_0.00_d5_0.15,2.3715,14,4.795474,True
lam_d2_0.65_d3_0.20_d4_0.05_d5_0.10,2.3576,14,4.757664,True
lam_d2_0.65_d3_0.20_d4_0.10_d5_0.05,2.3438,14,4.709013,True
lam_d2_0.65_d3_0.20_d4_0.15_d5_-0.00,2.3301,13,4.792646,True
lam_d2_0.65_d3_0.25_d4_0.00_d5_0.10,2.3346,13,4.725062,True
lam_d2_0.65_d3_0.25_d4_0.05_d5_0.05,2.3211,13,4.715394,True
lam_d2_0.65_d3_0.25_d4_0.10_d5_-0.00,2.3077,13,4.770751,True
lam_d2_0.65_d3_0.30_d4_0.00_d5_0.05,2.2989,13,4.687137,True
lam_d2_0.65_d3_0.30_d4_0.05_d5_-0.00,2.2857,13,4.773438,True
lam_d2_0.65_d3_0.35_d4_0.00_d5_0.00,2.2642,13,4.748102,True
lam_d2_0.70_d3_0.00_d4_0.00_d5_0.30,2.4390,14,4.749922,True
lam_d2_0.70_d3_0.00_d4_0.05_d5_0.25,2.4242,14,4.841433,True
lam_d2_0.70_d3_0.00_d4_0.10_d5_0.20,2.4096,14,4.757882,True
lam_d2_0.70_d3_0.00_d4_0.15_d5_0.15,2.3952,14,4.808937,True
lam_d2_0.70_d3_0.00_d4_0.20_d5_0.10,2.3810,14,4.596102,True
lam_d2_0.70_d3_0.00_d4_0.25_d5_0.05,2.3669,14,4.697918,True
lam_d2_0.70_d3_0.00_d4_0.30_d5_0.00,2.3529,14,4.786007,True
