source,seed,method,graph_id,decoder_schedule,redundancy_stage,exact_l2,syndrome_ok,tag_ok,false_accept,errors_initial,errors_final,iterations,runtime_s,syndrome_leakage_bits,cumulative_leakage_bits,status
1M,360101,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,251,166,30,1.870807,0,984,converged_no_syndrome
1M,360102,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,258,177,30,1.874063,0,984,converged_no_syndrome
1M,360103,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,241,171,30,1.864165,0,984,converged_no_syndrome
1M,360104,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,247,178,30,1.874458,0,984,converged_no_syndrome
1M,360105,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,248,162,30,1.856569,0,984,converged_no_syndrome
1p5M,360201,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,268,167,30,1.865852,0,1014,converged_no_syndrome
1p5M,360202,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,269,199,30,1.859534,0,1014,converged_no_syndrome
1p5M,360203,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,275,187,30,1.863741,0,1014,converged_no_syndrome
1p5M,360204,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,247,148,30,1.873389,0,1014,converged_no_syndrome
1p5M,360205,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,278,178,30,1.870098,0,1014,converged_no_syndrome
2M,360301,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,257,164,30,1.857627,0,1024,converged_no_syndrome
2M,360302,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,263,189,30,1.884109,0,1024,converged_no_syndrome
2M,360303,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,249,183,30,1.863953,0,1024,converged_no_syndrome
2M,360304,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,280,184,30,1.881237,0,1024,converged_no_syndrome
2M,360305,nb_ldpc_v36,v31_qc_baseline,row_layered,S0,False,False,False,False,257,169,30,1.858697,0,1024,converged_no_syndrome
1M,360101,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,251,181,30,2.017304,0,984,converged_no_syndrome
1M,360102,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,258,180,30,2.029162,0,984,converged_no_syndrome
1M,360103,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,241,139,30,2.049543,0,984,converged_no_syndrome
1M,360104,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,247,158,30,2.036032,0,984,converged_no_syndrome
1M,360105,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,248,166,30,2.029142,0,984,converged_no_syndrome
1p5M,360201,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,268,173,30,2.028854,0,1014,converged_no_syndrome
1p5M,360202,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,269,166,30,2.058254,0,1014,converged_no_syndrome
1p5M,360203,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,275,175,30,2.044576,0,1014,converged_no_syndrome
1p5M,360204,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,247,127,30,2.034512,0,1014,converged_no_syndrome
1p5M,360205,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,278,155,30,2.04105,0,1014,converged_no_syndrome
2M,360301,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,257,106,30,2.037989,0,1024,converged_no_syndrome
2M,360302,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,263,159,30,2.03347,0,1024,converged_no_syndrome
2M,360303,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,249,110,30,2.036499,0,1024,converged_no_syndrome
2M,360304,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,280,195,30,2.006744,0,1024,converged_no_syndrome
2M,360305,nb_ldpc_v36,v36_source_native_lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,row_layered,S0,False,False,False,False,257,166,30,2.038256,0,1024,converged_no_syndrome
