candidate_id,lambda_2,lambda_3,lambda_4,lambda_5,N2,total_sockets,mean_variable_degree,max_check_degree_184,max_check_degree_190,max_check_degree_192,finite_feasible,finite_inadmissible,all_seeds_converged,aut30_mean_overall,aut30_1M,aut30_1p5M,aut30_2M,delta_1M,delta_1p5M,delta_2M,passed_screening
baseline_dv2_regular,1.0,0.0,0.0,0.0,1024,2048,2.000000,12,11,11,False,False,True,64.145350,73.608364,59.377442,59.450244,0.000000,0.000000,0.000000,False
positive_control_v36,0.85,0.0,0.15,0.0,941,2214,2.162162,13,12,12,False,True,True,81.588409,79.979189,84.545534,80.240504,0.086550,0.423866,0.349709,False
lam_d2_0.00_d3_0.35_d4_0.65_d5_0.00,0.0,0.35,0.65,0.0,0,3668,3.582090,20,20,20,True,False,False,154.876527,154.863961,154.882434,154.883186,1.103891,1.608439,1.605257,False
lam_d2_0.00_d3_0.40_d4_0.50_d5_0.10,0.0,0.4,0.5,0.1,0,3680,3.592814,20,20,20,True,False,False,154.879509,154.868024,154.885881,154.884622,1.103946,1.608497,1.605282,False
lam_d2_0.00_d3_0.40_d4_0.55_d5_0.05,0.0,0.4,0.55,0.05,0,3647,3.560831,20,20,19,True,False,False,154.869659,154.855132,154.877028,154.876819,1.103771,1.608348,1.605150,False
lam_d2_0.00_d3_0.40_d4_0.60_d5_0.00,0.0,0.4,0.6,0.0,0,3614,3.529412,20,20,19,True,False,False,154.857382,154.841190,154.867075,154.863879,1.103581,1.608180,1.604933,False
lam_d2_0.00_d3_0.45_d4_0.40_d5_0.15,0.0,0.45,0.4,0.15,0,3658,3.571429,20,20,20,True,False,False,154.872717,154.859356,154.880053,154.878741,1.103828,1.608399,1.605183,False
lam_d2_0.00_d3_0.45_d4_0.45_d5_0.10,0.0,0.45,0.45,0.1,0,3624,3.539823,20,20,19,True,False,False,154.861728,154.845923,154.870794,154.868466,1.103646,1.608243,1.605010,False
lam_d2_0.00_d3_0.45_d4_0.50_d5_0.05,0.0,0.45,0.5,0.05,0,3593,3.508772,20,19,19,True,False,False,154.848775,154.832455,154.858243,154.855626,1.103463,1.608032,1.604794,False
lam_d2_0.00_d3_0.45_d4_0.55_d5_0.00,0.0,0.45,0.55,0.0,0,3562,3.478261,20,19,19,True,False,False,154.835209,154.818394,154.844870,154.842365,1.103272,1.607806,1.604571,False
lam_d2_0.00_d3_0.50_d4_0.25_d5_0.25,0.0,0.5,0.25,0.25,0,3669,3.582090,20,20,20,True,False,False,154.875975,154.863480,154.882659,154.881785,1.103884,1.608443,1.605234,False
lam_d2_0.00_d3_0.50_d4_0.30_d5_0.20,0.0,0.5,0.3,0.2,0,3635,3.550296,20,20,19,True,False,False,154.865333,154.850094,154.873617,154.872286,1.103702,1.608290,1.605074,False
lam_d2_0.00_d3_0.50_d4_0.35_d5_0.15,0.0,0.5,0.35,0.15,0,3603,3.519062,20,19,19,True,False,False,154.853052,154.836579,154.862795,154.859781,1.103519,1.608108,1.604864,False
lam_d2_0.00_d3_0.50_d4_0.40_d5_0.10,0.0,0.5,0.4,0.1,0,3573,3.488372,20,19,19,True,False,False,154.839798,154.823146,154.849133,154.847115,1.103336,1.607878,1.604651,False
lam_d2_0.00_d3_0.50_d4_0.45_d5_0.05,0.0,0.5,0.45,0.05,0,3542,3.458213,20,19,19,True,False,False,154.826432,154.809318,154.835660,154.834319,1.103148,1.607651,1.604435,False
lam_d2_0.00_d3_0.50_d4_0.50_d5_0.00,0.0,0.5,0.5,0.0,0,3511,3.428571,20,19,19,True,False,False,154.812643,154.795399,154.822294,154.820236,1.102959,1.607426,1.604199,False
lam_d2_0.00_d3_0.55_d4_0.10_d5_0.35,0.0,0.55,0.1,0.35,0,3680,3.592814,20,20,20,True,False,False,154.879144,154.867611,154.885486,154.884336,1.103940,1.608490,1.605277,False
lam_d2_0.00_d3_0.55_d4_0.15_d5_0.30,0.0,0.55,0.15,0.3,0,3647,3.560831,20,20,19,True,False,False,154.869172,154.854596,154.876627,154.876292,1.103764,1.608341,1.605141,False
lam_d2_0.00_d3_0.55_d4_0.20_d5_0.25,0.0,0.55,0.2,0.25,0,3615,3.529412,20,20,19,True,False,False,154.857399,154.840914,154.867443,154.863839,1.103578,1.608187,1.604932,False
lam_d2_0.00_d3_0.55_d4_0.25_d5_0.20,0.0,0.55,0.25,0.2,0,3582,3.498542,20,19,19,True,False,False,154.843912,154.827371,154.853432,154.850933,1.103394,1.607951,1.604715,False
lam_d2_0.00_d3_0.55_d4_0.30_d5_0.15,0.0,0.55,0.3,0.15,0,3552,3.468208,20,19,19,True,False,False,154.830698,154.813587,154.840240,154.838267,1.103206,1.607728,1.604502,False
lam_d2_0.00_d3_0.55_d4_0.35_d5_0.10,0.0,0.55,0.35,0.1,0,3520,3.438395,20,19,19,True,False,False,154.817036,154.799707,154.826285,154.825116,1.103018,1.607493,1.604281,False
lam_d2_0.00_d3_0.55_d4_0.40_d5_0.05,0.0,0.55,0.4,0.05,0,3491,3.409091,19,19,19,True,False,False,154.803461,154.786214,154.812404,154.811766,1.102835,1.607260,1.604056,False
lam_d2_0.00_d3_0.55_d4_0.45_d5_0.00,0.0,0.55,0.45,0.0,0,3461,3.380282,19,19,19,True,False,False,154.787861,154.765984,154.798948,154.798652,1.102560,1.607033,1.603835,False
lam_d2_0.00_d3_0.60_d4_0.00_d5_0.40,0.0,0.6,0.0,0.4,0,3658,3.571429,20,20,20,True,False,False,154.872329,154.858895,154.879605,154.878486,1.103822,1.608391,1.605178,False
lam_d2_0.00_d3_0.60_d4_0.05_d5_0.35,0.0,0.6,0.05,0.35,0,3625,3.539823,20,20,19,True,False,False,154.861215,154.845317,154.870266,154.868063,1.103638,1.608234,1.605003,False
lam_d2_0.00_d3_0.60_d4_0.10_d5_0.30,0.0,0.6,0.1,0.3,0,3592,3.508772,20,19,19,True,False,False,154.848273,154.831762,154.857933,154.855125,1.103453,1.608026,1.604785,False
lam_d2_0.00_d3_0.60_d4_0.15_d5_0.25,0.0,0.6,0.15,0.25,0,3562,3.478261,20,19,19,True,False,False,154.835006,154.818046,154.844578,154.842393,1.103267,1.607801,1.604571,False
lam_d2_0.00_d3_0.60_d4_0.20_d5_0.20,0.0,0.6,0.2,0.2,0,3531,3.448276,20,19,19,True,False,False,154.821534,154.804305,154.830852,154.829444,1.103080,1.607570,1.604353,False
lam_d2_0.00_d3_0.60_d4_0.25_d5_0.15,0.0,0.6,0.25,0.15,0,3501,3.418803,20,19,19,True,False,False,154.807888,154.790334,154.817054,154.816277,1.102891,1.607338,1.604132,False
lam_d2_0.00_d3_0.60_d4_0.30_d5_0.10,0.0,0.6,0.3,0.1,0,3472,3.389831,19,19,19,True,False,False,154.792862,154.773336,154.802684,154.802566,1.102660,1.607096,1.603901,False
lam_d2_0.00_d3_0.60_d4_0.35_d5_0.05,0.0,0.6,0.35,0.05,0,3443,3.361345,19,19,18,True,False,False,154.776615,154.753970,154.789250,154.786626,1.102397,1.606870,1.603633,False
lam_d2_0.00_d3_0.60_d4_0.40_d5_0.00,0.0,0.6,0.4,0.0,0,3413,3.333333,19,18,18,True,False,False,154.758278,154.732305,154.776145,154.766384,1.102102,1.606649,1.603293,False
