phase,method,frame_id,stratum,role,status,reason,raw_ser,iterations,notes
baseline,nbldpc_formal_v7_r1a_mr0,0,d1024_bw200,development,decode_failed,iteration_limit,0.0703125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,1,d1024_bw200,development,decode_failed,iteration_limit,0.06640625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,2,d1024_bw200,development,decode_failed,iteration_limit,0.06640625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,3,d1024_bw200,development,decode_failed,iteration_limit,0.09375,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,4,d1024_bw200,development,decode_failed,iteration_limit,0.05859375,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,5,d1024_bw200,development,syndrome_consistent,exact_correct,0.0859375,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,8,d1024_bw200,development,syndrome_consistent,exact_correct,0.0546875,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,10,d1024_bw200,development,decode_failed,iteration_limit,0.06640625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,11,d1024_bw200,development,decode_failed,iteration_limit,0.0703125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,12,d1024_bw200,development,decode_failed,iteration_limit,0.0859375,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,14,d1024_bw200,development,syndrome_consistent,exact_correct,0.1171875,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,16,d1024_bw200,development,decode_failed,iteration_limit,0.08203125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,17,d1024_bw200,development,decode_failed,iteration_limit,0.07421875,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,19,d1024_bw200,development,syndrome_consistent,exact_correct,0.0625,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,25,d1024_bw200,development,syndrome_consistent,exact_correct,0.0546875,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,26,d1024_bw200,development,decode_failed,iteration_limit,0.078125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,29,d1024_bw200,development,decode_failed,iteration_limit,0.05078125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,30,d1024_bw200,development,syndrome_consistent,exact_correct,0.0859375,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,34,d1024_bw200,development,decode_failed,iteration_limit,0.06640625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,35,d1024_bw200,development,decode_failed,iteration_limit,0.09765625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,47,d1024_bw200,development,decode_failed,iteration_limit,0.0625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,49,d1024_bw200,development,decode_failed,iteration_limit,0.06640625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,51,d1024_bw200,development,syndrome_consistent,exact_correct,0.078125,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,55,d1024_bw200,development,decode_failed,iteration_limit,0.08984375,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,62,d1024_bw200,development,decode_failed,iteration_limit,0.1015625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,64,d1024_bw200,development,decode_failed,iteration_limit,0.0703125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,65,d1024_bw200,development,decode_failed,iteration_limit,0.0625,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,67,d1024_bw200,development,decode_failed,iteration_limit,0.09375,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,68,d1024_bw200,development,decode_failed,iteration_limit,0.078125,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,72,d1024_bw200,development,syndrome_consistent,exact_correct,0.0703125,1,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,73,d1024_bw200,development,decode_failed,iteration_limit,0.08984375,100,hook_equivalence=ok
baseline,nbldpc_formal_v7_r1a_mr0,75,d1024_bw200,development,decode_failed,iteration_limit,0.09375,100,hook_equivalence=ok
