source_tag,frame_id,raw_ser,p_prior,status,iterations,exact_correct
type2_1M_20260121_184040,15,0.23046875,0.16,decode_failed,100,False
type2_1M_20260121_184040,15,0.23046875,0.2,decode_failed,100,False
type2_1M_20260121_184040,15,0.23046875,0.24,decode_failed,100,False
type2_1M_20260121_184040,15,0.23046875,0.28,decode_failed,100,False
type2_1M_20260121_184040,15,0.23046875,0.32,decode_failed,100,False
type2_1M_20260121_184040,1175,0.265625,0.16,decode_failed,100,False
type2_1M_20260121_184040,1175,0.265625,0.2,decode_failed,100,False
type2_1M_20260121_184040,1175,0.265625,0.24,decode_failed,100,False
type2_1M_20260121_184040,1175,0.265625,0.28,decode_failed,100,False
type2_1M_20260121_184040,1175,0.265625,0.32,decode_failed,100,False
type2_1p5M_20260121_183806,457,0.25,0.16,decode_failed,100,False
type2_1p5M_20260121_183806,457,0.25,0.2,decode_failed,100,False
type2_1p5M_20260121_183806,457,0.25,0.24,decode_failed,100,False
type2_1p5M_20260121_183806,457,0.25,0.28,decode_failed,100,False
type2_1p5M_20260121_183806,457,0.25,0.32,decode_failed,100,False
type2_1p5M_20260121_183806,1610,0.24609375,0.16,decode_failed,100,False
type2_1p5M_20260121_183806,1610,0.24609375,0.2,decode_failed,100,False
type2_1p5M_20260121_183806,1610,0.24609375,0.24,decode_failed,100,False
type2_1p5M_20260121_183806,1610,0.24609375,0.28,decode_failed,100,False
type2_1p5M_20260121_183806,1610,0.24609375,0.32,decode_failed,100,False
type2_2M_20260121_183657,471,0.2890625,0.16,decode_failed,100,False
type2_2M_20260121_183657,471,0.2890625,0.2,decode_failed,100,False
type2_2M_20260121_183657,471,0.2890625,0.24,decode_failed,100,False
type2_2M_20260121_183657,471,0.2890625,0.28,decode_failed,100,False
type2_2M_20260121_183657,471,0.2890625,0.32,decode_failed,100,False
type2_2M_20260121_183657,1526,0.203125,0.16,decode_failed,100,False
type2_2M_20260121_183657,1526,0.203125,0.2,decode_failed,100,False
type2_2M_20260121_183657,1526,0.203125,0.24,decode_failed,100,False
type2_2M_20260121_183657,1526,0.203125,0.28,decode_failed,100,False
type2_2M_20260121_183657,1526,0.203125,0.32,decode_failed,100,False
type2_2M_20260121_183657,2474,0.22265625,0.16,decode_failed,100,False
type2_2M_20260121_183657,2474,0.22265625,0.2,decode_failed,100,False
type2_2M_20260121_183657,2474,0.22265625,0.24,decode_failed,100,False
type2_2M_20260121_183657,2474,0.22265625,0.28,decode_failed,100,False
type2_2M_20260121_183657,2474,0.22265625,0.32,decode_failed,100,False
type2_2M_20260121_183657,3606,0.28125,0.16,decode_failed,100,False
type2_2M_20260121_183657,3606,0.28125,0.2,decode_failed,100,False
type2_2M_20260121_183657,3606,0.28125,0.24,decode_failed,100,False
type2_2M_20260121_183657,3606,0.28125,0.28,decode_failed,100,False
type2_2M_20260121_183657,3606,0.28125,0.32,decode_failed,100,False
