source_tag,frame_id,raw_ser,p_prior,status,iterations,exact_correct
type2_1M_20260121_184040,15,0.23046875,0.23046875,decode_failed,100,False
type2_1M_20260121_184040,20,0.25,0.25,decode_failed,100,False
type2_1M_20260121_184040,92,0.2421875,0.2421875,decode_failed,100,False
type2_1M_20260121_184040,202,0.234375,0.234375,decode_failed,100,False
type2_1M_20260121_184040,219,0.2265625,0.2265625,decode_failed,100,False
type2_1M_20260121_184040,220,0.26171875,0.26171875,decode_failed,100,False
type2_1M_20260121_184040,248,0.26171875,0.26171875,decode_failed,100,False
type2_1M_20260121_184040,312,0.25,0.25,decode_failed,100,False
type2_1M_20260121_184040,421,0.2890625,0.2890625,decode_failed,100,False
type2_1M_20260121_184040,472,0.23046875,0.23046875,decode_failed,100,False
type2_1M_20260121_184040,491,0.2265625,0.2265625,decode_failed,100,False
type2_1M_20260121_184040,627,0.26953125,0.26953125,decode_failed,100,False
type2_1M_20260121_184040,837,0.2421875,0.2421875,decode_failed,100,False
type2_1M_20260121_184040,865,0.25390625,0.25390625,decode_failed,100,False
type2_1M_20260121_184040,879,0.2890625,0.2890625,decode_failed,100,False
type2_1M_20260121_184040,979,0.20703125,0.20703125,decode_failed,100,False
type2_1M_20260121_184040,1066,0.25,0.25,decode_failed,100,False
type2_1M_20260121_184040,1131,0.25,0.25,decode_failed,100,False
type2_1M_20260121_184040,1175,0.265625,0.265625,decode_failed,100,False
type2_1M_20260121_184040,1343,0.23046875,0.23046875,decode_failed,100,False
type2_1M_20260121_184040,1487,0.2265625,0.2265625,decode_failed,100,False
type2_1M_20260121_184040,1556,0.2109375,0.2109375,decode_failed,100,False
type2_1M_20260121_184040,1557,0.2265625,0.2265625,decode_failed,100,False
type2_1M_20260121_184040,1622,0.25,0.25,decode_failed,100,False
type2_1M_20260121_184040,1639,0.2578125,0.2578125,decode_failed,100,False
type2_1M_20260121_184040,1787,0.24609375,0.24609375,decode_failed,100,False
type2_1M_20260121_184040,1821,0.27734375,0.27734375,decode_failed,100,False
type2_1M_20260121_184040,1915,0.23828125,0.23828125,decode_failed,100,False
type2_1M_20260121_184040,1934,0.25,0.25,decode_failed,100,False
type2_1M_20260121_184040,1991,0.25390625,0.25390625,decode_failed,100,False
type2_1p5M_20260121_183806,94,0.27734375,0.27734375,decode_failed,100,False
type2_1p5M_20260121_183806,116,0.296875,0.296875,decode_failed,100,False
type2_1p5M_20260121_183806,155,0.296875,0.296875,decode_failed,100,False
type2_1p5M_20260121_183806,314,0.25,0.25,decode_failed,100,False
type2_1p5M_20260121_183806,326,0.28125,0.28125,decode_failed,100,False
type2_1p5M_20260121_183806,423,0.26171875,0.26171875,decode_failed,100,False
type2_1p5M_20260121_183806,457,0.25,0.25,decode_failed,100,False
type2_1p5M_20260121_183806,527,0.28515625,0.28515625,decode_failed,100,False
type2_1p5M_20260121_183806,539,0.25,0.25,decode_failed,100,False
type2_1p5M_20260121_183806,546,0.26953125,0.26953125,decode_failed,100,False
type2_1p5M_20260121_183806,572,0.30078125,0.30078125,decode_failed,100,False
type2_1p5M_20260121_183806,696,0.26953125,0.26953125,decode_failed,100,False
type2_1p5M_20260121_183806,698,0.3359375,0.3359375,decode_failed,100,False
type2_1p5M_20260121_183806,708,0.2265625,0.2265625,decode_failed,100,False
type2_1p5M_20260121_183806,728,0.25,0.25,decode_failed,100,False
type2_1p5M_20260121_183806,961,0.296875,0.296875,decode_failed,100,False
type2_1p5M_20260121_183806,1038,0.25390625,0.25390625,decode_failed,100,False
type2_1p5M_20260121_183806,1077,0.2421875,0.2421875,decode_failed,100,False
type2_1p5M_20260121_183806,1138,0.2265625,0.2265625,decode_failed,100,False
type2_1p5M_20260121_183806,1162,0.28125,0.28125,decode_failed,100,False
type2_1p5M_20260121_183806,1171,0.25,0.25,decode_failed,100,False
type2_1p5M_20260121_183806,1403,0.25390625,0.25390625,decode_failed,100,False
type2_1p5M_20260121_183806,1533,0.26171875,0.26171875,decode_failed,100,False
type2_1p5M_20260121_183806,1555,0.3203125,0.3203125,decode_failed,100,False
type2_1p5M_20260121_183806,1610,0.24609375,0.24609375,decode_failed,100,False
type2_1p5M_20260121_183806,1635,0.234375,0.234375,decode_failed,100,False
type2_1p5M_20260121_183806,1699,0.2578125,0.2578125,decode_failed,100,False
type2_1p5M_20260121_183806,1840,0.265625,0.265625,decode_failed,100,False
type2_1p5M_20260121_183806,1890,0.23046875,0.23046875,decode_failed,100,False
type2_1p5M_20260121_183806,2286,0.25390625,0.25390625,decode_failed,100,False
type2_1p5M_20260121_183806,2363,0.234375,0.234375,decode_failed,100,False
type2_1p5M_20260121_183806,2388,0.2421875,0.2421875,decode_failed,100,False
type2_1p5M_20260121_183806,2434,0.24609375,0.24609375,decode_failed,100,False
type2_1p5M_20260121_183806,2516,0.30078125,0.30078125,decode_failed,100,False
type2_1p5M_20260121_183806,2521,0.25,0.25,decode_failed,100,False
type2_1p5M_20260121_183806,2559,0.2578125,0.2578125,decode_failed,100,False
type2_1p5M_20260121_183806,2726,0.234375,0.234375,decode_failed,100,False
type2_1p5M_20260121_183806,2758,0.3125,0.3125,decode_failed,100,False
type2_2M_20260121_183657,52,0.23046875,0.23046875,decode_failed,100,False
type2_2M_20260121_183657,56,0.296875,0.296875,decode_failed,100,False
type2_2M_20260121_183657,201,0.30078125,0.30078125,decode_failed,100,False
type2_2M_20260121_183657,255,0.2265625,0.2265625,decode_failed,100,False
type2_2M_20260121_183657,415,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,471,0.2890625,0.2890625,decode_failed,100,False
type2_2M_20260121_183657,582,0.24609375,0.24609375,decode_failed,100,False
type2_2M_20260121_183657,655,0.2421875,0.2421875,decode_failed,100,False
type2_2M_20260121_183657,702,0.23828125,0.23828125,decode_failed,100,False
type2_2M_20260121_183657,723,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,761,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,768,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,982,0.21484375,0.21484375,decode_failed,100,False
type2_2M_20260121_183657,1002,0.296875,0.296875,decode_failed,100,False
type2_2M_20260121_183657,1038,0.28515625,0.28515625,decode_failed,100,False
type2_2M_20260121_183657,1185,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,1254,0.30859375,0.30859375,decode_failed,100,False
type2_2M_20260121_183657,1260,0.265625,0.265625,decode_failed,100,False
type2_2M_20260121_183657,1282,0.24609375,0.24609375,decode_failed,100,False
type2_2M_20260121_183657,1387,0.2734375,0.2734375,decode_failed,100,False
type2_2M_20260121_183657,1400,0.27734375,0.27734375,decode_failed,100,False
type2_2M_20260121_183657,1474,0.28515625,0.28515625,decode_failed,100,False
type2_2M_20260121_183657,1511,0.2265625,0.2265625,decode_failed,100,False
type2_2M_20260121_183657,1526,0.203125,0.203125,decode_failed,100,False
type2_2M_20260121_183657,1690,0.2578125,0.2578125,decode_failed,100,False
type2_2M_20260121_183657,1722,0.27734375,0.27734375,decode_failed,100,False
type2_2M_20260121_183657,1835,0.29296875,0.29296875,decode_failed,100,False
type2_2M_20260121_183657,1966,0.2421875,0.2421875,decode_failed,100,False
type2_2M_20260121_183657,2032,0.27734375,0.27734375,decode_failed,100,False
type2_2M_20260121_183657,2063,0.30859375,0.30859375,decode_failed,100,False
type2_2M_20260121_183657,2141,0.28125,0.28125,decode_failed,100,False
type2_2M_20260121_183657,2161,0.25390625,0.25390625,decode_failed,100,False
type2_2M_20260121_183657,2266,0.27734375,0.27734375,decode_failed,100,False
type2_2M_20260121_183657,2278,0.296875,0.296875,decode_failed,100,False
type2_2M_20260121_183657,2303,0.1875,0.1875,decode_failed,100,False
type2_2M_20260121_183657,2305,0.26953125,0.26953125,decode_failed,100,False
type2_2M_20260121_183657,2314,0.2578125,0.2578125,decode_failed,100,False
type2_2M_20260121_183657,2348,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,2377,0.23828125,0.23828125,decode_failed,100,False
type2_2M_20260121_183657,2421,0.29296875,0.29296875,decode_failed,100,False
type2_2M_20260121_183657,2447,0.26953125,0.26953125,decode_failed,100,False
type2_2M_20260121_183657,2474,0.22265625,0.22265625,decode_failed,100,False
type2_2M_20260121_183657,2584,0.3046875,0.3046875,decode_failed,100,False
type2_2M_20260121_183657,2601,0.26953125,0.26953125,decode_failed,100,False
type2_2M_20260121_183657,2699,0.22265625,0.22265625,decode_failed,100,False
type2_2M_20260121_183657,2746,0.2734375,0.2734375,decode_failed,100,False
type2_2M_20260121_183657,2770,0.26953125,0.26953125,decode_failed,100,False
type2_2M_20260121_183657,2880,0.2734375,0.2734375,decode_failed,100,False
type2_2M_20260121_183657,2924,0.2890625,0.2890625,decode_failed,100,False
type2_2M_20260121_183657,3018,0.25,0.25,decode_failed,100,False
type2_2M_20260121_183657,3126,0.28515625,0.28515625,decode_failed,100,False
type2_2M_20260121_183657,3156,0.25390625,0.25390625,decode_failed,100,False
type2_2M_20260121_183657,3198,0.24609375,0.24609375,decode_failed,100,False
type2_2M_20260121_183657,3292,0.26953125,0.26953125,decode_failed,100,False
type2_2M_20260121_183657,3405,0.2890625,0.2890625,decode_failed,100,False
type2_2M_20260121_183657,3417,0.24609375,0.24609375,decode_failed,100,False
type2_2M_20260121_183657,3543,0.2734375,0.2734375,decode_failed,100,False
type2_2M_20260121_183657,3580,0.28125,0.28125,decode_failed,100,False
type2_2M_20260121_183657,3605,0.23828125,0.23828125,decode_failed,100,False
type2_2M_20260121_183657,3606,0.28125,0.28125,decode_failed,100,False
