source_tag,frame_id,raw_ser,bitplane_mismatch,max_bitplane_mismatch,min_bitplane_mismatch,lsb_mismatch,msb_mismatch,final_entropy,stagnation_iterations,oscillation_detected
type2_1M_20260121_184040,15,0.23046875,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.00390625, 0.015625, 0.03515625, 0.05078125, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.09072790542923453,57,False
type2_1M_20260121_184040,20,0.25,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.01953125, 0.03125, 0.078125, 0.109375]",0.109375,0.0,0.109375,0.0,0.11274935801559291,59,True
type2_1M_20260121_184040,92,0.2421875,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0, 0.03125, 0.03125, 0.0546875, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.07637309795964875,60,False
type2_1M_20260121_184040,202,0.234375,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.01171875, 0.04296875, 0.0546875, 0.11328125]",0.11328125,0.0,0.11328125,0.0,0.07265405631287634,47,True
type2_1M_20260121_184040,219,0.2265625,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.01953125, 0.015625, 0.03125, 0.0546875, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.03916347876622422,54,False
type2_1M_20260121_184040,220,0.26171875,"[0.0, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.0078125, 0.01171875, 0.0234375, 0.0546875, 0.15234375]",0.15234375,0.0,0.15234375,0.0,0.11084456255344323,51,True
type2_1M_20260121_184040,248,0.26171875,"[0.00390625, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.00390625, 0.01171875, 0.02734375, 0.0625, 0.140625]",0.140625,0.0,0.140625,0.00390625,0.045676673560897,43,False
type2_1M_20260121_184040,312,0.25,"[0.0, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.01171875, 0.01953125, 0.015625, 0.0625, 0.12890625]",0.12890625,0.0,0.12890625,0.0,0.06801986460038466,49,False
type2_1M_20260121_184040,421,0.2890625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.02734375, 0.01171875, 0.0390625, 0.08984375, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.05434388204342224,43,True
type2_1M_20260121_184040,472,0.23046875,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.01171875, 0.015625, 0.01953125, 0.08984375, 0.08984375]",0.08984375,0.0,0.08984375,0.0,0.09883957051856225,84,False
type2_1M_20260121_184040,491,0.2265625,"[0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.0078125, 0.0078125, 0.0234375, 0.0546875, 0.125]",0.125,0.0,0.125,0.0,0.07849423611700432,68,True
type2_1M_20260121_184040,627,0.26953125,"[0.0, 0.00390625, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.02734375, 0.08203125, 0.1484375]",0.1484375,0.0,0.1484375,0.0,0.07469466070956911,47,False
type2_1M_20260121_184040,837,0.2421875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0078125, 0.046875, 0.0703125, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.06242994784214198,48,True
type2_1M_20260121_184040,865,0.25390625,"[0.00390625, 0.0, 0.0, 0.01171875, 0.0078125, 0.00390625, 0.00390625, 0.02734375, 0.07421875, 0.12109375]",0.12109375,0.0,0.12109375,0.00390625,0.11469912976200014,57,False
type2_1M_20260121_184040,879,0.2890625,"[0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.01171875, 0.0234375, 0.03125, 0.0625, 0.15234375]",0.15234375,0.0,0.15234375,0.0,0.043143805121744976,56,False
type2_1M_20260121_184040,979,0.20703125,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.0078125, 0.0390625, 0.046875, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.07365542039193668,82,True
type2_1M_20260121_184040,1066,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00390625, 0.015625, 0.0234375, 0.0703125, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.07182578207399878,50,True
type2_1M_20260121_184040,1131,0.25,"[0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.0, 0.0234375, 0.02734375, 0.0703125, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.08339188572566086,49,False
type2_1M_20260121_184040,1175,0.265625,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.01171875, 0.01171875, 0.02734375, 0.07421875, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.06349690923574275,50,False
type2_1M_20260121_184040,1343,0.23046875,"[0.0, 0.00390625, 0.0, 0.0, 0.0, 0.0078125, 0.01171875, 0.04296875, 0.05859375, 0.10546875]",0.10546875,0.0,0.10546875,0.0,0.054417201741111865,54,False
type2_1M_20260121_184040,1487,0.2265625,"[0.0, 0.0, 0.00390625, 0.00390625, 0.0, 0.01171875, 0.0078125, 0.01953125, 0.05859375, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.08510190275908432,76,False
type2_1M_20260121_184040,1556,0.2109375,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.0078125, 0.01953125, 0.02734375, 0.015625, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.0619505019974848,55,False
type2_1M_20260121_184040,1557,0.2265625,"[0.00390625, 0.0, 0.0, 0.0, 0.0078125, 0.00390625, 0.015625, 0.0234375, 0.07421875, 0.09765625]",0.09765625,0.0,0.09765625,0.00390625,0.11983473442598275,93,False
type2_1M_20260121_184040,1622,0.25,"[0.0, 0.00390625, 0.0, 0.0, 0.0, 0.015625, 0.015625, 0.0546875, 0.046875, 0.11328125]",0.11328125,0.0,0.11328125,0.0,0.011565393042380853,49,False
type2_1M_20260121_184040,1639,0.2578125,"[0.0, 0.0, 0.00390625, 0.01171875, 0.0078125, 0.00390625, 0.01171875, 0.0390625, 0.0625, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.10421661599603349,53,True
