source,seed,method,graph_id,decoder_schedule,redundancy_stage,exact_l2,syndrome_ok,tag_ok,false_accept,errors_initial,errors_final,iterations,runtime_s,syndrome_leakage_bits,cumulative_leakage_bits,status
1M,350101,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,266,242,30,2.672395,0,1024,converged_no_syndrome
1M,350102,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,250,244,30,2.953239,0,1024,converged_no_syndrome
1M,350103,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,224,205,30,2.638137,0,1024,converged_no_syndrome
1M,350104,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,249,227,30,2.633935,0,1024,converged_no_syndrome
1M,350105,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,234,207,30,2.628871,0,1024,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,257,232,30,2.623955,0,1024,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,255,246,30,2.613083,0,1024,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,289,270,30,2.591436,0,1024,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,284,273,30,2.608912,0,1024,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,237,223,30,2.640306,0,1024,converged_no_syndrome
2M,350301,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,262,234,30,2.604821,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,272,261,30,2.617093,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,235,211,30,2.605156,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,270,260,30,2.59363,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,v31_qc_baseline,flooding,S0,False,False,False,False,269,251,30,2.583916,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,266,242,30,2.622881,0,1024,converged_no_syndrome
1M,350102,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,250,244,30,2.728054,0,1024,converged_no_syndrome
1M,350103,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,224,205,30,2.687466,0,1024,converged_no_syndrome
1M,350104,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,249,227,30,2.621422,0,1024,converged_no_syndrome
1M,350105,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,234,207,30,2.601163,0,1024,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,257,232,30,2.599619,0,1024,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,255,246,30,2.619496,0,1024,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,289,270,30,2.679943,0,1024,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,284,273,30,2.604318,0,1024,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,237,223,30,2.592544,0,1024,converged_no_syndrome
2M,350301,nb_ldpc_v35,v31_qc_baseline,layered,S0,False,False,False,False,262,234,30,2.597418,0,1024,converged_no_syndrome
