dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,1,16,16,0,0,1.0,0.232421875,0.0,3930.0,0.3837890625,0.2792827999219298,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=2408; bisection_disclosures_bits=1010; verification_bits=512; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=1204",ad1f4d64f73fcc30
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,1,4,4,0,0,1.0,0.21875,0.0,959.0,0.374609375,0.0690932999132201,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=602; bisection_disclosures_bits=229; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=301",29020ebdb18ce89f
real_typeii_20db_d1024_bw20_blk0,1024,20,16,16,cascade_lite,no_verified_success,internal_cascade_lite,"8,16,32,64",4,seeded_random,1,16,0,0,16,0.0,0.640625,0.2900390625,11114.0,1.0853515625,0.8400469999760389,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=5274; bisection_disclosures_bits=5328; verification_bits=512; other_disclosures_bits=0; candidate_flips=1429; verified_flips=1429; total_blocks_checked=2637; status_reason=no_verified_success; success=0/16; raw_ser=0.640625; post_ir_ser=0.2900390625",7faaaf788b90c25a
real_typeii_20db_d16_bw150_blk0,16,150,16,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,4,0,0,1.0,0.125,0.0,602.0,0.587890625,0.0285790000343695,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=250; bisection_disclosures_bits=224; verification_bits=128; other_disclosures_bits=0; candidate_flips=51; verified_flips=51; total_blocks_checked=125",19e9870100f5792b
real_typeii_20db_d2048_bw20_blk0,2048,20,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,4,0,0,1.0,0.4140625,0.0,1267.0,0.4499289772727273,0.1025084999855607,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=672; bisection_disclosures_bits=467; verification_bits=128; other_disclosures_bits=0; candidate_flips=106; verified_flips=106; total_blocks_checked=336",3ddb0e813f8c9fa7
real_typeii_20db_d256_bw100_blk0,256,100,4,4,cascade_lite,no_verified_success,internal_cascade_lite,"16,32,64,128",4,seeded_random,1,4,0,0,4,0.0,0.46875,0.328125,1826.0,0.8916015625,0.1072189999977126,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=798; bisection_disclosures_bits=900; verification_bits=128; other_disclosures_bits=0; candidate_flips=222; verified_flips=222; total_blocks_checked=399; status_reason=no_verified_success; success=0/4; raw_ser=0.46875; post_ir_ser=0.328125",29020ebdb18ce89f
real_typeii_20db_d4096_bw20_blk0,4096,20,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,16,16,0,0,1.0,0.3984375,0.0,5231.0,0.4256998697916667,0.4437843000050634,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=2898; bisection_disclosures_bits=1821; verification_bits=512; other_disclosures_bits=0; candidate_flips=408; verified_flips=408; total_blocks_checked=1449",19e9870100f5792b
real_typeii_20db_d512_bw100_blk0,512,100,16,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,seeded_random,0,4,4,0,0,1.0,0.2421875,0.0,937.0,0.4066840277777778,0.1948107000207528,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=546; bisection_disclosures_bits=263; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=273",f4cc5c3e86519271
real_typeii_20db_d64_bw120_blk0,64,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,seeded_random,1,4,3,0,1,0.75,0.23046875,0.01953125,1245.0,0.810546875,0.1899564999621361,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=646; bisection_disclosures_bits=471; verification_bits=128; other_disclosures_bits=0; candidate_flips=123; verified_flips=123; total_blocks_checked=323",b9f654c90a774d3d
real_typeii_20db_d8_bw180_blk0,8,180,16,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,seeded_random,0,4,4,0,0,1.0,0.0859375,0.0,444.0,0.578125,0.0329927999991923,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=188; bisection_disclosures_bits=128; verification_bits=128; other_disclosures_bits=0; candidate_flips=29; verified_flips=29; total_blocks_checked=94",f4cc5c3e86519271
