method,dimension,bin_width_ps,raw_ser_mean,failure_count,failure_reason_top
cascade_lite,8,180.0,0.0859375,16,no_verified_success
cascade_lite,16,150.0,0.125,16,no_verified_success
cascade_lite,64,120.0,0.23046875,25,no_verified_success
cascade_lite,256,100.0,0.46875,32,no_verified_success
cascade_lite,1024,20.0,0.654296875,32,no_verified_success
cascade_lite,1024,100.0,0.2421875,4,no_verified_success
cascade_lite,2048,20.0,0.40625,8,no_verified_success
cascade_lite,4096,20.0,0.40625,8,no_verified_success
layered_ldpc_lite,8,180.0,0.0859375,32,decode_failed
layered_ldpc_lite,16,150.0,0.125,38,decode_failed
layered_ldpc_lite,64,120.0,0.23046875,48,decode_failed
layered_ldpc_lite,256,100.0,0.46875,48,decode_failed
layered_ldpc_lite,512,100.0,0.2421875,44,decode_failed
layered_ldpc_lite,1024,20.0,0.654296875,48,decode_failed
layered_ldpc_lite,1024,100.0,0.23753720238095238,42,decode_failed
layered_ldpc_lite,1024,120.0,0.2196377840909091,44,decode_failed
layered_ldpc_lite,2048,20.0,0.40625,48,decode_failed
layered_ldpc_lite,4096,20.0,0.40625,48,decode_failed
qldpc_reference,4,100.0,0.13671875,6,reference
qldpc_reference,4,120.0,0.08984375,3,reference
qldpc_reference,4,,0.07395833333333333,15,reference
qldpc_reference,8,100.0,0.15234375,6,reference
qldpc_reference,8,120.0,0.125,3,reference
qldpc_reference,8,150.0,0.09375,3,reference
qldpc_reference,8,180.0,0.0859375,2,reference
qldpc_reference,8,,0.0733173076923077,13,reference
qldpc_reference,16,100.0,0.19921875,8,reference
qldpc_reference,16,120.0,0.15625,8,reference
qldpc_reference,16,150.0,0.125,6,reference
qldpc_reference,16,180.0,0.1171875,5,reference
qldpc_reference,16,,0.0733173076923077,13,reference
qldpc_reference,32,100.0,0.23046875,8,reference
qldpc_reference,32,120.0,0.18359375,4,reference
qldpc_reference,32,150.0,0.16015625,3,reference
qldpc_reference,32,180.0,0.16796875,5,reference
qldpc_reference,32,,0.07477678571428571,14,reference
qldpc_reference,64,100.0,0.24609375,8,reference
qldpc_reference,64,120.0,0.23046875,8,reference
qldpc_reference,64,150.0,0.22265625,8,reference
qldpc_reference,64,180.0,0.2578125,8,reference
