model,layer,ce_mean,f,required_bits,required_rows,available_rows,fit
M0,L1,4.9963129588904875,1.0,5116.224469903859,1024,16,False
M0,L1,4.9963129588904875,1.1,5627.846916894246,1126,16,False
M0,L1,4.9963129588904875,1.2,6139.469363884631,1228,16,False
M0,L1,4.9963129588904875,1.3,6651.0918108750175,1331,16,False
M0,L2,5.003364177209347,1.0,5123.444917462371,1025,200,False
M0,L2,5.003364177209347,1.1,5635.789409208609,1128,200,False
M0,L2,5.003364177209347,1.2,6148.133900954846,1230,200,False
M0,L2,5.003364177209347,1.3,6660.478392701083,1333,200,False
M0,Total,9.999677136099834,1.0,10239.66938736623,2048,216,False
M0,Total,9.999677136099834,1.1,11263.636326102853,2253,216,False
M0,Total,9.999677136099834,1.2,12287.603264839476,2458,216,False
M0,Total,9.999677136099834,1.3,13311.570203576099,2663,216,False
M1,L1,3.8949693732225894,1.0,3988.4486381799315,798,16,False
M1,L1,3.8949693732225894,1.1,4387.293501997925,878,16,False
M1,L1,3.8949693732225894,1.2,4786.1383658159175,958,16,False
M1,L1,3.8949693732225894,1.3,5184.983229633911,1037,16,False
M1,L2,6.096066458716772,1.0,6242.372053725974,1249,200,False
M1,L2,6.096066458716772,1.1,6866.609259098572,1374,200,False
M1,L2,6.096066458716772,1.2,7490.8464644711685,1499,200,False
M1,L2,6.096066458716772,1.3,8115.083669843767,1624,200,False
M1,Total,9.99103583193936,1.0,10230.820691905905,2047,216,False
M1,Total,9.99103583193936,1.1,11253.902761096497,2251,216,False
M1,Total,9.99103583193936,1.2,12276.984830287085,2456,216,False
M1,Total,9.99103583193936,1.3,13300.066899477677,2661,216,False
M2,L1,3.795170599649775,1.0,3886.2546940413695,778,16,False
M2,L1,3.795170599649775,1.1,4274.880163445507,855,16,False
M2,L1,3.795170599649775,1.2,4663.505632849643,933,16,False
M2,L1,3.795170599649775,1.3,5052.13110225378,1011,16,False
M2,L2,3.183650689608825,1.0,3260.0583061594366,653,200,False
M2,L2,3.183650689608825,1.1,3586.0641367753806,718,200,False
M2,L2,3.183650689608825,1.2,3912.0699673913236,783,200,False
M2,L2,3.183650689608825,1.3,4238.075798007268,848,200,False
M2,Total,6.978821289258599,1.0,7146.313000200806,1430,216,False
M2,Total,6.978821289258599,1.1,7860.944300220886,1573,216,False
M2,Total,6.978821289258599,1.2,8575.575600240967,1716,216,False
M2,Total,6.978821289258599,1.3,9290.206900261048,1859,216,False
