dataset_id,source_path,loss_db,dimension,bin_width_ps,n_eff_pairs,frame_len_symbols,frame_len_bits,method,method_variant,method_status,processing_rule_version,pairing_path_tag,threshold_ps,effective_pairing_window_ps,n_frames_total,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,rejected_frame_fraction,raw_ser,raw_ber,post_ir_ser,post_ir_ber,leak_EC_actual_bits,leak_EC_per_frame,leak_EC_per_input_bit,beta_eff_empirical,runtime_s,throughput_input_bits_per_s,throughput_output_bits_per_s,notes,backend_status,error_message
polar_row_0,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,20,26165.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,20,20,6541,6541,0.0,6541.0,0.0,0.0,1.0,0.3956048155933498,0.3956048155933498,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_1,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,30,28641.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,30,30,7160,7160,0.0,7160.0,0.0,0.0,1.0,0.3138158583848329,0.3138158583848329,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_2,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,40,29328.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,40,40,7332,7332,0.0,7332.0,0.0,0.0,1.0,0.2499318057828696,0.2499318057828696,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_3,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,50,29613.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,50,50,7403,7403,0.0,7403.0,0.0,0.0,1.0,0.2045723162124742,0.2045723162124742,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_4,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,60,29779.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,60,60,7444,7444,0.0,7444.0,0.0,0.0,1.0,0.1755263776486786,0.1755263776486786,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_5,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,80,29935.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,80,80,7483,7483,0.0,7483.0,0.0,0.0,1.0,0.1363621179221646,0.1363621179221646,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_6,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,100,30012.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,100,100,7503,7503,0.0,7503.0,0.0,0.0,1.0,0.1101226176196188,0.1101226176196188,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_7,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,120,30056.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,120,120,7514,7514,7514.0,0.0,0.0,1.0,0.0,0.0933923343092893,0.0933923343092893,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_8,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,150,30104.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,150,150,7526,7526,7526.0,0.0,0.0,1.0,0.0,0.0745748073345734,0.0745748073345734,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
polar_row_9,D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv,20.0,4,180,30149.0,4,8,polar_existing,read_existing,ok,pairing_v2,time_pairs_nearest,180,180,7537,7537,7537.0,0.0,0.0,1.0,0.0,0.0642144018043716,0.0642144018043716,,,,,,,,,,"source=D:\Code\HD-QKD_Polar_Release\results\authoritative\_tmp_longrun_fresh_rerun\full_20dB\candidate_rerun\polar_diag_summary.csv; checked_files=_tmp_grid_table.csv,_tmp_src_table.csv,polar_e2e_results.csv,polar_layer_metrics.csv; source_missing_fields=dataset_id,loss_db,n_eff_pairs,frame_len_symbols,leak_EC_actual_bits,runtime_s; missing_after_companion_scan=leak_EC_actual_bits,runtime_s,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,throughput_input_bits_per_s",read_existing_file,
