family,rule,n,layer,replay,blocked_error,square_row_min,square_nbelow,i1_all_prefixes,gates_all_prefixes,r4_clean,changed_support_entries,changed_variables,max_row_degree,row_sumsq,rank_square,components_square,girth_square,four_cycles_f12,incid_max_f12,admissible
T3,R-T3-01,64,L1,True,,1,12,False,True,True,11,11,4,654,64,1,4,7,2,False
T3,R-T3-01,64,L2,True,,1,18,False,True,True,17,17,4,690,64,1,4,9,2,False
T3,R-T3-01,128,L1,True,,1,27,False,True,True,26,26,4,1320,128,1,4,8,2,False
T3,R-T3-01,128,L2,True,,1,39,False,False,False,38,38,4,1392,127,1,4,9,2,False
T3,R-T3-01,256,L1,True,,1,57,False,True,True,56,56,4,2652,256,1,4,8,2,False
T3,R-T3-01,256,L2,True,,1,81,False,True,True,80,80,4,2796,256,1,4,9,2,False
T3,R-T3-02,64,L1,True,,1,13,False,False,False,170,64,5,662,62,1,4,16,3,False
T3,R-T3-02,64,L2,True,,1,19,False,False,False,185,64,5,698,62,1,4,18,4,False
T3,R-T3-02,128,L1,True,,1,28,False,False,False,347,128,5,1328,126,1,4,16,3,False
T3,R-T3-02,128,L2,True,,1,40,False,False,False,376,128,5,1400,126,1,4,18,4,False
T3,R-T3-02,256,L1,True,,1,58,False,False,False,701,256,5,2660,254,1,4,16,3,False
T3,R-T3-02,256,L2,True,,1,82,False,False,False,758,256,5,2804,254,1,4,18,4,False
T3,R-T3-03,64,L1,True,,1,12,False,True,True,0,0,4,654,64,1,4,6,2,False
T3,R-T3-03,64,L2,True,,1,18,False,True,True,0,0,4,690,64,1,4,7,2,False
T3,R-T3-03,128,L1,True,,1,27,False,True,True,0,0,4,1320,128,1,4,6,2,False
T3,R-T3-03,128,L2,True,,1,39,False,True,True,0,0,4,1392,128,1,4,7,2,False
T3,R-T3-03,256,L1,True,,1,57,False,True,True,0,0,4,2652,256,1,4,6,2,False
T3,R-T3-03,256,L2,True,,1,81,False,True,True,0,0,4,2796,256,1,4,7,2,False
T4,R-T4-01,64,L1,True,,1,9,False,True,True,69,55,6,662,64,1,4,12,2,False
T4,R-T4-01,64,L2,True,,1,15,False,True,True,82,56,6,694,64,1,4,10,2,False
T4,R-T4-01,128,L1,True,,1,24,False,True,True,133,119,6,1328,128,1,4,12,2,False
T4,R-T4-01,128,L2,True,,1,36,False,True,True,146,120,6,1396,128,1,4,10,2,False
T4,R-T4-01,256,L1,True,,1,54,False,True,True,261,247,6,2660,256,1,4,12,2,False
T4,R-T4-01,256,L2,True,,1,78,False,True,True,274,248,6,2800,256,1,4,10,2,False
T4,R-T4-02,64,L1,True,,1,11,False,False,False,179,64,4,650,61,1,4,15,3,False
T4,R-T4-02,64,L2,True,,1,17,False,False,False,179,64,5,688,59,1,4,18,4,False
T4,R-T4-02,128,L1,True,,1,26,False,False,False,371,128,4,1316,124,1,4,15,3,False
T4,R-T4-02,128,L2,True,,1,38,False,False,False,371,128,5,1390,123,1,4,18,4,False
T4,R-T4-02,256,L1,True,,1,56,False,False,False,755,256,4,2648,252,1,4,15,3,False
T4,R-T4-02,256,L2,True,,1,80,False,False,False,755,256,5,2794,251,1,4,18,4,False
T4,R-T4-03,64,L1,True,,1,8,False,True,True,0,0,6,660,64,1,4,10,1,False
T4,R-T4-03,64,L2,True,,1,14,False,True,True,0,0,6,692,64,1,4,11,2,False
T4,R-T4-03,128,L1,True,,1,23,False,True,True,0,0,6,1326,128,1,4,9,1,False
T4,R-T4-03,128,L2,True,,1,35,False,True,True,0,0,6,1394,128,1,4,11,2,False
T4,R-T4-03,256,L1,True,,1,53,False,True,True,0,0,6,2658,256,1,4,9,1,False
T4,R-T4-03,256,L2,True,,1,77,False,True,True,0,0,6,2798,256,1,4,11,2,False
M1,R-M1-01,64,L1,True,,1,14,False,True,True,0,0,3,364,64,1,6,0,0,False
M1,R-M1-01,64,L2,True,,1,20,False,True,True,0,0,3,406,64,1,4,1,1,False
M1,R-M1-01,128,L1,True,,1,29,False,True,True,0,0,3,725,128,1,6,0,0,False
M1,R-M1-01,128,L2,True,,1,41,False,True,True,0,0,3,809,128,1,6,0,0,False
M1,R-M1-01,256,L1,True,,1,59,False,True,True,0,0,3,1447,256,1,6,0,0,False
M1,R-M1-01,256,L2,True,,1,83,False,True,True,0,0,3,1615,256,1,6,0,0,False
M1,R-M1-02,64,L1,True,,1,16,False,False,False,30,16,18,608,64,1,4,1,1,False
M1,R-M1-02,64,L2,True,,1,22,False,False,False,42,22,24,872,64,1,4,1,1,False
M1,R-M1-02,128,L1,True,,1,31,False,False,False,60,31,33,1659,128,1,4,1,1,False
M1,R-M1-02,128,L2,True,,1,43,False,False,False,84,43,45,2619,128,1,4,1,1,False
M1,R-M1-02,256,L1,True,,1,61,False,False,False,120,61,63,5111,256,1,4,1,1,False
M1,R-M1-02,256,L2,True,,1,85,False,False,False,168,85,87,8759,256,1,4,1,1,False
M2,R-M2-01,64,L1,True,,2,0,True,False,False,0,0,3,456,63,1,4,13,2,False
M2,R-M2-01,64,L2,True,,1,6,False,False,False,2,1,4,495,61,1,4,22,2,False
M2,R-M2-01,128,L1,True,,2,0,True,False,False,2,1,3,912,125,1,4,26,2,False
M2,R-M2-01,128,L2,True,,1,12,False,False,False,2,1,4,990,123,1,4,25,2,False
M2,R-M2-01,256,L1,True,,2,0,True,False,False,4,2,3,1819,248,1,4,47,2,False
M2,R-M2-01,256,L2,True,,1,25,False,False,False,4,2,4,1977,244,1,4,29,2,False
M2,R-M2-02,64,L1,True,,1,21,False,False,False,119,40,42,2058,64,1,4,19,2,False
M2,R-M2-02,64,L2,True,,1,21,False,True,True,126,43,42,2091,64,1,4,21,2,False
M2,R-M2-02,128,L1,True,,1,45,False,False,False,239,80,82,7322,128,1,4,35,2,False
M2,R-M2-02,128,L2,True,,1,42,False,True,True,255,86,85,7850,128,1,4,43,2,False
M2,R-M2-02,256,L1,True,,1,94,False,False,False,477,159,161,27129,256,1,4,65,2,False
M2,R-M2-02,256,L2,True,,1,84,False,True,True,512,171,171,30449,256,1,4,86,2,False
