arm,n,layer,prefix_rows,row_degree_min,rows_below_degree_2,row_degree_hist,variable_degree_min,variable_degree_max,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,m_cycle_rank,girth,girth_reason,row_degree_max,row_degree_sumsq,frozen_eligible,i1_pass,new_eligible,determinism_replay,build_wall_s
B0_D5_DV3_NATIVE,64,L1,49,3,0,"{""3"": 49}",2,3,49,0,0,1,1.0,0,0,0,,6,,3,441,True,True,True,True,0.0
B0_D5_DV3_NATIVE,64,L1,59,3,0,"{""3"": 59}",2,3,59,0,0,1,1.0,0,0,0,,4,,3,531,True,True,True,True,0.0
B0_D5_DV3_NATIVE,64,L1,64,3,0,"{""3"": 64}",3,3,64,0,0,1,1.0,0,0,0,,4,,3,576,True,True,True,True,0.0
B0_D5_DV3_NATIVE,64,L2,43,3,0,"{""3"": 43}",2,3,43,0,0,1,1.0,0,0,0,,4,,3,387,True,True,True,True,0.0
B0_D5_DV3_NATIVE,64,L2,52,3,0,"{""3"": 52}",2,3,52,0,0,1,1.0,0,0,0,,4,,3,468,True,True,True,True,0.0
B0_D5_DV3_NATIVE,64,L2,64,3,0,"{""3"": 64}",3,3,64,0,0,1,1.0,0,0,0,,4,,3,576,True,True,True,True,0.0
B0_D5_DV3_NATIVE,128,L1,98,3,0,"{""3"": 98}",2,3,98,0,0,1,1.0,0,0,0,,8,,3,882,True,True,True,True,0.0
B0_D5_DV3_NATIVE,128,L1,118,3,0,"{""3"": 118}",2,3,118,0,0,1,1.0,0,0,0,,4,,3,1062,True,True,True,True,0.0
B0_D5_DV3_NATIVE,128,L1,128,3,0,"{""3"": 128}",3,3,128,0,0,1,1.0,0,0,0,,4,,3,1152,True,True,True,True,0.0
B0_D5_DV3_NATIVE,128,L2,86,3,0,"{""3"": 86}",2,3,86,0,0,1,1.0,0,1,0,,4,,3,774,False,True,False,True,0.0
B0_D5_DV3_NATIVE,128,L2,104,3,0,"{""3"": 104}",2,3,104,0,0,1,1.0,0,1,0,,4,,3,936,False,True,False,True,0.0
B0_D5_DV3_NATIVE,128,L2,128,3,0,"{""3"": 128}",3,3,128,0,0,1,1.0,0,1,0,,4,,3,1152,False,True,False,True,0.0
B0_D5_DV3_NATIVE,256,L1,196,3,0,"{""3"": 196}",2,3,196,0,0,11,0.140625,0,0,0,,6,,3,1764,False,True,False,True,0.01
B0_D5_DV3_NATIVE,256,L1,236,3,0,"{""3"": 236}",2,3,236,0,0,1,1.0,0,0,0,,4,,3,2124,True,True,True,True,0.01
B0_D5_DV3_NATIVE,256,L1,256,3,0,"{""3"": 256}",3,3,255,0,0,1,1.0,0,0,0,,4,,3,2304,False,True,False,True,0.01
B0_D5_DV3_NATIVE,256,L2,172,3,0,"{""3"": 172}",2,3,172,0,0,41,0.0625,0,0,0,,6,,3,1548,False,True,False,True,0.01
B0_D5_DV3_NATIVE,256,L2,208,3,0,"{""3"": 208}",2,3,208,0,0,7,0.7890625,0,0,0,,4,,3,1872,False,True,False,True,0.01
B0_D5_DV3_NATIVE,256,L2,256,3,0,"{""3"": 256}",3,3,256,0,0,1,1.0,0,0,0,,4,,3,2304,True,True,True,True,0.01
B1_D5_DV3_COMMON_LABELS,64,L1,49,3,0,"{""3"": 49}",2,3,49,0,0,1,1.0,0,0,0,,6,,3,441,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,64,L1,59,3,0,"{""3"": 59}",2,3,59,0,0,1,1.0,0,0,0,,4,,3,531,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,64,L1,64,3,0,"{""3"": 64}",3,3,64,0,0,1,1.0,0,0,0,,4,,3,576,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,64,L2,43,3,0,"{""3"": 43}",2,3,43,0,0,1,1.0,0,0,0,,4,,3,387,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,64,L2,52,3,0,"{""3"": 52}",2,3,52,0,0,1,1.0,0,0,0,,4,,3,468,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,64,L2,64,3,0,"{""3"": 64}",3,3,64,0,0,1,1.0,0,0,0,,4,,3,576,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,128,L1,98,3,0,"{""3"": 98}",2,3,98,0,0,1,1.0,0,0,0,,8,,3,882,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,128,L1,118,3,0,"{""3"": 118}",2,3,118,0,0,1,1.0,0,0,0,,4,,3,1062,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,128,L1,128,3,0,"{""3"": 128}",3,3,128,0,0,1,1.0,0,0,0,,4,,3,1152,True,True,True,True,0.0
B1_D5_DV3_COMMON_LABELS,128,L2,86,3,0,"{""3"": 86}",2,3,86,0,0,1,1.0,0,1,0,,4,,3,774,False,True,False,True,0.0
B1_D5_DV3_COMMON_LABELS,128,L2,104,3,0,"{""3"": 104}",2,3,104,0,0,1,1.0,0,1,0,,4,,3,936,False,True,False,True,0.0
B1_D5_DV3_COMMON_LABELS,128,L2,128,3,0,"{""3"": 128}",3,3,128,0,0,1,1.0,0,1,0,,4,,3,1152,False,True,False,True,0.0
B1_D5_DV3_COMMON_LABELS,256,L1,196,3,0,"{""3"": 196}",2,3,196,0,0,11,0.140625,0,0,0,,6,,3,1764,False,True,False,True,0.01
B1_D5_DV3_COMMON_LABELS,256,L1,236,3,0,"{""3"": 236}",2,3,236,0,0,1,1.0,0,0,0,,4,,3,2124,True,True,True,True,0.01
B1_D5_DV3_COMMON_LABELS,256,L1,256,3,0,"{""3"": 256}",3,3,256,0,0,1,1.0,0,0,0,,4,,3,2304,True,True,True,True,0.01
B1_D5_DV3_COMMON_LABELS,256,L2,172,3,0,"{""3"": 172}",2,3,172,0,0,41,0.0625,0,0,0,,6,,3,1548,False,True,False,True,0.01
B1_D5_DV3_COMMON_LABELS,256,L2,208,3,0,"{""3"": 208}",2,3,208,0,0,7,0.7890625,0,0,0,,4,,3,1872,False,True,False,True,0.01
B1_D5_DV3_COMMON_LABELS,256,L2,256,3,0,"{""3"": 256}",3,3,256,0,0,1,1.0,0,0,0,,4,,3,2304,True,True,True,True,0.01
T1_PEG_DV3,64,L1,49,3,0,"{""3"": 43, ""4"": 6}",2,3,49,0,0,1,1.0,0,0,0,,8,,4,483,True,True,True,True,0.02
T1_PEG_DV3,64,L1,59,2,0,"{""2"": 3, ""3"": 50, ""4"": 6}",2,3,59,0,0,1,1.0,0,0,0,,8,,4,558,True,True,True,True,0.02
T1_PEG_DV3,64,L1,64,2,0,"{""2"": 6, ""3"": 52, ""4"": 6}",3,3,64,0,0,1,1.0,0,0,0,,8,,4,588,True,True,True,True,0.02
T1_PEG_DV3,64,L2,43,3,0,"{""3"": 30, ""4"": 13}",2,3,43,0,0,1,1.0,0,0,0,,8,,4,478,True,True,True,True,0.02
T1_PEG_DV3,64,L2,52,2,0,"{""2"": 3, ""3"": 36, ""4"": 13}",2,3,52,0,0,1,1.0,0,0,0,,8,,4,544,True,True,True,True,0.02
T1_PEG_DV3,64,L2,64,2,0,"{""2"": 13, ""3"": 38, ""4"": 13}",3,3,64,0,0,1,1.0,0,0,0,,8,,4,602,True,True,True,True,0.02
T1_PEG_DV3,128,L1,98,3,0,"{""3"": 81, ""4"": 17}",2,3,98,0,0,1,1.0,0,0,0,,10,,4,1001,True,True,True,True,0.08
T1_PEG_DV3,128,L1,118,2,0,"{""2"": 12, ""3"": 89, ""4"": 17}",2,3,118,0,0,1,1.0,0,0,0,,10,,4,1121,True,True,True,True,0.08
T1_PEG_DV3,128,L1,128,2,0,"{""2"": 17, ""3"": 94, ""4"": 17}",3,3,128,0,0,1,1.0,0,0,0,,10,,4,1186,True,True,True,True,0.08
T1_PEG_DV3,128,L2,86,3,0,"{""3"": 57, ""4"": 29}",2,3,86,0,0,1,1.0,0,0,0,,10,,4,977,True,True,True,True,0.08
T1_PEG_DV3,128,L2,104,2,0,"{""2"": 11, ""3"": 64, ""4"": 29}",2,3,104,0,0,1,1.0,0,0,0,,10,,4,1084,True,True,True,True,0.08
T1_PEG_DV3,128,L2,128,2,0,"{""2"": 29, ""3"": 70, ""4"": 29}",3,3,128,0,0,1,1.0,0,0,0,,10,,4,1210,True,True,True,True,0.08
T1_PEG_DV3,256,L1,196,3,0,"{""3"": 157, ""4"": 39}",2,3,196,0,0,1,1.0,0,0,0,,12,,4,2037,True,True,True,True,0.34
T1_PEG_DV3,256,L1,236,2,0,"{""2"": 22, ""3"": 175, ""4"": 39}",2,3,236,0,0,1,1.0,0,0,0,,10,,4,2287,True,True,True,True,0.34
T1_PEG_DV3,256,L1,256,2,0,"{""2"": 39, ""3"": 178, ""4"": 39}",3,3,256,0,0,1,1.0,0,0,0,,10,,4,2382,True,True,True,True,0.34
T1_PEG_DV3,256,L2,172,3,0,"{""3"": 111, ""4"": 61}",2,3,172,0,0,1,1.0,0,0,0,,12,,4,1975,True,True,True,True,0.33
T1_PEG_DV3,256,L2,208,2,0,"{""2"": 21, ""3"": 126, ""4"": 61}",2,3,208,0,0,1,1.0,0,0,0,,10,,4,2194,True,True,True,True,0.33
T1_PEG_DV3,256,L2,256,2,0,"{""2"": 61, ""3"": 134, ""4"": 61}",3,3,256,0,0,1,1.0,0,0,0,,10,,4,2426,True,True,True,True,0.33
T2_CYCLE_GREEDY_DV3,64,L1,49,3,0,"{""3"": 40, ""4"": 9}",2,3,49,0,0,1,1.0,0,0,0,,6,,4,504,True,True,True,True,18.12
T2_CYCLE_GREEDY_DV3,64,L1,59,2,0,"{""2"": 4, ""3"": 46, ""4"": 9}",2,3,59,0,0,1,1.0,0,0,0,,6,,4,574,True,True,True,True,18.12
T2_CYCLE_GREEDY_DV3,64,L1,64,2,0,"{""2"": 9, ""3"": 46, ""4"": 9}",3,3,63,0,0,1,1.0,0,0,0,,6,,4,594,False,True,False,True,18.12
T2_CYCLE_GREEDY_DV3,64,L2,43,3,0,"{""3"": 30, ""4"": 13}",2,3,43,0,0,1,1.0,0,0,0,,6,,4,478,True,True,True,True,13.94
T2_CYCLE_GREEDY_DV3,64,L2,52,2,0,"{""2"": 1, ""3"": 38, ""4"": 13}",2,3,52,0,0,1,1.0,0,0,0,,6,,4,554,True,True,True,True,13.94
T2_CYCLE_GREEDY_DV3,64,L2,64,2,0,"{""2"": 13, ""3"": 38, ""4"": 13}",3,3,62,0,0,1,1.0,0,0,0,,6,,4,602,False,True,False,True,13.94
T3_SC_DV3_W4,64,L1,49,3,0,"{""3"": 22, ""4"": 27}",2,3,49,0,0,1,1.0,0,0,0,,4,,4,630,True,True,True,True,0.0
T3_SC_DV3_W4,64,L1,59,1,10,"{""1"": 10, ""3"": 22, ""4"": 27}",2,3,59,0,0,1,1.0,0,0,0,,4,,4,640,True,False,False,True,0.0
T3_SC_DV3_W4,64,L1,64,1,12,"{""1"": 12, ""2"": 3, ""3"": 22, ""4"": 27}",3,3,64,0,0,1,1.0,0,0,0,,4,,4,654,True,False,False,True,0.0
T3_SC_DV3_W4,64,L2,43,3,0,"{""3"": 4, ""4"": 39}",2,3,43,0,0,1,1.0,0,0,0,,4,,4,660,True,True,True,True,0.0
T3_SC_DV3_W4,64,L2,52,1,9,"{""1"": 9, ""3"": 4, ""4"": 39}",2,3,52,0,0,1,1.0,0,0,0,,4,,4,669,True,False,False,True,0.0
T3_SC_DV3_W4,64,L2,64,1,18,"{""1"": 18, ""2"": 3, ""3"": 4, ""4"": 39}",3,3,64,0,0,1,1.0,0,0,0,,4,,4,690,True,False,False,True,0.0
T3_SC_DV3_W4,128,L1,98,3,0,"{""3"": 41, ""4"": 57}",2,3,98,0,0,1,1.0,0,0,0,,4,,4,1281,True,True,True,True,0.0
T3_SC_DV3_W4,128,L1,118,1,20,"{""1"": 20, ""3"": 41, ""4"": 57}",2,3,118,0,0,1,1.0,0,0,0,,4,,4,1301,True,False,False,True,0.0
T3_SC_DV3_W4,128,L1,128,1,27,"{""1"": 27, ""2"": 3, ""3"": 41, ""4"": 57}",3,3,128,0,0,1,1.0,0,0,0,,4,,4,1320,True,False,False,True,0.0
T3_SC_DV3_W4,128,L2,86,3,0,"{""3"": 5, ""4"": 81}",2,3,86,0,0,1,1.0,0,0,0,,4,,4,1341,True,True,True,True,0.0
