call_id,block_seed,source,frame_ids,exact_full,n,nll_u1,nll_u2,nll_total,ent,kl_sample,zero_B,rare_B,ser,u1_err,u2_err,errors_initial,errors_final
C01,390128,1M,"[1600, 1601, 1602, 1603]",True,1024,0.025283272326300697,0.7550179567285462,0.780301229054847,0.02414737451025905,0.0011358978160416423,0.0,0.0,0.228515625,0.0078125,0.228515625,234,0
C02,390129,1M,"[1628, 1629, 1630, 1631]",False,1024,0.029649749495697354,0.8566009761431841,0.8862507256388814,0.02984012790005018,-0.0001903784043528465,0.0,0.0,0.2353515625,0.0087890625,0.2353515625,241,78
C03,390130,1M,"[1656, 1657, 1658, 1659]",False,1024,0.020563687383242886,0.88735216961564,0.907915856998883,0.019701419895629985,0.0008622674876128964,0.0,0.0,0.24609375,0.005859375,0.24609375,252,67
C04,390131,1M,"[1684, 1685, 1686, 1687]",True,1024,0.02392714883226017,0.7860606332455522,0.8099877820778123,0.01785774805258463,0.006069400779675527,0.0,0.0,0.24609375,0.0087890625,0.24609375,252,0
C05,390132,1M,"[1713, 1714, 1715, 1716]",False,1024,0.015318706252426597,0.8610749964193218,0.8763937026717483,0.017127033582819515,-0.0018083273303929252,0.0,0.0,0.2529296875,0.00390625,0.2529296875,259,134
C06,390133,1M,"[1741, 1742, 1743, 1744]",False,1024,0.03312202669911288,0.8040381369237541,0.8371601636228669,0.026842419019844684,0.006279607679268179,0.0,0.0,0.2353515625,0.01171875,0.2353515625,241,37
C07,390134,1M,"[1769, 1770, 1771, 1772]",True,1024,0.026627869313086437,0.7609674620079352,0.7875953313210217,0.0276443292233942,-0.001016459910307774,0.0,0.0,0.2353515625,0.0078125,0.2353515625,241,0
C08,390135,1M,"[1798, 1799, 1800, 1801]",False,1024,0.02466557920627151,0.8329101594795976,0.8575757386858691,0.0220313009330352,0.002634278273236298,0.0,0.0,0.2451171875,0.0078125,0.2451171875,251,61
C09,390136,1M,"[1826, 1827, 1828, 1829]",True,1024,0.028052382761261332,0.7919845669134742,0.8200369496747355,0.027410058434277407,0.0006423243269839075,0.0,0.0,0.2451171875,0.0087890625,0.2451171875,251,0
C10,390137,1M,"[1854, 1855, 1856, 1857]",False,1024,0.025003393077518348,0.8021915864125919,0.8271949794901103,0.02444944494958036,0.0005539481279379847,0.0,0.0,0.228515625,0.0078125,0.228515625,234,19
C11,390138,1M,"[1882, 1883, 1884, 1885]",False,1024,0.017826524055126226,0.8567552642443061,0.8745817882994324,0.02301944738776872,-0.005192923332642499,0.0,0.0,0.2470703125,0.00390625,0.2470703125,253,39
C12,390139,1M,"[1911, 1912, 1913, 1914]",True,1024,0.031165320123666504,0.745323256507704,0.7764885766313705,0.028788926645026733,0.0023763934786397573,0.0,0.0,0.224609375,0.009765625,0.224609375,230,0
C13,390140,1M,"[1939, 1940, 1941, 1942]",True,1024,0.02414871369185741,0.8026508278897242,0.8267995415815815,0.02979676952552464,-0.005648055833667238,0.0,0.0,0.255859375,0.005859375,0.255859375,262,0
C14,390141,1M,"[1967, 1968, 1969, 1970]",True,1024,0.02636139086311374,0.7998892996201834,0.8262506904832971,0.024150524729398735,0.002210866133714995,0.0,0.0,0.2275390625,0.0087890625,0.2275390625,233,0
C15,390142,1M,"[1996, 1997, 1998, 1999]",True,1024,0.018327375046389975,0.750136508132311,0.768463883178701,0.019792244044696164,-0.0014648689983061969,0.0,0.0,0.2216796875,0.0048828125,0.2216796875,227,0
C16,390228,1p5M,"[2213, 2214, 2215, 2216]",True,1024,0.01412559025599031,0.8087330626058834,0.8228586528618738,0.019151874036646293,-0.005026283780655989,0.0,0.0,0.25,0.0029296875,0.25,256,0
C17,390229,1p5M,"[2252, 2253, 2254, 2255]",True,1024,0.027949920712160826,0.7931758468966811,0.8211257676088419,0.024311253548119194,0.0036386671640416153,0.0,0.0,0.2490234375,0.009765625,0.2490234375,255,0
C18,390230,1p5M,"[2291, 2292, 2293, 2294]",False,1024,0.020834720933763998,0.9148523762040331,0.9356870971377971,0.021257283450640006,-0.0004225625168760199,0.0,0.0,0.2646484375,0.005859375,0.2646484375,271,21
