d_bw,fp_prefix,shared_pairs
d1024_bw150,17132028bbec37a7,16dB∩6dB
d1024_bw180,2a8d15c4e7ef806b,16dB∩6dB
d1024_bw20,b5a8bc321432702b,10dB∩16dB|10dB∩6dB|16dB∩6dB
d1024_bw200,124f9e454dcca0a3,16dB∩6dB
d1024_bw30,5cce00a86f28d569,16dB∩6dB
d1024_bw40,332e12a7bb189a4b,16dB∩6dB
d1024_bw60,aca4528986222c69,16dB∩6dB
d1024_bw80,598750ea794f8b47,16dB∩6dB
d128_bw100,dade40d6efc302b2,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw120,46f0bf5868f83dbc,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw150,8d2a02626111164a,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw180,3b7eb65253e5acc0,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw20,5d35a180e5303b84,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw200,7e94c177e65da571,10dB∩16dB
d128_bw30,3e57668babef3d34,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw40,acfbf2f788ad68a7,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw50,572e465ee1a8ceef,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw60,74b7dd3ba82701b5,10dB∩16dB|10dB∩6dB|16dB∩6dB
d128_bw80,d9b770fd1a22cdec,10dB∩16dB|10dB∩6dB|16dB∩6dB
d16_bw120,d11da7369b22e18c,10dB∩16dB
d16_bw150,1d61441a1fa84c11,10dB∩16dB
d16_bw180,f633aa65ddc24185,10dB∩16dB
d16_bw20,7b65318971604182,16dB∩6dB
d16_bw200,da5d1f8d81fd7890,10dB∩16dB
d16_bw30,08c0969b170a7ae2,16dB∩6dB
d16_bw40,8f3bf9b15e5ad233,16dB∩6dB
d16_bw50,12dc0858408fb494,16dB∩6dB
d16_bw80,cf4b8cc9b93fdc6a,10dB∩16dB
d2048_bw100,22a5d2f29855ddac,16dB∩6dB
d2048_bw120,f3c860f35f001d22,16dB∩6dB
d2048_bw150,4499c0c04568e472,16dB∩6dB
d2048_bw180,2b8f9997bc4da95d,16dB∩6dB
d2048_bw20,dac1ed8c927f0a09,16dB∩6dB
d2048_bw200,6920fe946dfa679e,16dB∩6dB
d2048_bw30,a1052d7c1ef4c3b2,16dB∩6dB
d2048_bw80,96ff317f0b7ab09e,16dB∩6dB
d256_bw100,410c1b17c457b9b9,10dB∩16dB
d256_bw120,a33edd35b5624f94,10dB∩16dB
d256_bw150,68114797cc14fbc9,10dB∩16dB
d256_bw20,e1d6d9e2e26d1df7,10dB∩16dB
d256_bw30,b010e8991160176b,10dB∩16dB
d256_bw40,c47c4e965c471f3a,10dB∩16dB
d256_bw50,4ffb4e698b86b3ba,10dB∩16dB
d256_bw60,78a1a193ff27a21a,10dB∩16dB
d256_bw80,bf7a031d8fe4113a,10dB∩16dB
d32_bw100,d87b84b72bd69bc4,10dB∩16dB
d32_bw120,ab42814a8f738ea2,10dB∩16dB
d32_bw150,68065f4a1dcb34c1,10dB∩16dB
d32_bw20,f39699cb1b4ed94a,10dB∩16dB
d32_bw200,9d86f283052d5ed9,10dB∩6dB
d32_bw30,0b02ce249b4cd6d9,10dB∩16dB
d32_bw40,6934b630ac7e8141,10dB∩16dB
d32_bw50,eb03c99219d997de,10dB∩16dB
d32_bw60,ecd5b2c3e866207f,10dB∩16dB
d32_bw80,923e4d54a9344821,10dB∩16dB
d4096_bw60,cd1c225283b03914,16dB∩6dB
d4_bw100,1a19fd8bde9692c4,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw120,8062e42c015c3e56,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw150,b05adca276349127,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw180,0457dc65fd7a3a73,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw20,d16759fd87385601,10dB∩6dB
d4_bw200,317323082a67c1d8,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw30,5f55c6512b8aea61,10dB∩16dB
d4_bw40,bc74d995caa213bf,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw50,658f0142508e1063,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw60,aeefc4b120b65de4,10dB∩16dB|10dB∩6dB|16dB∩6dB
d4_bw80,d6dee65aa9ed335a,10dB∩16dB|10dB∩6dB|16dB∩6dB
d512_bw100,2d621be302aa2fa9,10dB∩6dB
d512_bw120,b5b8454866905fcc,10dB∩6dB
d512_bw180,29345d9ec45e8b99,10dB∩16dB|10dB∩6dB|16dB∩6dB
d512_bw200,98cb7875b8b2f312,10dB∩16dB|10dB∩6dB|16dB∩6dB
d512_bw40,af56a3583cafdd10,10dB∩6dB
d512_bw50,b89f750bc5379e66,10dB∩6dB
d512_bw60,0ee56294c5646346,10dB∩6dB
d512_bw80,28f6ab00d0702f0e,10dB∩6dB
d64_bw100,81f893e2e39efc4b,10dB∩16dB
d64_bw120,8bc2d97ab936f93a,10dB∩16dB|10dB∩6dB|16dB∩6dB
d64_bw150,20eb14407b37a850,10dB∩16dB|10dB∩6dB|16dB∩6dB
d64_bw180,72737d9918f6d705,10dB∩16dB|10dB∩6dB|16dB∩6dB
d64_bw20,d143db35c272d703,10dB∩16dB|10dB∩6dB|16dB∩6dB
d64_bw200,4905c2f59ce2df14,10dB∩16dB|10dB∩6dB|16dB∩6dB
d64_bw30,78f106179e5bb37a,10dB∩16dB
d64_bw60,7e4585214d24de30,10dB∩6dB
d64_bw80,03e4592b870e2fda,16dB∩6dB
d8_bw100,9e734f8844e1990c,10dB∩6dB
d8_bw120,ce2ed35a19b08ed2,10dB∩6dB
d8_bw150,690c92d805b48d1e,16dB∩6dB
d8_bw20,f01b6d43d4a756c9,10dB∩16dB|10dB∩6dB|16dB∩6dB
d8_bw200,c35e1626a087d900,16dB∩6dB
d8_bw30,176c4f35e5ffdc04,10dB∩16dB|10dB∩6dB|16dB∩6dB
d8_bw40,be4bdbbc264f001c,16dB∩6dB
d8_bw50,2c39c40e7c6dea31,16dB∩6dB
d8_bw60,8c9406d80d2ab53b,16dB∩6dB
d8_bw80,bbe82ce2ce8fb628,16dB∩6dB
