dimension,bin_width_ps,point_label
256,30,frontier_d256_bw30
256,50,frontier_d256_bw50
256,80,frontier_d256_bw80
256,120,frontier_d256_bw120
512,20,frontier_d512_bw20
512,30,frontier_d512_bw30
512,40,frontier_d512_bw40
512,50,frontier_d512_bw50
1024,20,frontier_d1024_bw20
1024,30,frontier_d1024_bw30
1024,40,frontier_d1024_bw40
1024,50,frontier_d1024_bw50
2048,20,frontier_d2048_bw20
2048,30,frontier_d2048_bw30
2048,40,frontier_d2048_bw40
2048,50,frontier_d2048_bw50
4096,20,frontier_d4096_bw20
4096,30,frontier_d4096_bw30
4096,40,frontier_d4096_bw40
4096,50,frontier_d4096_bw50
