session_id,acquisition_id,source_label,P_assign,P_S1,P_S2,P_S3,w1,w2,w3,P_lex_index,CAL_lambda,CAL_lambda_at_boundary,CAL_CE1_cv,CAL_CE2_cv,CAL_CE3_cv,CAL_m1_cv,CAL_m2_cv,CAL_m3_cv,CAL_max_util_cv,CAL_raw_cv,CAL_max_DeltaNLL_cv,VAL_CE1,VAL_CE2,VAL_CE3,VAL_CE_full,chain_delta,VAL_m1_raw,VAL_m2_raw,VAL_m3_raw,VAL_raw_disclosure,VAL_max_util,VAL_max_DeltaNLL,VAL_val_b_unseen,VAL_joint_unseen,VAL_q_mass_unseen,capacity_warning_m1,capacity_warning_m2,capacity_warning_m3,capacity_warning_disclosure,descriptive_H_cal,descriptive_ValNLL,descriptive_DeltaNLL,is_P_star_per_session,is_P_star_common,per_session_classification,successor,cal_val_consistency
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 1, 2, 3, 3, 2, 2]","[0, 1, 2, 3, 4]","[5, 8, 9]","[6, 7]",5,3,2,7,221.22162910704503,False,2.1,1.26,0.84,560,560,560,0.546875,5664,0.0,3.9411658708782626,1.919206660136071,1.2896283485439985,7.150000879558332,0.0,1050,852,859,9588,1.025390625,0.0149957067556592,0.0,0.4911346435546875,0.4911346435546875,True,False,False,False,5.82245194202593,7.150000879558332,0.0149957067556592,True,True,V69_PARTIAL_FEASIBLE,rate_adaptive_or_new_representation,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 2, 3, 1, 3, 3]","[0, 1, 2, 3, 7]","[4, 5]","[6, 8, 9]",5,2,3,43,221.22162910704503,False,2.1,0.84,1.26,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 2, 3, 3, 2, 1]","[0, 1, 2, 3, 9]","[4, 5, 8]","[6, 7]",5,3,2,51,221.22162910704503,False,2.1,1.26,0.84,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 2, 3, 3, 3, 1]","[0, 1, 2, 3, 9]","[4, 5]","[6, 7, 8]",5,2,3,54,221.22162910704503,False,2.1,0.84,1.26,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 3, 2, 1, 3, 3]","[0, 1, 2, 3, 7]","[4, 6]","[5, 8, 9]",5,2,3,65,221.22162910704503,False,2.1,0.84,1.26,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 3, 2, 3, 2, 1]","[0, 1, 2, 3, 9]","[4, 6, 8]","[5, 7]",5,3,2,73,221.22162910704503,False,2.1,1.26,0.84,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 3, 2, 3, 3, 1]","[0, 1, 2, 3, 9]","[4, 6]","[5, 7, 8]",5,2,3,76,221.22162910704503,False,2.1,0.84,1.26,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 3, 3, 2, 2, 1]","[0, 1, 2, 3, 9]","[4, 7, 8]","[5, 6]",5,3,2,84,221.22162910704503,False,2.1,1.26,0.84,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 3, 3, 2, 3, 1]","[0, 1, 2, 3, 9]","[4, 7]","[5, 6, 8]",5,2,3,87,221.22162910704503,False,2.1,0.84,1.26,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
20260123_1M_600k_0dB,20260123_1M_600k_0dB,1M,"[1, 1, 1, 1, 2, 3, 3, 3, 2, 3]","[0, 1, 2, 3]","[4, 8]","[5, 6, 7, 9]",4,2,4,93,221.22162910704503,False,1.68,0.84,1.68,560,560,560,0.546875,5664,0.0,,,,,,,,,,,,,,,,,,,,,,False,False,,,True
