partition,seed,geometry,mode,rows_l1,rows_l2,exact,syndrome_recomputed,syndrome_decoder_flag,flag_agree,iterations,nonfinite,crash,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok
5-6-7-8-9,2026090600,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.09607004843270778,0.5715151000767946,121823232,True
5-6-7-8-9,2026090600,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.08673786104084613,0.5228640000568703,121856000,True
5-6-7-8-9,2026090600,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.21866977384250286,0.5123430999228731,121868288,True
5-6-7-8-9,2026090600,square,L1,64,64,False,False,False,True,90,False,False,0.09607004843270778,0.5865920999785885,121896960,True
5-6-7-8-9,2026090600,square,L2-APP,64,64,False,False,False,True,90,False,False,0.07846574843313321,0.5906838000519201,121901056,True
5-6-7-8-9,2026090600,square,L2-oracle,64,64,True,True,True,True,10,False,False,0.21866977384250286,0.06876360008027405,121896960,True
5-6-7-8-9,2026090601,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.09570865733704217,0.5632007999811321,121896960,True
5-6-7-8-9,2026090601,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.08632146734008088,0.5211446000030264,122372096,True
5-6-7-8-9,2026090601,nonsquare,L2-oracle,59,52,True,True,True,True,6,False,False,0.27973241728140613,0.035948900040239096,122376192,True
5-6-7-8-9,2026090601,square,L1,64,64,False,False,False,True,90,False,False,0.09570865733704217,0.5992983999894932,122384384,True
5-6-7-8-9,2026090601,square,L2-APP,64,64,False,False,False,True,90,False,False,0.10370713246085045,0.5899572999915108,122384384,True
5-6-7-8-9,2026090601,square,L2-oracle,64,64,True,True,True,True,3,False,False,0.27973241728140613,0.021316500031389296,122388480,True
5-6-7-8-9,2026090602,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.09601923496493286,0.5660258999560028,122388480,True
5-6-7-8-9,2026090602,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.07489207523327854,0.5169130000285804,122388480,True
5-6-7-8-9,2026090602,nonsquare,L2-oracle,59,52,True,True,True,True,11,False,False,0.2360866641898712,0.06408339994959533,122392576,True
5-6-7-8-9,2026090602,square,L1,64,64,False,False,False,True,90,False,False,0.09601923496493286,0.5879247999982908,122404864,True
5-6-7-8-9,2026090602,square,L2-APP,64,64,False,False,False,True,90,False,False,0.07897886196459229,0.5852216000203043,122408960,True
5-6-7-8-9,2026090602,square,L2-oracle,64,64,True,True,True,True,3,False,False,0.2360866641898712,0.021548300050199032,122413056,True
5-6-7-8-9,2026090603,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.09608367916915685,0.5640803000424057,122413056,True
5-6-7-8-9,2026090603,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.12186219801048176,0.5137140000006184,122417152,True
5-6-7-8-9,2026090603,nonsquare,L2-oracle,59,52,True,True,True,True,5,False,False,0.28331065570443315,0.031049299985170364,122417152,True
5-6-7-8-9,2026090603,square,L1,64,64,False,False,False,True,90,False,False,0.09608367916915685,0.5978212000336498,122425344,True
5-6-7-8-9,2026090603,square,L2-APP,64,64,False,False,False,True,90,False,False,0.10258960599057232,0.590719599975273,122425344,True
5-6-7-8-9,2026090603,square,L2-oracle,64,64,True,True,True,True,3,False,False,0.28331065570443315,0.02151579991914332,122433536,True
5-6-7-8-9,2026090604,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.09789940995657168,0.5658106000628322,122441728,True
5-6-7-8-9,2026090604,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.08886622045742049,0.5165633999276906,122441728,True
5-6-7-8-9,2026090604,nonsquare,L2-oracle,59,52,True,True,True,True,31,False,False,0.25216264623839724,0.17803980002645403,122449920,True
5-6-7-8-9,2026090604,square,L1,64,64,False,False,False,True,90,False,False,0.09789940995657168,0.5923642000416294,122458112,True
5-6-7-8-9,2026090604,square,L2-APP,64,64,False,False,False,True,90,False,False,0.08839713370532735,0.592326799989678,122466304,True
5-6-7-8-9,2026090604,square,L2-oracle,64,64,True,True,True,True,4,False,False,0.25216264623839724,0.027051600045524538,122478592,True
5-6-7-8-9,2026090605,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.10879183924995478,0.5643380000256002,122478592,True
5-6-7-8-9,2026090605,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.11940610745296446,0.520303099998273,122478592,True
5-6-7-8-9,2026090605,nonsquare,L2-oracle,59,52,True,True,True,True,3,False,False,0.30681100357946245,0.018276399932801723,122482688,True
5-6-7-8-9,2026090605,square,L1,64,64,False,False,False,True,90,False,False,0.10879183924995478,0.5893607999896631,122490880,True
5-6-7-8-9,2026090605,square,L2-APP,64,64,False,False,False,True,90,False,False,0.0993049942953006,0.581836299970746,122494976,True
5-6-7-8-9,2026090605,square,L2-oracle,64,64,True,True,True,True,3,False,False,0.30681100357946245,0.02073929994367063,122499072,True
5-6-7-8-9,2026090606,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.08786287352789521,0.5676271000411361,122503168,True
5-6-7-8-9,2026090606,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.12177696284343126,0.5128325999248773,122511360,True
5-6-7-8-9,2026090606,nonsquare,L2-oracle,59,52,True,True,True,True,5,False,False,0.2607754478624534,0.02821699995547533,122515456,True
5-6-7-8-9,2026090606,square,L1,64,64,False,False,False,True,90,False,False,0.08786287352789521,0.5862908000126481,122519552,True
5-6-7-8-9,2026090606,square,L2-APP,64,64,False,False,False,True,90,False,False,0.07469766338911413,0.5946697000181302,122531840,True
5-6-7-8-9,2026090606,square,L2-oracle,64,64,True,True,True,True,4,False,False,0.2607754478624534,0.027645000023767352,122531840,True
5-6-7-8-9,2026090607,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.11738455574874912,0.5714348999317735,122531840,True
5-6-7-8-9,2026090607,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.12754088793792973,0.5118458999786526,122540032,True
5-6-7-8-9,2026090607,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.2741063370164382,0.5153149999678135,122548224,True
5-6-7-8-9,2026090607,square,L1,64,64,False,False,False,True,90,False,False,0.11738455574874912,0.5823392999591306,122560512,True
5-6-7-8-9,2026090607,square,L2-APP,64,64,False,False,False,True,90,False,False,0.12105391245955031,0.5895142999943346,122564608,True
5-6-7-8-9,2026090607,square,L2-oracle,64,64,True,True,True,True,4,False,False,0.2741063370164382,0.027256199973635375,122568704,True
4-5-7-8-9,2026090600,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.04006983317410226,0.5620353000704199,122896384,True
4-5-7-8-9,2026090600,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.04463482465503786,0.5089428999926895,122896384,True
4-5-7-8-9,2026090600,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.09138836540082557,0.5106839000945911,122900480,True
4-5-7-8-9,2026090600,square,L1,64,64,False,False,False,True,90,False,False,0.04006983317410226,0.5951912000309676,122904576,True
4-5-7-8-9,2026090600,square,L2-APP,64,64,False,False,False,True,90,False,False,0.046335665916695884,0.5897039000410587,122908672,True
4-5-7-8-9,2026090600,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.09138836540082557,0.5932487000245601,122908672,True
4-5-7-8-9,2026090601,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.045851485700305214,0.5698851000051945,122912768,True
4-5-7-8-9,2026090601,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.07244486851480926,0.5123224999988452,122920960,True
4-5-7-8-9,2026090601,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.08456942443053618,0.5064222000073642,122920960,True
4-5-7-8-9,2026090601,square,L1,64,64,False,False,False,True,90,False,False,0.045851485700305214,0.5852835000259802,122929152,True
4-5-7-8-9,2026090601,square,L2-APP,64,64,False,False,False,True,90,False,False,0.06250157966100849,0.5965840000426397,122933248,True
4-5-7-8-9,2026090601,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.08456942443053618,0.5929102000081912,122937344,True
4-5-7-8-9,2026090602,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.04529297184393983,0.5595728000625968,122937344,True
4-5-7-8-9,2026090602,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.05060248605240027,0.5087713999673724,122937344,True
4-5-7-8-9,2026090602,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.09268155648045329,0.511184100061655,122937344,True
4-5-7-8-9,2026090602,square,L1,64,64,False,False,False,True,90,False,False,0.04529297184393983,0.5844641000730917,122957824,True
4-5-7-8-9,2026090602,square,L2-APP,64,64,False,False,False,True,90,False,False,0.05014774961059534,0.5888693999731913,122957824,True
4-5-7-8-9,2026090602,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.09268155648045329,0.5934413999784738,122982400,True
4-5-7-8-9,2026090603,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.051644549238101814,0.569055899977684,122986496,True
4-5-7-8-9,2026090603,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.0614314880510743,0.5098556999582797,122986496,True
4-5-7-8-9,2026090603,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.09603094440944432,0.512297899927944,122986496,True
4-5-7-8-9,2026090603,square,L1,64,64,False,False,False,True,90,False,False,0.051644549238101814,0.5909640999743715,122994688,True
4-5-7-8-9,2026090603,square,L2-APP,64,64,False,False,False,True,90,False,False,0.06077564501126001,0.5901066999649629,122994688,True
4-5-7-8-9,2026090603,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.09603094440944432,0.592759000021033,122998784,True
4-5-7-8-9,2026090604,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.04022972432833582,0.5646197999594733,122998784,True
4-5-7-8-9,2026090604,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.045666910800764085,0.5208207999821752,123011072,True
4-5-7-8-9,2026090604,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.06087334244523207,0.5282917999429628,123011072,True
4-5-7-8-9,2026090604,square,L1,64,64,False,False,False,True,90,False,False,0.04022972432833582,0.5889351000078022,123023360,True
4-5-7-8-9,2026090604,square,L2-APP,64,64,False,False,False,True,90,False,False,0.048053658441802094,0.583602900034748,123035648,True
4-5-7-8-9,2026090604,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.06087334244523207,0.5854614999843761,123043840,True
4-5-7-8-9,2026090605,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.06836474565432143,0.5614955000346527,123043840,True
4-5-7-8-9,2026090605,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.06932720710150214,0.5081971000181511,123043840,True
4-5-7-8-9,2026090605,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.13612268354707507,0.5083173000020906,123043840,True
4-5-7-8-9,2026090605,square,L1,64,64,False,False,False,True,90,False,False,0.06836474565432143,0.5891251000575721,123052032,True
4-5-7-8-9,2026090605,square,L2-APP,64,64,False,False,False,True,90,False,False,0.06768017105646452,0.615325800026767,123052032,True
4-5-7-8-9,2026090605,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.13612268354707507,0.590936699998565,123060224,True
4-5-7-8-9,2026090606,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.039534818944610306,0.5632514000171795,123060224,True
4-5-7-8-9,2026090606,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.05984638811553922,0.5158685999922454,123064320,True
4-5-7-8-9,2026090606,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.10809758806670822,0.5379504000302404,123064320,True
4-5-7-8-9,2026090606,square,L1,64,64,False,False,False,True,90,False,False,0.039534818944610306,0.5817320999922231,123076608,True
4-5-7-8-9,2026090606,square,L2-APP,64,64,False,False,False,True,90,False,False,0.05385248134473508,0.5836511999368668,123076608,True
