s1,ce_l1,ce_l2,ce_joint,ce_l1_std,ce_l2_std,ce_joint_std,chain_max_abs_err,m1,m2,eligible,wall_s
0-1-2-3-4,3.9106005236986436,3.251746906260141,7.162347429958785,0.0076104889026154445,0.010714192896699337,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15594189998228103
0-1-2-3-5,3.9099813475884813,3.2523660823703033,7.162347429958785,0.008284376658112262,0.010043641670342355,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15881850000005215
0-1-2-3-6,3.910479645773897,3.251867784184887,7.162347429958785,0.007894071269112056,0.010460326151965061,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16002730000764132
0-1-2-3-7,3.909675231675594,3.2526721982831908,7.162347429958785,0.00827415358068744,0.01007094151485383,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15915620001032948
0-1-2-3-8,3.909472638377234,3.2528747915815512,7.162347429958785,0.0074291765007296305,0.010932176920124182,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15748910000547767
0-1-2-3-9,3.906533370616039,3.255814059342746,7.162347429958785,0.007500179062009492,0.011034560714089035,0.01830165163340225,8.881784197001252e-16,61,51,True,0.1598042999394238
0-1-2-4-5,3.909873164285835,3.2524742656729497,7.162347429958785,0.006769969311906882,0.011994072818535914,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1589452000334859
0-1-2-4-6,3.9105150005490605,3.251832429409724,7.162347429958785,0.007024271574874393,0.011604720671440529,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16026420006528497
0-1-2-4-7,3.9109160116711603,3.2514314182876243,7.162347429958785,0.007665591728500165,0.01070356385915556,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16022949991747737
0-1-2-4-8,3.909272713858707,3.2530747161000777,7.162347429958785,0.0065461976505831136,0.012172648167585573,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16211549995932728
0-1-2-4-9,3.9064132602365502,3.255934169722235,7.162347429958785,0.005948879383753143,0.012364787918153852,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16258789994753897
0-1-2-5-6,3.9100632875977106,3.2522841423610744,7.162347429958785,0.008421137662298447,0.010352668711259668,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16653380007483065
